BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.00487357, -0.580709, -0.0914651, 0.80893), Translationsvektor: ( 0.0238621, -0.133231, 2.11).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
19:02:43.531	27	11.2936	(318, 226)	(32, 23)	49
19:02:43.566	27	11.3227	(325, 225)	(33, 23)	49
19:02:43.601	26	11.3557	(335, 225)	(34, 23)	49
19:02:43.635	26	11.329	(345, 225)	(35, 23)	49
19:02:43.663	25	11.4976	(357, 225)	(36, 23)	49
19:02:43.691	25	11.6231	(372, 225)	(37, 23)	49
19:02:43.718	25	11.6631	(375, 225)	(38, 23)	49
19:02:43.746	27	11.7271	(385, 225)	(39, 23)	49
19:02:43.782	32	11.5911	(395, 225)	(40, 23)	49
19:02:43.824	28	11.6255	(405, 225)	(41, 23)	49
19:02:43.857	27	11.887	(415, 225)	(42, 23)	49
19:02:43.885	26	12.1944	(425, 225)	(43, 23)	49
19:02:43.913	29	12.5249	(435, 226)	(44, 23)	49
19:02:43.949	31	12.7551	(445, 226)	(45, 23)	49
19:02:43.983	33	13.1018	(455, 226)	(46, 23)	49
19:02:44.025	30	14.1963	(465, 227)	(47, 23)	49
19:02:44.059	28	13.5433	(475, 227)	(48, 23)	49
19:02:44.094	28	13.8021	(485, 228)	(49, 23)	49
19:02:44.128	34	14.0604	(495, 228)	(50, 23)	49
19:02:44.172	35	14.3972	(505, 229)	(51, 23)	49
19:02:44.213	37	14.9738	(515, 229)	(52, 23)	49
19:02:44.254	31	15.8644	(525, 229)	(53, 23)	49
19:02:44.289	33	16.608	(535, 229)	(54, 23)	49
19:02:44.330	39	17.1601	(545, 229)	(55, 23)	49
19:02:44.373	42	17.7105	(555, 229)	(56, 23)	49
19:02:44.422	38	18.0775	(565, 229)	(57, 23)	49
19:02:44.462	38	18.5987	(575, 229)	(58, 23)	49
19:02:44.505	37	19.6881	(585, 229)	(59, 23)	49
19:02:44.546	34	19.397	(596, 229)	(60, 23)	49
19:02:44.588	44	19.648	(605, 230)	(61, 23)	49
