BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.00487357, -0.580709, -0.0914651, 0.80893), Translationsvektor: ( 0.0238621, -0.133231, 2.11).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
19:03:11.606	28	18.2606	(318, 226)	(32, 23)	49
19:03:11.644	27	18.329	(325, 225)	(33, 23)	49
19:03:11.679	31	18.1908	(335, 225)	(34, 23)	49
19:03:11.714	30	18.1741	(345, 225)	(35, 23)	49
19:03:11.748	30	18.1788	(357, 225)	(36, 23)	49
19:03:11.784	28	18.0976	(372, 225)	(37, 23)	49
19:03:11.817	28	18.0585	(375, 225)	(38, 23)	49
19:03:11.853	33	17.9653	(385, 225)	(39, 23)	49
19:03:11.894	33	17.9511	(395, 225)	(40, 23)	49
19:03:11.936	34	17.9144	(405, 225)	(41, 23)	49
19:03:11.979	29	17.8704	(415, 225)	(42, 23)	49
19:03:12.012	29	17.8289	(425, 225)	(43, 23)	49
19:03:12.047	31	17.8628	(435, 226)	(44, 23)	49
19:03:12.082	31	17.8575	(445, 226)	(45, 23)	49
19:03:12.117	32	17.8658	(455, 226)	(46, 23)	49
19:03:12.159	34	17.8486	(465, 227)	(47, 23)	49
19:03:12.202	31	17.9348	(475, 227)	(48, 23)	49
19:03:12.235	28	17.832	(485, 228)	(49, 23)	49
19:03:12.269	33	17.88	(495, 228)	(50, 23)	49
19:03:12.312	34	17.8733	(505, 229)	(51, 23)	49
19:03:12.354	35	18.0544	(515, 229)	(52, 23)	49
19:03:12.395	35	17.925	(525, 229)	(53, 23)	49
19:03:12.438	31	18.0834	(535, 229)	(54, 23)	49
19:03:12.472	29	18.4775	(545, 229)	(55, 23)	49
19:03:12.506	29	18.563	(555, 229)	(56, 23)	49
19:03:12.541	30	18.9556	(565, 229)	(57, 23)	49
19:03:12.575	30	19.1182	(575, 229)	(58, 23)	49
19:03:12.611	29	19.3359	(585, 229)	(59, 23)	49
19:03:12.645	30	19.5849	(596, 229)	(60, 23)	49
19:03:12.680	31	19.7579	(605, 230)	(61, 23)	49
19:03:12.728	35	20.0138	(615, 230)	(62, 23)	49
19:03:12.772	39	20.1541	(626, 230)	(63, 23)	49
19:03:12.820	35	20.1267	(635, 230)	(64, 23)	49
19:03:12.861	32	20.4698	(645, 230)	(65, 23)	49
19:03:12.903	32	20.5132	(655, 230)	(66, 23)	49
19:03:12.945	32	20.693	(665, 230)	(67, 23)	49
19:03:12.985	35	20.8255	(680, 230)	(68, 23)	49
19:03:13.027	34	21.0775	(685, 230)	(69, 23)	49
19:03:13.069	32	21.1847	(695, 230)	(70, 23)	49
19:03:13.104	30	21.4132	(705, 230)	(71, 23)	49
19:03:13.138	36	21.6359	(715, 230)	(72, 23)	49
19:03:13.181	38	21.8219	(725, 230)	(73, 23)	49
19:03:13.223	38	22.1262	(735, 230)	(74, 23)	49
19:03:13.263	33	22.5129	(749, 230)	(75, 23)	49
19:03:13.298	31	22.6521	(756, 230)	(76, 23)	49
19:03:13.332	39	22.9067	(766, 230)	(77, 23)	49
19:03:13.376	42	23.135	(775, 230)	(78, 23)	49
19:03:13.425	43	23.3567	(785, 230)	(79, 23)	49
19:03:13.473	35	23.6412	(796, 229)	(80, 23)	49
19:03:13.514	38	23.7625	(805, 229)	(81, 23)	49
19:03:13.558	42	23.8018	(815, 229)	(82, 23)	49
19:03:13.606	43	24.0687	(825, 228)	(83, 23)	49
19:03:13.654	43	24.2735	(835, 228)	(84, 23)	49
19:03:13.704	40	24.6206	(845, 228)	(85, 23)	49
19:03:13.750	35	24.7932	(855, 228)	(86, 23)	49
19:03:13.792	38	25.181	(865, 228)	(87, 23)	49
19:03:13.834	37	25.3239	(875, 228)	(88, 23)	49
19:03:13.876	39	25.4514	(885, 228)	(89, 23)	49
19:03:13.917	36	25.6879	(895, 228)	(90, 23)	49
19:03:13.958	38	25.8637	(905, 228)	(91, 23)	49
19:03:14.001	40	25.8951	(915, 228)	(92, 23)	49
19:03:14.057	41	25.9723	(925, 228)	(93, 23)	49
19:03:14.106	38	25.7564	(935, 228)	(94, 23)	49
19:03:14.146	41	25.787	(945, 227)	(95, 23)	49
19:03:14.197	40	25.7156	(957, 227)	(96, 23)	49
19:03:14.244	42	25.5679	(966, 227)	(97, 23)	49
19:03:14.293	39	25.4167	(975, 227)	(98, 23)	49
19:03:14.335	37	25.555	(985, 227)	(99, 23)	49
19:03:14.377	41	25.441	(995, 227)	(100, 23)	49
19:03:14.426	40	25.4401	(1005, 227)	(101, 23)	49
19:03:14.475	41	25.2644	(1015, 226)	(102, 23)	49
19:03:14.523	41	25.361	(1025, 226)	(103, 23)	49
19:03:14.571	36	25.4363	(1035, 226)	(104, 23)	49
19:03:14.612	37	25.4151	(1045, 225)	(105, 23)	49
19:03:14.654	40	25.2218	(1055, 225)	(106, 23)	49
19:03:14.704	43	25.125	(1065, 225)	(107, 23)	49
19:03:14.752	36	25.0831	(1071, 224)	(107, 22)	49
19:03:14.793	34	25.1458	(1075, 224)	(108, 22)	49
19:03:14.834	40	25.004	(1085, 224)	(109, 22)	49
19:03:14.885	43	24.5954	(1095, 224)	(110, 22)	49
19:03:14.934	40	24.3757	(1105, 224)	(111, 22)	49
19:03:14.980	35	24.1907	(1115, 224)	(112, 22)	49
19:03:15.022	33	23.939	(1125, 224)	(113, 22)	49
19:03:15.057	36	23.4818	(1135, 224)	(114, 22)	49
19:03:15.101	40	23.2283	(1146, 223)	(115, 22)	49
19:03:15.149	39	23.0039	(1155, 223)	(116, 22)	49
19:03:15.196	34	22.8615	(1165, 223)	(117, 22)	49
19:03:15.238	39	22.6034	(1175, 223)	(118, 22)	49
19:03:15.288	42	22.4058	(1185, 223)	(119, 22)	49
19:03:15.335	36	22.2394	(1195, 223)	(120, 22)	49
19:03:15.377	36	22.1147	(1205, 223)	(121, 22)	49
19:03:15.425	35	21.8591	(1215, 223)	(122, 22)	49
19:03:15.469	37	21.6779	(1225, 223)	(123, 22)	49
19:03:15.510	38	21.3357	(1235, 223)	(124, 22)	49
19:03:15.552	38	21.229	(1245, 223)	(125, 22)	49
19:03:15.593	34	20.9101	(1255, 223)	(126, 22)	49
19:03:15.634	32	20.7561	(1265, 224)	(127, 22)	49
19:03:15.669	35	20.5367	(1275, 224)	(128, 22)	49
19:03:15.715	39	20.4874	(1282, 225)	(128, 23)	49
19:03:15.761	38	20.3471	(1285, 225)	(129, 23)	49
19:03:15.809	33	20.3677	(1295, 226)	(130, 23)	49
19:03:15.849	37	20.2004	(1305, 226)	(131, 23)	49
19:03:15.893	40	20.095	(1316, 228)	(132, 23)	49
19:03:15.942	40	19.9559	(1326, 228)	(133, 23)	49
