BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.00487357, -0.580709, -0.0914651, 0.80893), Translationsvektor: ( 0.0238621, -0.133231, 2.11).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
19:01:40.264	59	50.9193	(-1, -1)	(-1, -1)	49
19:01:40.329	64	50.8779	(-1, -1)	(-1, -1)	49
19:01:40.404	63	50.9021	(-1, -1)	(-1, -1)	49
19:01:40.473	62	50.8896	(-1, -1)	(-1, -1)	49
19:01:40.541	58	51.0144	(-1, -1)	(-1, -1)	49
19:01:40.606	62	50.8751	(-1, -1)	(-1, -1)	49
19:01:40.675	63	50.9009	(-1, -1)	(-1, -1)	49
19:01:40.744	58	50.8646	(-1, -1)	(-1, -1)	49
19:01:40.805	58	50.9982	(-1, -1)	(-1, -1)	49
19:01:40.870	62	50.919	(-1, -1)	(-1, -1)	49
19:01:40.940	62	50.8764	(-1, -1)	(-1, -1)	49
19:01:41.007	60	50.8919	(-1, -1)	(-1, -1)	49
19:01:41.078	62	50.8999	(-1, -1)	(-1, -1)	49
19:01:41.148	64	50.8733	(-1, -1)	(-1, -1)	49
19:01:41.215	61	50.8643	(-1, -1)	(-1, -1)	49
19:01:41.280	63	50.9273	(-1, -1)	(-1, -1)	49
19:01:41.353	62	50.8861	(-1, -1)	(-1, -1)	49
19:01:41.417	59	50.8821	(-1, -1)	(-1, -1)	49
19:01:41.481	63	50.8913	(-1, -1)	(-1, -1)	49
19:01:41.550	60	50.8846	(-1, -1)	(-1, -1)	49
19:01:41.612	59	50.9739	(-1, -1)	(-1, -1)	49
19:01:41.676	63	50.8658	(-1, -1)	(-1, -1)	49
19:01:41.745	63	50.9145	(-1, -1)	(-1, -1)	49
19:01:41.814	58	50.9744	(-1, -1)	(-1, -1)	49
19:01:41.876	60	50.8671	(-1, -1)	(-1, -1)	49
19:01:41.948	61	50.8942	(-1, -1)	(-1, -1)	49
19:01:42.015	60	50.8747	(-1, -1)	(-1, -1)	49
19:01:42.079	61	50.897	(-1, -1)	(-1, -1)	49
19:01:42.148	63	50.8844	(-1, -1)	(-1, -1)	49
19:01:42.217	59	50.8484	(-1, -1)	(-1, -1)	49
19:01:42.279	57	50.9483	(-1, -1)	(-1, -1)	49
19:01:42.343	62	50.903	(-1, -1)	(-1, -1)	49
19:01:42.412	63	50.9502	(-1, -1)	(-1, -1)	49
19:01:42.481	57	50.925	(-1, -1)	(-1, -1)	49
19:01:42.545	63	50.8601	(-1, -1)	(-1, -1)	49
19:01:42.615	60	50.8921	(-1, -1)	(-1, -1)	49
19:01:42.682	60	51.0101	(-1, -1)	(-1, -1)	49
19:01:42.746	64	50.9597	(-1, -1)	(-1, -1)	49
19:01:42.816	62	50.8412	(-1, -1)	(-1, -1)	49
19:01:42.884	59	51.0098	(-1, -1)	(-1, -1)	49
19:01:42.948	62	50.8493	(-1, -1)	(-1, -1)	49
19:01:43.018	64	50.9147	(-1, -1)	(-1, -1)	49
19:01:43.086	59	50.8856	(-1, -1)	(-1, -1)	49
19:01:43.149	64	50.8757	(-1, -1)	(-1, -1)	49
19:01:43.219	64	50.867	(-1, -1)	(-1, -1)	49
19:01:43.291	61	50.9342	(-1, -1)	(-1, -1)	49
19:01:43.358	63	50.8714	(-1, -1)	(-1, -1)	49
19:01:43.429	65	50.8846	(-1, -1)	(-1, -1)	49
19:01:43.504	59	50.8732	(-1, -1)	(-1, -1)	49
19:01:43.574	63	50.9068	(-1, -1)	(-1, -1)	49
19:01:43.645	59	50.8559	(-1, -1)	(-1, -1)	49
19:01:43.711	57	50.8967	(-1, -1)	(-1, -1)	49
19:01:43.775	63	50.9092	(-1, -1)	(-1, -1)	49
19:01:43.844	63	50.8641	(-1, -1)	(-1, -1)	49
19:01:43.915	59	50.8759	(-1, -1)	(-1, -1)	49
19:01:43.982	57	50.9317	(-1, -1)	(-1, -1)	49
19:01:44.047	62	50.8754	(-1, -1)	(-1, -1)	49
19:01:44.115	59	50.8661	(-1, -1)	(-1, -1)	49
19:01:44.177	58	50.9634	(-1, -1)	(-1, -1)	49
19:01:44.241	62	50.9093	(-1, -1)	(-1, -1)	49
19:01:44.310	63	50.881	(-1, -1)	(-1, -1)	49
19:01:44.379	61	50.893	(-1, -1)	(-1, -1)	49
19:01:44.450	62	50.9361	(-1, -1)	(-1, -1)	49
19:01:44.519	64	50.9025	(-1, -1)	(-1, -1)	49
19:01:44.589	62	50.9076	(-1, -1)	(-1, -1)	49
19:01:44.659	63	50.8793	(-1, -1)	(-1, -1)	49
19:01:44.726	59	50.8772	(-1, -1)	(-1, -1)	49
19:01:44.789	62	50.8867	(-1, -1)	(-1, -1)	49
19:01:44.860	63	50.8993	(-1, -1)	(-1, -1)	49
19:01:44.933	61	50.8536	(-1, -1)	(-1, -1)	49
19:01:44.997	59	51.0357	(-1, -1)	(-1, -1)	49
19:01:45.061	63	50.8813	(-1, -1)	(-1, -1)	49
19:01:45.131	61	50.8658	(-1, -1)	(-1, -1)	49
19:01:45.199	60	50.8824	(-1, -1)	(-1, -1)	49
19:01:45.261	58	50.924	(-1, -1)	(-1, -1)	49
19:01:45.326	64	50.9116	(-1, -1)	(-1, -1)	49
19:01:45.394	59	50.9286	(-1, -1)	(-1, -1)	49
19:01:45.457	57	50.9942	(-1, -1)	(-1, -1)	49
19:01:45.523	63	50.9647	(-1, -1)	(-1, -1)	49
19:01:45.590	62	50.8723	(-1, -1)	(-1, -1)	49
19:01:45.658	60	50.9052	(-1, -1)	(-1, -1)	49
19:01:45.728	62	50.8674	(-1, -1)	(-1, -1)	49
19:01:45.799	63	50.9	(-1, -1)	(-1, -1)	49
19:01:45.867	59	50.9409	(-1, -1)	(-1, -1)	49
19:01:45.930	63	50.9061	(-1, -1)	(-1, -1)	49
19:01:46.000	63	50.9172	(-1, -1)	(-1, -1)	49
19:01:46.069	61	50.9212	(-1, -1)	(-1, -1)	49
19:01:46.139	64	50.9104	(-1, -1)	(-1, -1)	49
19:01:46.210	62	50.8529	(-1, -1)	(-1, -1)	49
19:01:46.277	59	50.8833	(-1, -1)	(-1, -1)	49
19:01:46.348	63	50.8796	(-1, -1)	(-1, -1)	49
19:01:46.416	59	50.8775	(-1, -1)	(-1, -1)	49
19:01:46.487	62	50.8963	(-1, -1)	(-1, -1)	49
19:01:46.556	63	50.9145	(-1, -1)	(-1, -1)	49
19:01:46.625	63	50.8947	(-1, -1)	(-1, -1)	49
19:01:46.694	61	50.8513	(-1, -1)	(-1, -1)	49
19:01:46.765	62	50.8588	(-1, -1)	(-1, -1)	49
19:01:46.834	62	50.9041	(-1, -1)	(-1, -1)	49
19:01:46.902	58	50.9587	(-1, -1)	(-1, -1)	49
19:01:46.966	63	50.8526	(-1, -1)	(-1, -1)	49
19:01:47.037	63	50.9209	(-1, -1)	(-1, -1)	49
19:01:47.103	58	50.9339	(-1, -1)	(-1, -1)	49
19:01:47.166	61	50.8794	(-1, -1)	(-1, -1)	49
19:01:47.238	62	50.9055	(-1, -1)	(-1, -1)	49
19:01:47.305	60	50.8631	(-1, -1)	(-1, -1)	49
19:01:47.369	63	50.8902	(-1, -1)	(-1, -1)	49
19:01:47.439	64	50.8736	(-1, -1)	(-1, -1)	49
19:01:47.509	63	50.8569	(-1, -1)	(-1, -1)	49
19:01:47.577	60	50.9554	(-1, -1)	(-1, -1)	49
19:01:47.648	62	50.9028	(-1, -1)	(-1, -1)	49
19:01:47.716	60	50.9126	(-1, -1)	(-1, -1)	49
19:01:47.780	62	50.8717	(-1, -1)	(-1, -1)	49
19:01:47.849	60	50.872	(-1, -1)	(-1, -1)	49
19:01:47.918	61	50.8578	(-1, -1)	(-1, -1)	49
19:01:47.989	62	50.8791	(-1, -1)	(-1, -1)	49
19:01:48.057	64	50.8964	(-1, -1)	(-1, -1)	49
19:01:48.126	61	50.9234	(-1, -1)	(-1, -1)	49
19:01:48.197	63	50.8799	(-1, -1)	(-1, -1)	49
19:01:48.266	65	50.8775	(-1, -1)	(-1, -1)	49
19:01:48.337	63	50.8821	(-1, -1)	(-1, -1)	49
19:01:48.404	56	50.9456	(-1, -1)	(-1, -1)	49
19:01:48.466	58	50.9247	(-1, -1)	(-1, -1)	49
19:01:48.530	63	50.8991	(-1, -1)	(-1, -1)	49
19:01:48.598	59	50.903	(-1, -1)	(-1, -1)	49
19:01:48.662	63	50.9261	(-1, -1)	(-1, -1)	49
19:01:48.732	63	50.885	(-1, -1)	(-1, -1)	49
19:01:48.800	59	50.8604	(-1, -1)	(-1, -1)	49
19:01:48.863	60	50.9185	(-1, -1)	(-1, -1)	49
19:01:48.934	62	50.8759	(-1, -1)	(-1, -1)	49
19:01:49.002	60	50.8837	(-1, -1)	(-1, -1)	49
19:01:49.072	63	50.8772	(-1, -1)	(-1, -1)	49
19:01:49.142	63	50.9073	(-1, -1)	(-1, -1)	49
19:01:49.210	61	50.8944	(-1, -1)	(-1, -1)	49
19:01:49.282	62	50.9108	(-1, -1)	(-1, -1)	49
19:01:49.351	63	50.883	(-1, -1)	(-1, -1)	49
19:01:49.420	63	50.9339	(-1, -1)	(-1, -1)	49
19:01:49.490	63	50.8809	(-1, -1)	(-1, -1)	49
19:01:49.559	63	50.8973	(-1, -1)	(-1, -1)	49
19:01:49.628	60	50.8747	(-1, -1)	(-1, -1)	49
19:01:49.698	63	50.9071	(-1, -1)	(-1, -1)	49
19:01:49.768	63	50.928	(-1, -1)	(-1, -1)	49
19:01:49.837	58	50.8581	(-1, -1)	(-1, -1)	49
19:01:49.898	58	51.0237	(-1, -1)	(-1, -1)	49
19:01:49.962	63	50.8964	(-1, -1)	(-1, -1)	49
19:01:50.032	62	50.8566	(-1, -1)	(-1, -1)	49
19:01:50.100	57	50.9926	(-1, -1)	(-1, -1)	49
19:01:50.164	63	50.8902	(-1, -1)	(-1, -1)	49
19:01:50.237	62	50.8879	(-1, -1)	(-1, -1)	49
19:01:50.301	60	50.8993	(-1, -1)	(-1, -1)	49
19:01:50.372	63	50.9095	(-1, -1)	(-1, -1)	49
19:01:50.443	64	50.8902	(-1, -1)	(-1, -1)	49
19:01:50.510	60	50.8794	(-1, -1)	(-1, -1)	49
19:01:50.574	63	50.9003	(-1, -1)	(-1, -1)	49
19:01:50.647	62	50.9006	(-1, -1)	(-1, -1)	49
19:01:50.712	61	50.9059	(-1, -1)	(-1, -1)	49
