BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.0781448, -0.504042, 0.222377, 0.830877), Translationsvektor: ( 0.0238621, -0.133231, 1.585).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
19:06:56.389	31	14.1658	(318, 226)	(32, 23)	49
19:06:56.429	30	14.2985	(325, 225)	(33, 23)	49
19:06:56.463	30	14.5413	(335, 225)	(34, 23)	49
19:06:56.498	32	14.7479	(345, 225)	(35, 23)	49
19:06:56.535	36	14.988	(357, 225)	(36, 23)	49
19:06:56.575	37	15.2804	(372, 225)	(37, 23)	49
19:06:56.617	35	15.3859	(375, 225)	(38, 23)	49
19:06:56.658	34	15.5424	(385, 225)	(39, 23)	49
19:06:56.699	30	15.8073	(395, 225)	(40, 23)	49
19:06:56.733	31	15.9621	(405, 225)	(41, 23)	49
19:06:56.773	37	16.104	(415, 225)	(42, 23)	49
19:06:56.819	37	16.3099	(425, 225)	(43, 23)	49
19:06:56.861	38	16.7613	(435, 226)	(44, 23)	49
19:06:56.911	31	16.8839	(445, 226)	(45, 23)	49
19:06:56.950	31	17.1553	(455, 226)	(46, 23)	49
19:06:56.984	35	17.4356	(465, 227)	(47, 23)	49
19:06:57.027	38	17.6969	(475, 227)	(48, 23)	49
19:06:57.069	36	17.8351	(485, 228)	(49, 23)	49
19:06:57.110	35	18.1724	(495, 228)	(50, 23)	49
19:06:57.152	42	18.3699	(505, 229)	(51, 23)	49
19:06:57.200	43	18.4107	(515, 229)	(52, 23)	49
19:06:57.249	42	18.5717	(525, 229)	(53, 23)	49
19:06:57.298	39	18.7619	(535, 229)	(54, 23)	49
19:06:57.340	36	18.813	(545, 229)	(55, 23)	49
19:06:57.381	37	19.0607	(555, 229)	(56, 23)	49
19:06:57.422	39	19.1087	(565, 229)	(57, 23)	49
19:06:57.465	37	19.249	(575, 229)	(58, 23)	49
19:06:57.506	38	19.3074	(585, 229)	(59, 23)	49
19:06:57.547	39	19.381	(596, 229)	(60, 23)	49
19:06:57.590	37	19.4941	(605, 230)	(61, 23)	49
19:06:57.631	40	19.7567	(615, 230)	(62, 23)	49
19:06:57.682	46	19.84	(626, 230)	(63, 23)	49
19:06:57.738	39	20.0136	(635, 230)	(64, 23)	49
19:06:57.783	40	20.3247	(645, 230)	(65, 23)	49
19:06:57.826	38	20.5862	(655, 230)	(66, 23)	49
19:06:57.867	39	20.7701	(665, 230)	(67, 23)	49
19:06:57.909	37	21.1564	(680, 230)	(68, 23)	49
19:06:57.950	38	21.3126	(685, 230)	(69, 23)	49
19:06:57.994	46	21.6767	(695, 230)	(70, 23)	49
19:06:58.052	49	21.9175	(705, 230)	(71, 23)	49
19:06:58.114	48	22.1437	(715, 230)	(72, 23)	49
19:06:58.168	42	22.2846	(725, 230)	(73, 23)	49
19:06:58.215	41	22.5913	(735, 230)	(74, 23)	49
19:06:58.264	46	22.8967	(749, 230)	(75, 23)	49
19:06:58.321	50	23.0924	(756, 230)	(76, 23)	49
19:06:58.376	41	23.3486	(766, 230)	(77, 23)	49
19:06:58.423	37	23.4523	(775, 230)	(78, 23)	49
19:06:58.464	42	23.553	(785, 230)	(79, 23)	49
19:06:58.514	45	23.6929	(796, 229)	(80, 23)	49
19:06:58.563	41	23.824	(805, 229)	(81, 23)	49
19:06:58.611	38	23.9873	(815, 229)	(82, 23)	49
19:06:58.652	49	23.8973	(825, 228)	(83, 23)	49
19:06:58.712	49	23.8159	(835, 228)	(84, 23)	49
19:06:58.766	45	23.8261	(845, 228)	(85, 23)	49
19:06:58.820	46	23.9738	(855, 228)	(86, 23)	49
19:06:58.870	53	23.7284	(865, 228)	(87, 23)	49
19:06:58.931	39	23.8114	(875, 228)	(88, 23)	49
19:06:58.973	40	23.7803	(885, 228)	(89, 23)	49
19:06:59.014	40	23.8479	(895, 228)	(90, 23)	49
19:06:59.056	47	23.8345	(905, 228)	(91, 23)	49
19:06:59.105	40	23.9807	(915, 228)	(92, 23)	49
19:06:59.146	38	23.989	(925, 228)	(93, 23)	49
19:06:59.188	38	24.0881	(935, 228)	(94, 23)	49
19:06:59.230	38	24.1209	(945, 227)	(95, 23)	49
19:06:59.272	38	24.3582	(957, 227)	(96, 23)	49
19:06:59.313	38	24.3726	(966, 227)	(97, 23)	49
19:06:59.355	38	24.5919	(975, 227)	(98, 23)	49
19:06:59.397	39	24.6693	(985, 227)	(99, 23)	49
19:06:59.438	39	24.6441	(995, 227)	(100, 23)	49
19:06:59.480	38	24.5526	(1005, 227)	(101, 23)	49
19:06:59.522	39	24.488	(1015, 226)	(102, 23)	49
19:06:59.564	38	24.4524	(1025, 226)	(103, 23)	49
