BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.0781448, -0.504042, 0.222377, 0.830877), Translationsvektor: ( 0.0238621, -0.133231, 1.585).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
19:07:28.332	33	21.9481	(318, 226)	(32, 23)	49
19:07:28.371	34	22.2132	(325, 225)	(33, 23)	49
19:07:28.414	35	22.3782	(335, 225)	(34, 23)	49
19:07:28.455	34	22.3999	(345, 225)	(35, 23)	49
19:07:28.497	33	22.5801	(357, 225)	(36, 23)	49
19:07:28.540	42	22.5401	(372, 225)	(37, 23)	49
19:07:28.589	41	22.4821	(375, 225)	(38, 23)	49
19:07:28.637	41	22.7641	(385, 225)	(39, 23)	49
19:07:28.684	34	22.7822	(395, 225)	(40, 23)	49
19:07:28.725	33	22.8759	(405, 225)	(41, 23)	49
19:07:28.760	36	22.7951	(415, 225)	(42, 23)	49
19:07:28.803	38	23.0993	(425, 225)	(43, 23)	49
19:07:28.844	34	23.0092	(435, 226)	(44, 23)	49
19:07:28.886	36	23.2114	(445, 226)	(45, 23)	49
19:07:28.929	40	23.1867	(455, 226)	(46, 23)	49
19:07:28.978	43	23.2225	(465, 227)	(47, 23)	49
19:07:29.027	41	23.3039	(475, 227)	(48, 23)	49
19:07:29.077	38	23.5307	(485, 228)	(49, 23)	49
19:07:29.122	33	23.5366	(495, 228)	(50, 23)	49
19:07:29.156	33	23.7979	(505, 229)	(51, 23)	49
19:07:29.193	39	24.065	(515, 229)	(52, 23)	49
19:07:29.242	40	23.9698	(525, 229)	(53, 23)	49
19:07:29.291	36	24.1533	(535, 229)	(54, 23)	49
19:07:29.331	34	24.1559	(545, 229)	(55, 23)	49
19:07:29.372	35	24.2813	(555, 229)	(56, 23)	49
19:07:29.416	40	24.2809	(565, 229)	(57, 23)	49
19:07:29.464	42	24.3739	(575, 229)	(58, 23)	49
19:07:29.513	36	24.3844	(585, 229)	(59, 23)	49
19:07:29.553	36	24.5899	(596, 229)	(60, 23)	49
19:07:29.595	38	24.5467	(605, 230)	(61, 23)	49
19:07:29.637	35	24.3332	(615, 230)	(62, 23)	49
19:07:29.678	42	24.5984	(626, 230)	(63, 23)	49
19:07:29.729	38	24.6646	(635, 230)	(64, 23)	49
19:07:29.770	37	24.6321	(645, 230)	(65, 23)	49
19:07:29.811	36	24.6563	(655, 230)	(66, 23)	49
19:07:29.852	38	24.5604	(665, 230)	(67, 23)	49
19:07:29.895	36	24.5713	(680, 230)	(68, 23)	49
19:07:29.936	38	24.6353	(685, 230)	(69, 23)	49
19:07:29.978	37	24.5384	(695, 230)	(70, 23)	49
19:07:30.020	38	24.7154	(705, 230)	(71, 23)	49
19:07:30.062	37	24.7843	(715, 230)	(72, 23)	49
19:07:30.103	38	24.7807	(725, 230)	(73, 23)	49
19:07:30.145	38	24.6582	(735, 230)	(74, 23)	49
19:07:30.186	39	24.8492	(749, 230)	(75, 23)	49
19:07:30.228	41	24.877	(756, 230)	(76, 23)	49
19:07:30.278	41	24.9394	(766, 230)	(77, 23)	49
19:07:30.326	43	24.7633	(775, 230)	(78, 23)	49
19:07:30.374	37	25.012	(785, 230)	(79, 23)	49
19:07:30.416	37	25.2393	(796, 229)	(80, 23)	49
19:07:30.457	39	25.3631	(805, 229)	(81, 23)	49
19:07:30.499	37	25.1987	(815, 229)	(82, 23)	49
19:07:30.541	39	25.2224	(825, 228)	(83, 23)	49
19:07:30.583	38	25.2028	(835, 228)	(84, 23)	49
19:07:30.624	39	25.2194	(845, 228)	(85, 23)	49
19:07:30.666	38	25.0809	(855, 228)	(86, 23)	49
19:07:30.709	39	25.3	(865, 228)	(87, 23)	49
19:07:30.757	36	25.2304	(875, 228)	(88, 23)	49
19:07:30.797	36	25.189	(885, 228)	(89, 23)	49
19:07:30.839	35	25.0231	(895, 228)	(90, 23)	49
19:07:30.882	40	25.1359	(905, 228)	(91, 23)	49
19:07:30.931	40	25.1782	(915, 228)	(92, 23)	49
19:07:30.980	37	24.8603	(925, 228)	(93, 23)	49
19:07:31.020	34	24.7145	(935, 228)	(94, 23)	49
19:07:31.062	33	25.0354	(945, 227)	(95, 23)	49
19:07:31.103	39	25.2107	(957, 227)	(96, 23)	49
19:07:31.147	42	25.1548	(966, 227)	(97, 23)	49
19:07:31.195	39	25.003	(975, 227)	(98, 23)	49
19:07:31.243	42	25.1471	(985, 227)	(99, 23)	49
19:07:31.293	44	25.0413	(995, 227)	(100, 23)	49
19:07:31.341	44	25.147	(1005, 227)	(101, 23)	49
19:07:31.398	42	25.0489	(1015, 226)	(102, 23)	49
19:07:31.445	35	25.3052	(1025, 226)	(103, 23)	49
19:07:31.486	42	25.319	(1035, 226)	(104, 23)	49
19:07:31.537	44	25.3407	(1045, 225)	(105, 23)	49
19:07:31.592	42	25.2693	(1055, 225)	(106, 23)	49
19:07:31.640	38	25.409	(1065, 225)	(107, 23)	49
19:07:31.681	41	25.3987	(1071, 224)	(107, 22)	49
19:07:31.730	40	25.3545	(1075, 224)	(108, 22)	49
19:07:31.779	39	25.3564	(1085, 224)	(109, 22)	49
19:07:31.827	37	25.2735	(1095, 224)	(110, 22)	49
19:07:31.868	37	25.3394	(1105, 224)	(111, 22)	49
19:07:31.910	41	25.3394	(1115, 224)	(112, 22)	49
19:07:31.960	43	25.2067	(1125, 224)	(113, 22)	49
19:07:32.009	42	24.9341	(1135, 224)	(114, 22)	49
19:07:32.056	36	24.9902	(1146, 223)	(115, 22)	49
19:07:32.098	38	24.9316	(1155, 223)	(116, 22)	49
19:07:32.141	37	24.9853	(1165, 223)	(117, 22)	49
19:07:32.182	37	24.8895	(1175, 223)	(118, 22)	49
19:07:32.225	38	24.7113	(1185, 223)	(119, 22)	49
19:07:32.272	36	24.8179	(1195, 223)	(120, 22)	49
19:07:32.315	44	24.8052	(1205, 223)	(121, 22)	49
19:07:32.370	45	24.7495	(1215, 223)	(122, 22)	49
19:07:32.419	43	24.7027	(1225, 223)	(123, 22)	49
19:07:32.467	34	24.8052	(1235, 223)	(124, 22)	49
19:07:32.508	33	24.799	(1245, 223)	(125, 22)	49
19:07:32.542	37	24.96	(1255, 223)	(126, 22)	49
19:07:32.585	40	24.9689	(1265, 224)	(127, 22)	49
19:07:32.634	43	24.9314	(1275, 224)	(128, 22)	49
19:07:32.682	34	24.8058	(1282, 225)	(128, 23)	49
19:07:32.723	33	24.8027	(1285, 225)	(129, 23)	49
19:07:32.758	34	24.6199	(1295, 226)	(130, 23)	49
19:07:32.800	40	24.8185	(1305, 226)	(131, 23)	49
19:07:32.849	39	24.6621	(1316, 228)	(132, 23)	49
19:07:32.890	35	24.4893	(1326, 228)	(133, 23)	49
19:07:32.932	35	24.5521	(1335, 228)	(134, 23)	49
19:07:32.973	37	24.5301	(1345, 229)	(135, 23)	49
19:07:33.017	43	24.4689	(1355, 230)	(136, 23)	49
19:07:33.068	41	24.2551	(1366, 230)	(137, 23)	49
19:07:33.113	36	24.212	(1375, 230)	(138, 23)	49
19:07:33.156	40	24.1283	(1386, 231)	(139, 23)	49
19:07:33.204	43	24.1018	(1395, 231)	(140, 23)	49
19:07:33.253	40	23.9326	(1405, 232)	(141, 23)	49
19:07:33.301	37	23.8994	(1415, 232)	(142, 23)	49
19:07:33.342	39	23.843	(1425, 232)	(143, 23)	49
19:07:33.385	40	23.5428	(1435, 233)	(144, 23)	49
19:07:33.433	39	23.4806	(1445, 234)	(145, 23)	49
19:07:33.482	38	23.4554	(1455, 234)	(146, 23)	49
19:07:33.523	34	23.339	(1465, 234)	(147, 23)	49
19:07:33.564	38	23.2114	(1478, 234)	(148, 23)	49
19:07:33.607	39	23.1939	(1485, 234)	(149, 23)	49
19:07:33.656	39	23.0839	(1488, 235)	(149, 24)	49
19:07:33.705	39	23.1634	(1495, 235)	(150, 24)	49
19:07:33.752	35	23.0711	(1506, 235)	(151, 24)	49
19:07:33.795	40	23.107	(1516, 235)	(152, 24)	49
19:07:33.843	39	23.0884	(1526, 236)	(153, 24)	49
19:07:33.886	42	22.8376	(1535, 236)	(154, 24)	49
19:07:33.934	37	22.917	(1546, 236)	(155, 24)	49
19:07:33.974	32	22.9163	(1556, 237)	(156, 24)	49
19:07:34.009	31	22.8804	(1565, 237)	(157, 24)	49
19:07:34.043	37	22.7538	(1575, 238)	(158, 24)	49
19:07:34.087	39	22.5781	(1585, 238)	(159, 24)	49
19:07:34.129	36	22.4572	(1595, 239)	(160, 24)	49
19:07:34.170	32	22.0679	(1605, 239)	(161, 24)	49
19:07:34.204	31	21.8855	(1615, 240)	(162, 24)	49
19:07:34.240	34	21.837	(1625, 240)	(163, 24)	49
19:07:34.281	35	21.6913	(1636, 241)	(164, 24)	49
19:07:34.323	36	21.7489	(1645, 242)	(165, 24)	49
19:07:34.365	32	21.5656	(1655, 242)	(166, 24)	49
19:07:34.405	35	21.6068	(1666, 243)	(167, 24)	49
19:07:34.448	36	21.6163	(1676, 244)	(168, 24)	49
19:07:34.492	36	21.5738	(1677, 245)	(168, 25)	49
19:07:34.532	38	21.5379	(1686, 245)	(169, 25)	49
19:07:34.573	33	21.6056	(1696, 246)	(170, 25)	49
19:07:34.614	32	21.5399	(1705, 246)	(171, 25)	49
19:07:34.649	38	21.5241	(1715, 248)	(172, 25)	49
19:07:34.695	40	21.452	(1726, 249)	(173, 25)	49
19:07:34.741	38	21.4505	(1735, 250)	(174, 25)	49
19:07:34.789	33	21.4236	(1745, 251)	(175, 25)	49
19:07:34.830	31	21.4439	(1755, 253)	(176, 25)	49
19:07:34.864	32	21.4431	(1765, 254)	(177, 25)	49
19:07:34.899	38	21.5433	(1768, 255)	(177, 26)	49
19:07:34.942	40	21.4493	(1775, 256)	(178, 26)	49
19:07:34.991	37	21.4136	(1785, 258)	(179, 26)	49
19:07:35.031	35	21.4267	(1795, 260)	(180, 26)	49
19:07:35.074	35	21.3932	(1805, 262)	(181, 26)	49
19:07:35.115	36	21.3267	(1815, 264)	(182, 26)	49
19:07:35.157	35	21.3021	(1817, 265)	(182, 27)	49
19:07:35.199	33	21.2874	(1825, 267)	(183, 27)	49
