BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.0781448, -0.504042, 0.222377, 0.830877), Translationsvektor: ( 0.0238621, -0.133231, 1.585).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
19:06:07.107	68	60.3191	(-1, -1)	(-1, -1)	49
19:06:07.182	67	60.3453	(-1, -1)	(-1, -1)	49
19:06:07.293	70	60.3505	(-1, -1)	(-1, -1)	49
19:06:07.373	70	60.2864	(-1, -1)	(-1, -1)	49
19:06:07.446	68	60.4237	(-1, -1)	(-1, -1)	49
19:06:07.525	69	60.3173	(-1, -1)	(-1, -1)	49
19:06:07.599	69	60.395	(-1, -1)	(-1, -1)	49
19:06:07.678	72	60.3071	(-1, -1)	(-1, -1)	49
19:06:07.763	72	60.3185	(-1, -1)	(-1, -1)	49
19:06:07.843	69	60.3148	(-1, -1)	(-1, -1)	49
19:06:07.921	72	60.2816	(-1, -1)	(-1, -1)	49
19:06:07.997	72	60.3447	(-1, -1)	(-1, -1)	49
19:06:08.074	71	60.3135	(-1, -1)	(-1, -1)	49
19:06:08.149	69	60.3243	(-1, -1)	(-1, -1)	49
19:06:08.225	67	60.4898	(-1, -1)	(-1, -1)	49
19:06:08.294	68	60.356	(-1, -1)	(-1, -1)	49
19:06:08.372	72	60.2837	(-1, -1)	(-1, -1)	49
19:06:08.449	71	60.3393	(-1, -1)	(-1, -1)	49
19:06:08.524	66	60.4447	(-1, -1)	(-1, -1)	49
19:06:08.594	67	60.3954	(-1, -1)	(-1, -1)	49
19:06:08.670	70	60.3184	(-1, -1)	(-1, -1)	49
19:06:08.748	72	60.3007	(-1, -1)	(-1, -1)	49
19:06:08.825	72	60.2816	(-1, -1)	(-1, -1)	49
19:06:08.899	68	60.3495	(-1, -1)	(-1, -1)	49
19:06:08.978	72	60.3441	(-1, -1)	(-1, -1)	49
19:06:09.061	71	60.2809	(-1, -1)	(-1, -1)	49
19:06:09.135	67	60.3911	(-1, -1)	(-1, -1)	49
19:06:09.209	73	60.3133	(-1, -1)	(-1, -1)	49
19:06:09.290	75	60.3207	(-1, -1)	(-1, -1)	49
19:06:09.373	73	60.2876	(-1, -1)	(-1, -1)	49
19:06:09.457	72	60.2636	(-1, -1)	(-1, -1)	49
19:06:09.533	72	60.2959	(-1, -1)	(-1, -1)	49
19:06:09.610	73	60.2775	(-1, -1)	(-1, -1)	49
19:06:09.694	72	60.3465	(-1, -1)	(-1, -1)	49
19:06:09.769	68	60.4673	(-1, -1)	(-1, -1)	49
19:06:09.845	70	60.2756	(-1, -1)	(-1, -1)	49
19:06:09.923	72	60.2945	(-1, -1)	(-1, -1)	49
19:06:10.007	72	60.2895	(-1, -1)	(-1, -1)	49
19:06:10.089	71	60.3016	(-1, -1)	(-1, -1)	49
19:06:10.165	70	60.3179	(-1, -1)	(-1, -1)	49
19:06:10.243	71	60.3407	(-1, -1)	(-1, -1)	49
19:06:10.319	71	60.3138	(-1, -1)	(-1, -1)	49
19:06:10.395	67	60.3631	(-1, -1)	(-1, -1)	49
19:06:10.473	71	60.3439	(-1, -1)	(-1, -1)	49
19:06:10.556	70	60.3299	(-1, -1)	(-1, -1)	49
19:06:10.629	69	60.345	(-1, -1)	(-1, -1)	49
19:06:10.710	71	60.2673	(-1, -1)	(-1, -1)	49
19:06:10.785	68	60.3824	(-1, -1)	(-1, -1)	49
19:06:10.859	68	60.4046	(-1, -1)	(-1, -1)	49
19:06:10.938	72	60.3013	(-1, -1)	(-1, -1)	49
19:06:11.013	69	60.3004	(-1, -1)	(-1, -1)	49
19:06:11.091	72	60.323	(-1, -1)	(-1, -1)	49
19:06:11.174	71	60.3259	(-1, -1)	(-1, -1)	49
19:06:11.249	69	60.4074	(-1, -1)	(-1, -1)	49
19:06:11.328	72	60.3056	(-1, -1)	(-1, -1)	49
19:06:11.414	69	60.2653	(-1, -1)	(-1, -1)	49
19:06:11.486	68	60.2825	(-1, -1)	(-1, -1)	49
19:06:11.563	72	60.3041	(-1, -1)	(-1, -1)	49
19:06:11.640	70	60.2889	(-1, -1)	(-1, -1)	49
19:06:11.716	72	60.3237	(-1, -1)	(-1, -1)	49
19:06:11.793	71	60.3548	(-1, -1)	(-1, -1)	49
19:06:11.868	69	60.4892	(-1, -1)	(-1, -1)	49
19:06:11.946	71	60.3047	(-1, -1)	(-1, -1)	49
19:06:12.022	72	60.2864	(-1, -1)	(-1, -1)	49
19:06:12.098	68	60.2569	(-1, -1)	(-1, -1)	49
19:06:12.175	72	60.3188	(-1, -1)	(-1, -1)	49
19:06:12.251	71	60.4041	(-1, -1)	(-1, -1)	49
19:06:12.326	68	60.3973	(-1, -1)	(-1, -1)	49
19:06:12.405	71	60.3087	(-1, -1)	(-1, -1)	49
19:06:12.480	68	60.3628	(-1, -1)	(-1, -1)	49
19:06:12.557	74	60.3399	(-1, -1)	(-1, -1)	49
19:06:12.644	71	60.3396	(-1, -1)	(-1, -1)	49
19:06:12.723	69	60.3241	(-1, -1)	(-1, -1)	49
19:06:12.802	73	60.3391	(-1, -1)	(-1, -1)	49
19:06:12.885	72	60.3751	(-1, -1)	(-1, -1)	49
19:06:12.959	68	60.3439	(-1, -1)	(-1, -1)	49
19:06:13.038	72	60.3287	(-1, -1)	(-1, -1)	49
19:06:13.119	71	60.3012	(-1, -1)	(-1, -1)	49
19:06:13.197	73	60.2741	(-1, -1)	(-1, -1)	49
19:06:13.280	72	60.3225	(-1, -1)	(-1, -1)	49
19:06:13.355	70	60.409	(-1, -1)	(-1, -1)	49
19:06:13.433	74	60.305	(-1, -1)	(-1, -1)	49
19:06:13.518	71	60.319	(-1, -1)	(-1, -1)	49
19:06:13.594	82	60.3039	(-1, -1)	(-1, -1)	49
19:06:13.683	71	60.4247	(-1, -1)	(-1, -1)	49
19:06:13.759	68	60.3606	(-1, -1)	(-1, -1)	49
19:06:13.834	68	60.4403	(-1, -1)	(-1, -1)	49
19:06:13.913	71	60.2877	(-1, -1)	(-1, -1)	49
19:06:13.988	69	60.3344	(-1, -1)	(-1, -1)	49
19:06:14.065	70	60.3061	(-1, -1)	(-1, -1)	49
19:06:14.143	70	60.3034	(-1, -1)	(-1, -1)	49
19:06:14.217	67	60.3957	(-1, -1)	(-1, -1)	49
19:06:14.287	69	60.3997	(-1, -1)	(-1, -1)	49
19:06:14.365	72	60.319	(-1, -1)	(-1, -1)	49
19:06:14.442	70	60.304	(-1, -1)	(-1, -1)	49
19:06:14.518	73	60.3308	(-1, -1)	(-1, -1)	49
19:06:14.601	72	60.3634	(-1, -1)	(-1, -1)	49
19:06:14.685	73	60.3323	(-1, -1)	(-1, -1)	49
19:06:14.768	72	60.3837	(-1, -1)	(-1, -1)	49
19:06:14.843	67	60.3627	(-1, -1)	(-1, -1)	49
19:06:14.921	72	60.272	(-1, -1)	(-1, -1)	49
19:06:14.997	71	60.2973	(-1, -1)	(-1, -1)	49
19:06:15.072	68	60.2782	(-1, -1)	(-1, -1)	49
19:06:15.149	69	60.3681	(-1, -1)	(-1, -1)	49
19:06:15.230	70	60.2954	(-1, -1)	(-1, -1)	49
19:06:15.303	72	60.3564	(-1, -1)	(-1, -1)	49
19:06:15.380	72	60.3987	(-1, -1)	(-1, -1)	49
19:06:15.463	72	60.3204	(-1, -1)	(-1, -1)	49
19:06:15.537	68	60.3827	(-1, -1)	(-1, -1)	49
19:06:15.616	73	60.2846	(-1, -1)	(-1, -1)	49
19:06:15.693	68	60.2819	(-1, -1)	(-1, -1)	49
19:06:15.767	68	60.3975	(-1, -1)	(-1, -1)	49
19:06:15.844	68	60.3286	(-1, -1)	(-1, -1)	49
19:06:15.921	68	60.3853	(-1, -1)	(-1, -1)	49
19:06:15.999	72	60.3622	(-1, -1)	(-1, -1)	49
19:06:16.086	68	60.3111	(-1, -1)	(-1, -1)	49
19:06:16.157	68	60.436	(-1, -1)	(-1, -1)	49
19:06:16.236	70	60.356	(-1, -1)	(-1, -1)	49
19:06:16.311	73	60.3179	(-1, -1)	(-1, -1)	49
19:06:16.397	71	60.3079	(-1, -1)	(-1, -1)	49
19:06:16.478	72	60.2907	(-1, -1)	(-1, -1)	49
19:06:16.553	70	60.2864	(-1, -1)	(-1, -1)	49
19:06:16.631	72	60.3169	(-1, -1)	(-1, -1)	49
19:06:16.712	73	60.3335	(-1, -1)	(-1, -1)	49
19:06:16.790	69	60.2887	(-1, -1)	(-1, -1)	49
19:06:16.866	67	60.4184	(-1, -1)	(-1, -1)	49
19:06:16.936	69	60.3157	(-1, -1)	(-1, -1)	49
19:06:17.013	73	60.2973	(-1, -1)	(-1, -1)	49
19:06:17.097	72	60.3098	(-1, -1)	(-1, -1)	49
19:06:17.172	67	60.3744	(-1, -1)	(-1, -1)	49
19:06:17.243	72	60.325	(-1, -1)	(-1, -1)	49
19:06:17.334	71	60.2923	(-1, -1)	(-1, -1)	49
19:06:17.409	67	60.3511	(-1, -1)	(-1, -1)	49
19:06:17.486	73	60.3579	(-1, -1)	(-1, -1)	49
19:06:17.563	71	60.2841	(-1, -1)	(-1, -1)	49
19:06:17.638	70	60.2919	(-1, -1)	(-1, -1)	49
19:06:17.715	73	60.339	(-1, -1)	(-1, -1)	49
19:06:17.792	69	60.3338	(-1, -1)	(-1, -1)	49
19:06:17.869	72	60.276	(-1, -1)	(-1, -1)	49
19:06:17.952	73	60.3529	(-1, -1)	(-1, -1)	49
19:06:18.036	73	60.301	(-1, -1)	(-1, -1)	49
19:06:18.118	72	60.3379	(-1, -1)	(-1, -1)	49
19:06:18.196	71	60.2948	(-1, -1)	(-1, -1)	49
19:06:18.270	73	60.344	(-1, -1)	(-1, -1)	49
19:06:18.348	73	60.3545	(-1, -1)	(-1, -1)	49
19:06:18.424	70	60.3326	(-1, -1)	(-1, -1)	49
19:06:18.501	73	60.2982	(-1, -1)	(-1, -1)	49
19:06:18.584	73	60.3505	(-1, -1)	(-1, -1)	49
19:06:18.666	68	60.3588	(-1, -1)	(-1, -1)	49
19:06:18.744	73	60.3182	(-1, -1)	(-1, -1)	49
19:06:18.821	72	60.2815	(-1, -1)	(-1, -1)	49
19:06:18.896	67	60.3607	(-1, -1)	(-1, -1)	49
19:06:18.967	72	60.3775	(-1, -1)	(-1, -1)	49
19:06:19.044	71	60.3258	(-1, -1)	(-1, -1)	49
19:06:19.120	72	60.3154	(-1, -1)	(-1, -1)	49
19:06:19.197	70	60.2862	(-1, -1)	(-1, -1)	49
19:06:19.271	69	60.3979	(-1, -1)	(-1, -1)	49
19:06:19.349	73	60.3117	(-1, -1)	(-1, -1)	49
19:06:19.433	72	60.3858	(-1, -1)	(-1, -1)	49
19:06:19.508	68	60.2889	(-1, -1)	(-1, -1)	49
19:06:19.586	74	60.3446	(-1, -1)	(-1, -1)	49
19:06:19.669	72	60.2852	(-1, -1)	(-1, -1)	49
19:06:19.745	71	60.3529	(-1, -1)	(-1, -1)	49
19:06:19.822	73	60.2745	(-1, -1)	(-1, -1)	49
19:06:19.898	68	60.3433	(-1, -1)	(-1, -1)	49
19:06:19.973	68	60.383	(-1, -1)	(-1, -1)	49
19:06:20.051	72	60.34	(-1, -1)	(-1, -1)	49
19:06:20.128	69	60.3081	(-1, -1)	(-1, -1)	49
19:06:20.203	70	60.2887	(-1, -1)	(-1, -1)	49
19:06:20.282	72	60.2942	(-1, -1)	(-1, -1)	49
19:06:20.356	67	60.4258	(-1, -1)	(-1, -1)	49
19:06:20.425	69	60.4399	(-1, -1)	(-1, -1)	49
19:06:20.503	72	60.3596	(-1, -1)	(-1, -1)	49
19:06:20.578	69	60.4157	(-1, -1)	(-1, -1)	49
19:06:20.656	72	60.3181	(-1, -1)	(-1, -1)	49
19:06:20.732	70	60.2973	(-1, -1)	(-1, -1)	49
19:06:20.809	72	60.3107	(-1, -1)	(-1, -1)	49
19:06:20.886	72	60.3504	(-1, -1)	(-1, -1)	49
19:06:20.969	70	60.347	(-1, -1)	(-1, -1)	49
19:06:21.046	72	60.3004	(-1, -1)	(-1, -1)	49
19:06:21.129	70	60.3593	(-1, -1)	(-1, -1)	49
19:06:21.203	67	60.3961	(-1, -1)	(-1, -1)	49
19:06:21.273	66	60.3655	(-1, -1)	(-1, -1)	49
19:06:21.342	67	60.3809	(-1, -1)	(-1, -1)	49
19:06:21.413	72	60.3615	(-1, -1)	(-1, -1)	49
19:06:21.491	72	60.2884	(-1, -1)	(-1, -1)	49
19:06:21.570	68	60.357	(-1, -1)	(-1, -1)	49
19:06:21.642	67	60.4071	(-1, -1)	(-1, -1)	49
19:06:21.720	72	60.3655	(-1, -1)	(-1, -1)	49
19:06:21.795	68	60.3289	(-1, -1)	(-1, -1)	49
19:06:21.864	67	60.405	(-1, -1)	(-1, -1)	49
19:06:21.936	70	60.2997	(-1, -1)	(-1, -1)	49
19:06:22.012	72	60.3076	(-1, -1)	(-1, -1)	49
19:06:22.089	71	60.2668	(-1, -1)	(-1, -1)	49
19:06:22.165	72	60.3388	(-1, -1)	(-1, -1)	49
19:06:22.239	68	60.3579	(-1, -1)	(-1, -1)	49
19:06:22.319	72	60.341	(-1, -1)	(-1, -1)	49
19:06:22.402	70	60.3505	(-1, -1)	(-1, -1)	49
19:06:22.478	71	60.3099	(-1, -1)	(-1, -1)	49
19:06:22.554	72	60.2944	(-1, -1)	(-1, -1)	49
19:06:22.640	73	60.36	(-1, -1)	(-1, -1)	49
19:06:22.748	68	60.3123	(-1, -1)	(-1, -1)	49
19:06:22.826	68	60.259	(-1, -1)	(-1, -1)	49
19:06:22.900	68	60.352	(-1, -1)	(-1, -1)	49
19:06:22.980	73	60.341	(-1, -1)	(-1, -1)	49
19:06:23.063	72	60.289	(-1, -1)	(-1, -1)	49
19:06:23.216	69	60.3477	(-1, -1)	(-1, -1)	49
19:06:23.290	67	60.4378	(-1, -1)	(-1, -1)	49
19:06:23.370	72	60.2815	(-1, -1)	(-1, -1)	49
19:06:23.451	72	60.2782	(-1, -1)	(-1, -1)	49
19:06:23.525	68	60.4449	(-1, -1)	(-1, -1)	49
19:06:23.649	77	60.2646	(-1, -1)	(-1, -1)	49
19:06:23.735	68	60.399	(-1, -1)	(-1, -1)	49
19:06:23.812	73	60.2717	(-1, -1)	(-1, -1)	49
19:06:23.898	73	60.2809	(-1, -1)	(-1, -1)	49
19:06:23.979	68	60.313	(-1, -1)	(-1, -1)	49
19:06:24.057	71	60.4074	(-1, -1)	(-1, -1)	49
19:06:24.132	67	60.3439	(-1, -1)	(-1, -1)	49
19:06:24.209	69	60.3151	(-1, -1)	(-1, -1)	49
19:06:24.291	73	60.2516	(-1, -1)	(-1, -1)	49
19:06:24.370	71	60.3569	(-1, -1)	(-1, -1)	49
19:06:24.444	68	60.4649	(-1, -1)	(-1, -1)	49
19:06:24.547	66	60.3156	(-1, -1)	(-1, -1)	49
19:06:24.618	67	60.3916	(-1, -1)	(-1, -1)	49
19:06:24.728	68	60.3559	(-1, -1)	(-1, -1)	49
19:06:24.806	70	60.3323	(-1, -1)	(-1, -1)	49
19:06:24.882	71	60.4111	(-1, -1)	(-1, -1)	49
19:06:24.961	72	60.2963	(-1, -1)	(-1, -1)	49
19:06:25.035	67	60.5034	(-1, -1)	(-1, -1)	49
19:06:25.105	66	60.5729	(-1, -1)	(-1, -1)	49
19:06:25.173	67	60.5409	(-1, -1)	(-1, -1)	49
19:06:25.243	66	60.6098	(-1, -1)	(-1, -1)	49
19:06:25.313	68	60.4479	(-1, -1)	(-1, -1)	49
19:06:25.389	69	60.4599	(-1, -1)	(-1, -1)	49
19:06:25.467	70	60.4684	(-1, -1)	(-1, -1)	49
19:06:25.548	76	60.3662	(-1, -1)	(-1, -1)	49
19:06:25.636	69	61.1748	(-1, -1)	(-1, -1)	49
19:06:25.738	69	62.5652	(-1, -1)	(-1, -1)	49
19:06:25.822	79	60.3631	(-1, -1)	(-1, -1)	49
19:06:25.903	66	60.5231	(-1, -1)	(-1, -1)	49
19:06:25.973	65	60.6516	(-1, -1)	(-1, -1)	49
19:06:26.043	66	60.5141	(-1, -1)	(-1, -1)	49
19:06:26.112	66	60.3114	(-1, -1)	(-1, -1)	49
19:06:26.181	66	60.3459	(-1, -1)	(-1, -1)	49
19:06:26.251	67	60.3542	(-1, -1)	(-1, -1)	49
19:06:26.320	66	60.3353	(-1, -1)	(-1, -1)	49
19:06:26.390	67	60.2898	(-1, -1)	(-1, -1)	49
19:06:26.459	67	60.3099	(-1, -1)	(-1, -1)	49
19:06:26.529	68	60.3081	(-1, -1)	(-1, -1)	49
19:06:26.598	66	60.2954	(-1, -1)	(-1, -1)	49
19:06:26.668	70	60.2773	(-1, -1)	(-1, -1)	49
19:06:26.746	72	60.2957	(-1, -1)	(-1, -1)	49
19:06:26.823	71	60.3228	(-1, -1)	(-1, -1)	49
19:06:26.898	68	60.3059	(-1, -1)	(-1, -1)	49
19:06:26.975	72	60.313	(-1, -1)	(-1, -1)	49
19:06:27.052	70	60.3138	(-1, -1)	(-1, -1)	49
19:06:27.127	67	60.3009	(-1, -1)	(-1, -1)	49
19:06:27.196	67	60.3721	(-1, -1)	(-1, -1)	49
19:06:27.266	69	60.3283	(-1, -1)	(-1, -1)	49
19:06:27.345	71	60.2748	(-1, -1)	(-1, -1)	49
19:06:27.428	72	60.4041	(-1, -1)	(-1, -1)	49
19:06:27.503	68	60.3298	(-1, -1)	(-1, -1)	49
19:06:27.579	66	60.3095	(-1, -1)	(-1, -1)	49
19:06:27.648	66	60.3321	(-1, -1)	(-1, -1)	49
19:06:27.717	68	60.2864	(-1, -1)	(-1, -1)	49
19:06:27.790	70	60.3121	(-1, -1)	(-1, -1)	49
19:06:27.864	69	60.3197	(-1, -1)	(-1, -1)	49
19:06:27.940	67	60.3295	(-1, -1)	(-1, -1)	49
19:06:28.010	70	60.3404	(-1, -1)	(-1, -1)	49
19:06:28.088	68	60.3656	(-1, -1)	(-1, -1)	49
19:06:28.163	66	60.3637	(-1, -1)	(-1, -1)	49
19:06:28.233	66	60.352	(-1, -1)	(-1, -1)	49
19:06:28.303	72	60.333	(-1, -1)	(-1, -1)	49
19:06:28.378	70	60.3514	(-1, -1)	(-1, -1)	49
19:06:28.456	72	60.293	(-1, -1)	(-1, -1)	49
19:06:28.531	67	60.3267	(-1, -1)	(-1, -1)	49
19:06:28.600	66	60.311	(-1, -1)	(-1, -1)	49
19:06:28.670	67	61.6047	(-1, -1)	(-1, -1)	49
19:06:28.739	66	60.3604	(-1, -1)	(-1, -1)	49
19:06:28.809	66	60.7012	(-1, -1)	(-1, -1)	49
19:06:28.879	66	60.385	(-1, -1)	(-1, -1)	49
19:06:28.948	66	60.3606	(-1, -1)	(-1, -1)	49
19:06:29.019	69	60.2729	(-1, -1)	(-1, -1)	49
19:06:29.094	66	60.4305	(-1, -1)	(-1, -1)	49
19:06:29.163	69	60.3203	(-1, -1)	(-1, -1)	49
19:06:29.242	71	60.3184	(-1, -1)	(-1, -1)	49
19:06:29.328	72	60.3624	(-1, -1)	(-1, -1)	49
19:06:29.407	68	60.3105	(-1, -1)	(-1, -1)	49
19:06:29.485	72	60.3381	(-1, -1)	(-1, -1)	49
19:06:29.560	69	60.3253	(-1, -1)	(-1, -1)	49
19:06:29.637	75	60.3031	(-1, -1)	(-1, -1)	49
19:06:29.721	72	60.3173	(-1, -1)	(-1, -1)	49
19:06:29.797	69	60.3479	(-1, -1)	(-1, -1)	49
19:06:29.875	69	60.3095	(-1, -1)	(-1, -1)	49
19:06:29.951	72	60.3141	(-1, -1)	(-1, -1)	49
19:06:30.026	70	60.3553	(-1, -1)	(-1, -1)	49
19:06:30.104	73	60.2953	(-1, -1)	(-1, -1)	49
19:06:30.187	72	60.3111	(-1, -1)	(-1, -1)	49
19:06:30.261	69	60.3065	(-1, -1)	(-1, -1)	49
19:06:30.340	71	60.3763	(-1, -1)	(-1, -1)	49
19:06:30.415	67	61.7793	(-1, -1)	(-1, -1)	49
19:06:30.485	66	60.3277	(-1, -1)	(-1, -1)	49
19:06:30.554	67	60.3258	(-1, -1)	(-1, -1)	49
19:06:30.628	67	60.385	(-1, -1)	(-1, -1)	49
19:06:30.700	66	60.3637	(-1, -1)	(-1, -1)	49
19:06:30.770	67	60.3169	(-1, -1)	(-1, -1)	49
19:06:30.840	66	60.3006	(-1, -1)	(-1, -1)	49
19:06:30.908	65	60.2988	(-1, -1)	(-1, -1)	49
19:06:30.978	66	60.389	(-1, -1)	(-1, -1)	49
19:06:31.048	66	60.4969	(-1, -1)	(-1, -1)	49
19:06:31.117	66	60.3102	(-1, -1)	(-1, -1)	49
19:06:31.187	66	60.3296	(-1, -1)	(-1, -1)	49
19:06:31.256	66	60.3636	(-1, -1)	(-1, -1)	49
19:06:31.326	66	60.3281	(-1, -1)	(-1, -1)	49
19:06:31.395	66	60.4641	(-1, -1)	(-1, -1)	49
19:06:31.464	67	60.3773	(-1, -1)	(-1, -1)	49
19:06:31.536	70	60.3441	(-1, -1)	(-1, -1)	49
19:06:31.614	71	60.3756	(-1, -1)	(-1, -1)	49
19:06:31.687	68	60.3135	(-1, -1)	(-1, -1)	49
19:06:31.766	71	60.317	(-1, -1)	(-1, -1)	49
19:06:31.842	73	60.3116	(-1, -1)	(-1, -1)	49
19:06:31.931	74	60.3319	(-1, -1)	(-1, -1)	49
19:06:32.008	67	60.4535	(-1, -1)	(-1, -1)	49
19:06:32.084	67	60.3879	(-1, -1)	(-1, -1)	49
19:06:32.153	66	60.3409	(-1, -1)	(-1, -1)	49
19:06:32.222	67	60.3359	(-1, -1)	(-1, -1)	49
19:06:32.293	66	60.3061	(-1, -1)	(-1, -1)	49
19:06:32.362	66	60.2963	(-1, -1)	(-1, -1)	49
19:06:32.432	69	60.3378	(-1, -1)	(-1, -1)	49
19:06:32.508	66	60.3261	(-1, -1)	(-1, -1)	49
19:06:32.577	67	60.3913	(-1, -1)	(-1, -1)	49
