BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.0635341, 0.68235, -0.135584, -0.715522), Translationsvektor: ( 0.164384, -0.174579, 1.775).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
00:14:19.281	23	12.7569	(318, 226)	(32, 23)	172
00:14:19.312	22	12.7369	(325, 225)	(33, 23)	172
00:14:19.340	21	12.8326	(335, 225)	(34, 23)	172
00:14:19.367	25	12.8387	(345, 225)	(35, 23)	172
00:14:19.402	26	12.9062	(357, 225)	(36, 23)	172
00:14:19.430	28	12.9433	(372, 225)	(37, 23)	172
00:14:19.465	27	12.9099	(375, 225)	(38, 23)	172
00:14:19.500	26	13.0484	(385, 225)	(39, 23)	172
00:14:19.528	22	13.0662	(395, 225)	(40, 23)	172
00:14:19.555	23	13.0339	(405, 225)	(41, 23)	172
00:14:19.583	23	13.105	(415, 225)	(42, 23)	172
00:14:19.611	28	13.1967	(425, 225)	(43, 23)	172
00:14:19.651	28	13.151	(435, 226)	(44, 23)	172
00:14:19.688	26	13.3016	(445, 226)	(45, 23)	172
00:14:19.723	26	13.3353	(455, 226)	(46, 23)	172
00:14:19.750	23	13.5056	(465, 227)	(47, 23)	172
00:14:19.778	23	13.5569	(475, 227)	(48, 23)	172
00:14:19.806	24	13.5569	(485, 228)	(49, 23)	172
00:14:19.834	27	13.6308	(495, 228)	(50, 23)	172
00:14:19.868	28	13.8	(505, 229)	(51, 23)	172
00:14:19.904	29	13.889	(515, 229)	(52, 23)	172
00:14:19.938	25	13.9184	(525, 229)	(53, 23)	172
00:14:19.966	23	13.9142	(535, 229)	(54, 23)	172
00:14:19.993	25	14.2083	(545, 229)	(55, 23)	172
00:14:20.020	24	14.1252	(555, 229)	(56, 23)	172
00:14:20.048	25	14.2259	(565, 229)	(57, 23)	172
00:14:20.077	31	14.2621	(575, 229)	(58, 23)	172
00:14:20.112	25	14.5305	(585, 229)	(59, 23)	172
00:14:20.140	24	14.4754	(596, 229)	(60, 23)	172
00:14:20.169	25	14.5596	(605, 230)	(61, 23)	172
00:14:20.202	26	14.7301	(615, 230)	(62, 23)	172
00:14:20.230	24	14.7649	(626, 230)	(63, 23)	172
00:14:20.257	30	14.7775	(635, 230)	(64, 23)	172
00:14:20.293	30	14.764	(645, 230)	(65, 23)	172
00:14:20.328	28	14.944	(655, 230)	(66, 23)	172
00:14:20.362	27	15.116	(665, 230)	(67, 23)	172
00:14:20.397	28	15.1216	(680, 230)	(68, 23)	172
00:14:20.432	27	15.2864	(685, 230)	(69, 23)	172
00:14:20.466	27	15.4687	(695, 230)	(70, 23)	172
00:14:20.501	27	15.5634	(705, 230)	(71, 23)	172
00:14:20.537	25	15.6779	(715, 230)	(72, 23)	172
00:14:20.570	25	15.7828	(725, 230)	(73, 23)	172
00:14:20.598	26	15.795	(735, 230)	(74, 23)	172
00:14:20.626	24	15.908	(749, 230)	(75, 23)	172
00:14:20.653	27	15.9366	(756, 230)	(76, 23)	172
00:14:20.683	26	15.9376	(766, 230)	(77, 23)	172
00:14:20.716	26	16.087	(775, 230)	(78, 23)	172
00:14:20.744	27	16.1864	(785, 230)	(79, 23)	172
00:14:20.779	25	16.2972	(796, 229)	(80, 23)	172
00:14:20.807	25	16.4406	(805, 229)	(81, 23)	172
00:14:20.834	25	16.3535	(815, 229)	(82, 23)	172
00:14:20.862	29	16.4621	(825, 228)	(83, 23)	172
00:14:20.897	32	16.5227	(835, 228)	(84, 23)	172
00:14:20.941	29	16.5596	(845, 228)	(85, 23)	172
00:14:20.975	29	16.5516	(855, 228)	(86, 23)	172
00:14:21.009	28	16.4957	(865, 228)	(87, 23)	172
00:14:21.043	28	16.4821	(875, 228)	(88, 23)	172
00:14:21.077	32	16.5733	(885, 228)	(89, 23)	172
00:14:21.114	31	16.5316	(895, 228)	(90, 23)	172
00:14:21.155	33	16.5656	(905, 228)	(91, 23)	172
00:14:21.197	29	16.4967	(915, 228)	(92, 23)	172
00:14:21.233	28	16.6065	(925, 228)	(93, 23)	172
00:14:21.273	32	16.445	(935, 228)	(94, 23)	172
00:14:21.315	31	16.5284	(945, 227)	(95, 23)	172
00:14:21.356	32	16.4366	(957, 227)	(96, 23)	172
00:14:21.392	30	16.5056	(966, 227)	(97, 23)	172
00:14:21.425	29	16.4761	(975, 227)	(98, 23)	172
00:14:21.460	34	16.5422	(985, 227)	(99, 23)	172
00:14:21.503	36	16.6031	(995, 227)	(100, 23)	172
00:14:21.545	36	16.3999	(1005, 227)	(101, 23)	172
00:14:21.590	31	16.364	(1015, 226)	(102, 23)	172
00:14:21.627	27	16.4921	(1025, 226)	(103, 23)	172
00:14:21.661	27	16.4523	(1035, 226)	(104, 23)	172
00:14:21.696	33	16.3526	(1045, 225)	(105, 23)	172
00:14:21.733	32	16.2633	(1055, 225)	(106, 23)	172
00:14:21.779	32	16.2305	(1065, 225)	(107, 23)	172
00:14:21.822	26	16.1061	(1071, 224)	(107, 22)	172
00:14:21.856	26	16.2603	(1075, 224)	(108, 22)	172
00:14:21.884	29	16.268	(1085, 224)	(109, 22)	172
00:14:21.919	32	16.0458	(1095, 224)	(110, 22)	172
00:14:21.954	31	15.9941	(1105, 224)	(111, 22)	172
00:14:21.990	30	16.0034	(1115, 224)	(112, 22)	172
00:14:22.025	28	15.8499	(1125, 224)	(113, 22)	172
00:14:22.058	25	15.7993	(1135, 224)	(114, 22)	172
00:14:22.085	27	15.8019	(1146, 223)	(115, 22)	172
00:14:22.121	27	15.6575	(1155, 223)	(116, 22)	172
00:14:22.156	27	15.6883	(1165, 223)	(117, 22)	172
00:14:22.191	27	15.5409	(1175, 223)	(118, 22)	172
00:14:22.225	25	15.612	(1185, 223)	(119, 22)	172
00:14:22.253	24	15.5117	(1195, 223)	(120, 22)	172
00:14:22.284	28	15.4086	(1205, 223)	(121, 22)	172
00:14:22.322	25	15.4252	(1215, 223)	(122, 22)	172
00:14:22.350	26	15.3844	(1225, 223)	(123, 22)	172
00:14:22.385	29	15.3058	(1235, 223)	(124, 22)	172
00:14:22.421	27	15.2747	(1245, 223)	(125, 22)	172
00:14:22.454	25	15.2782	(1255, 223)	(126, 22)	172
00:14:22.481	27	15.2013	(1265, 224)	(127, 22)	172
00:14:22.510	26	15.0776	(1275, 224)	(128, 22)	172
00:14:22.545	30	15.0625	(1282, 225)	(128, 23)	172
