BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.0635341, 0.68235, -0.135584, -0.715522), Translationsvektor: ( 0.164384, -0.174579, 1.775).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
00:14:41.293	23	9.46948	(318, 226)	(32, 23)	172
00:14:41.321	20	9.49526	(325, 225)	(33, 23)	172
00:14:41.349	23	9.55037	(335, 225)	(34, 23)	172
00:14:41.377	25	9.6283	(345, 225)	(35, 23)	172
00:14:41.409	24	9.59867	(357, 225)	(36, 23)	172
00:14:41.447	22	9.77496	(372, 225)	(37, 23)	172
00:14:41.475	21	9.77911	(375, 225)	(38, 23)	172
00:14:41.502	22	9.87526	(385, 225)	(39, 23)	172
00:14:41.530	21	9.93437	(395, 225)	(40, 23)	172
00:14:41.558	21	9.992	(405, 225)	(41, 23)	172
00:14:41.586	21	10.0831	(415, 225)	(42, 23)	172
00:14:41.614	21	10.1481	(425, 225)	(43, 23)	172
00:14:41.641	23	10.2458	(435, 226)	(44, 23)	172
00:14:41.669	22	10.2999	(445, 226)	(45, 23)	172
00:14:41.696	23	10.3834	(455, 226)	(46, 23)	172
00:14:41.724	20	10.5305	(465, 227)	(47, 23)	172
00:14:41.752	25	10.5841	(475, 227)	(48, 23)	172
00:14:41.780	25	10.6836	(485, 228)	(49, 23)	172
00:14:41.808	25	10.7627	(495, 228)	(50, 23)	172
00:14:41.836	25	10.8717	(505, 229)	(51, 23)	172
00:14:41.865	25	10.9711	(515, 229)	(52, 23)	172
00:14:41.899	22	11.0796	(525, 229)	(53, 23)	172
00:14:41.928	22	11.1514	(535, 229)	(54, 23)	172
00:14:41.961	21	11.3044	(545, 229)	(55, 23)	172
00:14:41.988	22	11.384	(555, 229)	(56, 23)	172
00:14:42.016	27	11.4502	(565, 229)	(57, 23)	172
00:14:42.056	27	11.5151	(575, 229)	(58, 23)	172
00:14:42.086	25	11.6569	(585, 229)	(59, 23)	172
00:14:42.113	21	11.7378	(596, 229)	(60, 23)	172
00:14:42.141	21	11.8006	(605, 230)	(61, 23)	172
00:14:42.169	21	11.9896	(615, 230)	(62, 23)	172
00:14:42.197	26	12.1095	(626, 230)	(63, 23)	172
00:14:42.226	28	12.1437	(635, 230)	(64, 23)	172
00:14:42.262	27	12.1185	(645, 230)	(65, 23)	172
00:14:42.294	24	12.1695	(655, 230)	(66, 23)	172
00:14:42.322	23	12.3604	(665, 230)	(67, 23)	172
00:14:42.350	24	12.5456	(680, 230)	(68, 23)	172
00:14:42.378	24	12.6314	(685, 230)	(69, 23)	172
00:14:42.406	23	12.7437	(695, 230)	(70, 23)	172
00:14:42.433	25	12.9479	(705, 230)	(71, 23)	172
00:14:42.465	25	12.9492	(715, 230)	(72, 23)	172
00:14:42.496	25	13.2019	(725, 230)	(73, 23)	172
00:14:42.524	25	13.1207	(735, 230)	(74, 23)	172
00:14:42.551	25	13.2739	(749, 230)	(75, 23)	172
00:14:42.580	24	13.351	(756, 230)	(76, 23)	172
00:14:42.607	24	13.4062	(766, 230)	(77, 23)	172
00:14:42.635	23	13.4671	(775, 230)	(78, 23)	172
00:14:42.663	22	13.6412	(785, 230)	(79, 23)	172
00:14:42.692	27	13.7225	(796, 229)	(80, 23)	172
00:14:42.726	26	13.8917	(805, 229)	(81, 23)	172
00:14:42.761	27	13.8284	(815, 229)	(82, 23)	172
00:14:42.795	26	13.9292	(825, 228)	(83, 23)	172
