BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.748984, 0.14431, -0.646606, -0.00927751), Translationsvektor: ( -0.0185595, -0.0459418, 1.325).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
00:49:49.583	32	16.3201	(318, 226)	(32, 23)	0
00:49:49.624	32	16.5477	(325, 225)	(33, 23)	0
00:49:49.660	32	16.7521	(335, 225)	(34, 23)	0
00:49:49.700	34	17.0831	(345, 225)	(35, 23)	0
00:49:49.743	41	17.4443	(357, 225)	(36, 23)	0
00:49:49.793	41	17.7542	(372, 225)	(37, 23)	0
00:49:49.840	37	17.8679	(375, 225)	(38, 23)	0
00:49:49.881	33	18.2004	(385, 225)	(39, 23)	0
00:49:49.922	35	18.4233	(395, 225)	(40, 23)	0
00:49:49.965	35	18.6218	(405, 225)	(41, 23)	0
00:49:50.011	48	18.8231	(415, 225)	(42, 23)	0
00:49:50.070	34	19.0139	(425, 225)	(43, 23)	0
00:49:50.110	34	19.3123	(435, 226)	(44, 23)	0
00:49:50.145	33	19.5799	(445, 226)	(45, 23)	0
00:49:50.180	40	19.9302	(455, 226)	(46, 23)	0
00:49:50.229	43	20.22	(465, 227)	(47, 23)	0
00:49:50.277	36	20.497	(475, 227)	(48, 23)	0
00:49:50.318	34	20.6019	(485, 228)	(49, 23)	0
00:49:50.353	38	20.8231	(495, 228)	(50, 23)	0
00:49:50.396	40	21.0237	(505, 229)	(51, 23)	0
00:49:50.445	39	22.0511	(515, 229)	(52, 23)	0
00:49:50.492	37	21.6836	(525, 229)	(53, 23)	0
00:49:50.534	36	21.7747	(535, 229)	(54, 23)	0
00:49:50.576	42	21.7529	(545, 229)	(55, 23)	0
00:49:50.625	43	21.92	(555, 229)	(56, 23)	0
00:49:50.675	38	22.26	(565, 229)	(57, 23)	0
00:49:50.715	41	22.4468	(575, 229)	(58, 23)	0
00:49:50.764	42	22.8302	(585, 229)	(59, 23)	0
00:49:50.814	42	22.9161	(596, 229)	(60, 23)	0
00:49:50.862	40	23.1067	(605, 230)	(61, 23)	0
00:49:50.910	42	23.313	(615, 230)	(62, 23)	0
00:49:50.960	43	23.2932	(626, 230)	(63, 23)	0
00:49:51.007	45	23.376	(635, 230)	(64, 23)	0
00:49:51.056	44	23.5726	(645, 230)	(65, 23)	0
00:49:51.105	40	23.7504	(655, 230)	(66, 23)	0
00:49:51.152	43	23.8361	(665, 230)	(67, 23)	0
00:49:51.203	45	24.1239	(680, 230)	(68, 23)	0
00:49:51.251	46	24.1924	(685, 230)	(69, 23)	0
00:49:51.300	41	24.3111	(695, 230)	(70, 23)	0
00:49:51.349	43	24.3985	(705, 230)	(71, 23)	0
00:49:51.398	50	24.4747	(715, 230)	(72, 23)	0
00:49:51.452	44	24.4513	(725, 230)	(73, 23)	0
00:49:51.500	46	24.4871	(735, 230)	(74, 23)	0
00:49:51.550	45	24.4621	(749, 230)	(75, 23)	0
00:49:51.599	52	24.4467	(756, 230)	(76, 23)	0
00:49:51.656	52	24.597	(766, 230)	(77, 23)	0
00:49:51.717	41	24.6133	(775, 230)	(78, 23)	0
00:49:51.765	39	24.7444	(785, 230)	(79, 23)	0
00:49:51.807	46	24.6465	(796, 229)	(80, 23)	0
00:49:51.867	48	24.567	(805, 229)	(81, 23)	0
00:49:51.918	40	24.4717	(815, 229)	(82, 23)	0
00:49:51.960	42	24.5667	(825, 228)	(83, 23)	0
00:49:52.009	49	24.6243	(835, 228)	(84, 23)	0
00:49:52.067	49	24.6967	(845, 228)	(85, 23)	0
00:49:52.121	44	24.643	(855, 228)	(86, 23)	0
00:49:52.168	38	24.74	(865, 228)	(87, 23)	0
00:49:52.209	39	24.768	(875, 228)	(88, 23)	0
00:49:52.252	48	24.7816	(885, 228)	(89, 23)	0
00:49:52.309	44	24.8033	(895, 228)	(90, 23)	0
00:49:52.356	42	24.9643	(905, 228)	(91, 23)	0
00:49:52.404	42	24.9818	(915, 228)	(92, 23)	0
00:49:52.453	43	25.0757	(925, 228)	(93, 23)	0
00:49:52.503	49	25.0553	(935, 228)	(94, 23)	0
00:49:52.559	41	25.117	(945, 227)	(95, 23)	0
00:49:52.606	47	25.3717	(957, 227)	(96, 23)	0
00:49:52.665	55	25.4861	(966, 227)	(97, 23)	0
00:49:52.727	44	25.5993	(975, 227)	(98, 23)	0
00:49:52.780	44	25.7185	(985, 227)	(99, 23)	0
00:49:52.830	52	26.0344	(995, 227)	(100, 23)	0
00:49:52.893	54	26.1228	(1005, 227)	(101, 23)	0
00:49:52.957	47	26.2539	(1015, 226)	(102, 23)	0
00:49:53.010	42	26.2972	(1025, 226)	(103, 23)	0
00:49:53.058	47	26.4083	(1035, 226)	(104, 23)	0
00:49:53.115	58	26.4539	(1045, 225)	(105, 23)	0
00:49:53.183	41	26.4401	(1055, 225)	(106, 23)	0
00:49:53.231	41	26.3196	(1065, 225)	(107, 23)	0
00:49:53.281	54	26.2591	(1071, 224)	(107, 22)	0
00:49:53.344	53	26.3535	(1075, 224)	(108, 22)	0
00:49:53.405	42	26.4591	(1085, 224)	(109, 22)	0
00:49:53.453	44	26.7476	(1095, 224)	(110, 22)	0
00:49:53.503	48	26.8185	(1105, 224)	(111, 22)	0
00:49:53.560	46	26.8136	(1115, 224)	(112, 22)	0
00:49:53.613	42	26.9993	(1125, 224)	(113, 22)	0
00:49:53.664	44	27.0123	(1135, 224)	(114, 22)	0
00:49:53.711	46	26.6797	(1146, 223)	(115, 22)	0
00:49:53.771	49	26.4865	(1155, 223)	(116, 22)	0
00:49:53.824	42	26.5745	(1165, 223)	(117, 22)	0
00:49:53.873	48	26.5761	(1175, 223)	(118, 22)	0
00:49:53.928	52	26.7628	(1185, 223)	(119, 22)	0
00:49:53.983	47	26.8021	(1195, 223)	(120, 22)	0
00:49:54.041	46	27.0619	(1205, 223)	(121, 22)	0
00:49:54.095	52	27.161	(1215, 223)	(122, 22)	0
00:49:54.160	54	27.3569	(1225, 223)	(123, 22)	0
00:49:54.221	46	27.5289	(1235, 223)	(124, 22)	0
00:49:54.274	41	27.5277	(1245, 223)	(125, 22)	0
00:49:54.323	62	27.6264	(1255, 223)	(126, 22)	0
00:49:54.395	45	27.5948	(1265, 224)	(127, 22)	0
00:49:54.448	46	27.6566	(1275, 224)	(128, 22)	0
00:49:54.498	48	27.744	(1282, 225)	(128, 23)	0
00:49:54.553	49	27.7539	(1285, 225)	(129, 23)	0
00:49:54.610	50	28.2504	(1295, 226)	(130, 23)	0
