BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.748984, 0.14431, -0.646606, -0.00927751), Translationsvektor: ( -0.0185595, -0.0459418, 1.325).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
00:52:09.934	30	19.935	(318, 226)	(32, 23)	0
00:52:09.973	30	19.9687	(325, 225)	(33, 23)	0
00:52:10.007	32	20.1056	(335, 225)	(34, 23)	0
00:52:10.042	34	20.196	(345, 225)	(35, 23)	0
00:52:10.087	33	20.3396	(357, 225)	(36, 23)	0
00:52:10.126	35	20.6704	(372, 225)	(37, 23)	0
00:52:10.171	31	20.632	(375, 225)	(38, 23)	0
00:52:10.209	33	20.753	(385, 225)	(39, 23)	0
00:52:10.250	36	20.8956	(395, 225)	(40, 23)	0
00:52:10.296	34	21.0704	(405, 225)	(41, 23)	0
00:52:10.338	36	21.2855	(415, 225)	(42, 23)	0
00:52:10.376	31	21.4479	(425, 225)	(43, 23)	0
00:52:10.411	30	21.5188	(435, 226)	(44, 23)	0
00:52:10.445	32	21.7222	(445, 226)	(45, 23)	0
00:52:10.480	31	22.0708	(455, 226)	(46, 23)	0
00:52:10.515	33	22.3953	(465, 227)	(47, 23)	0
00:52:10.557	34	22.5551	(475, 227)	(48, 23)	0
00:52:10.598	32	22.6348	(485, 228)	(49, 23)	0
00:52:10.632	37	22.8136	(495, 228)	(50, 23)	0
00:52:10.675	37	23.1058	(505, 229)	(51, 23)	0
00:52:10.721	38	23.0924	(515, 229)	(52, 23)	0
00:52:10.773	35	23.3533	(525, 229)	(53, 23)	0
00:52:10.815	35	23.5787	(535, 229)	(54, 23)	0
00:52:10.857	43	23.619	(545, 229)	(55, 23)	0
00:52:10.906	44	23.7593	(555, 229)	(56, 23)	0
00:52:10.962	40	23.9895	(565, 229)	(57, 23)	0
00:52:11.008	34	24.2305	(575, 229)	(58, 23)	0
00:52:11.049	40	24.2487	(585, 229)	(59, 23)	0
00:52:11.092	41	24.4858	(596, 229)	(60, 23)	0
00:52:11.141	41	24.607	(605, 230)	(61, 23)	0
00:52:11.189	37	24.8027	(615, 230)	(62, 23)	0
00:52:11.234	38	24.7099	(626, 230)	(63, 23)	0
00:52:11.290	39	24.9908	(635, 230)	(64, 23)	0
00:52:11.335	43	25.1932	(645, 230)	(65, 23)	0
00:52:11.388	38	25.0867	(655, 230)	(66, 23)	0
00:52:11.432	35	25.2607	(665, 230)	(67, 23)	0
00:52:11.473	40	25.372	(680, 230)	(68, 23)	0
00:52:11.523	43	25.4696	(685, 230)	(69, 23)	0
00:52:11.572	37	25.6393	(695, 230)	(70, 23)	0
00:52:11.614	37	25.5698	(705, 230)	(71, 23)	0
00:52:11.655	43	25.809	(715, 230)	(72, 23)	0
00:52:11.705	44	25.8333	(725, 230)	(73, 23)	0
00:52:11.762	44	25.8397	(735, 230)	(74, 23)	0
00:52:11.815	37	26.3713	(749, 230)	(75, 23)	0
00:52:11.856	39	26.2963	(756, 230)	(76, 23)	0
00:52:11.899	39	26.3775	(766, 230)	(77, 23)	0
00:52:11.947	41	26.3673	(775, 230)	(78, 23)	0
00:52:11.997	38	26.4964	(785, 230)	(79, 23)	0
00:52:12.044	36	26.5513	(796, 229)	(80, 23)	0
00:52:12.086	40	26.6905	(805, 229)	(81, 23)	0
00:52:12.136	46	26.4923	(815, 229)	(82, 23)	0
00:52:12.193	42	26.4021	(825, 228)	(83, 23)	0
00:52:12.239	36	26.5741	(835, 228)	(84, 23)	0
00:52:12.282	36	26.4948	(845, 228)	(85, 23)	0
00:52:12.323	43	26.475	(855, 228)	(86, 23)	0
00:52:12.372	45	26.3892	(865, 228)	(87, 23)	0
00:52:12.420	38	26.4919	(875, 228)	(88, 23)	0
00:52:12.461	36	26.2852	(885, 228)	(89, 23)	0
00:52:12.503	37	26.3504	(895, 228)	(90, 23)	0
00:52:12.546	39	26.3679	(905, 228)	(91, 23)	0
00:52:12.595	46	26.3077	(915, 228)	(92, 23)	0
00:52:12.651	38	26.4689	(925, 228)	(93, 23)	0
00:52:12.691	38	26.4899	(935, 228)	(94, 23)	0
00:52:12.733	38	26.3138	(945, 227)	(95, 23)	0
00:52:12.776	43	26.435	(957, 227)	(96, 23)	0
00:52:12.830	40	26.0289	(966, 227)	(97, 23)	0
00:52:12.880	37	26.0975	(975, 227)	(98, 23)	0
00:52:12.920	44	26.3348	(985, 227)	(99, 23)	0
00:52:12.970	44	26.1769	(995, 227)	(100, 23)	0
00:52:13.017	38	26.1741	(1005, 227)	(101, 23)	0
00:52:13.059	37	26.2182	(1015, 226)	(102, 23)	0
00:52:13.101	39	26.1536	(1025, 226)	(103, 23)	0
00:52:13.152	42	26.0559	(1035, 226)	(104, 23)	0
00:52:13.199	46	26.1576	(1045, 225)	(105, 23)	0
00:52:13.257	42	26.2862	(1055, 225)	(106, 23)	0
00:52:13.303	37	26.2387	(1065, 225)	(107, 23)	0
00:52:13.352	45	26.1508	(1071, 224)	(107, 22)	0
00:52:13.408	44	26.2047	(1075, 224)	(108, 22)	0
00:52:13.465	38	26.1705	(1085, 224)	(109, 22)	0
00:52:13.511	36	26.064	(1095, 224)	(110, 22)	0
00:52:13.553	35	26.1954	(1105, 224)	(111, 22)	0
00:52:13.594	40	26.1818	(1115, 224)	(112, 22)	0
00:52:13.646	41	26.1921	(1125, 224)	(113, 22)	0
00:52:13.693	38	26.0864	(1135, 224)	(114, 22)	0
00:52:13.733	37	26.4487	(1146, 223)	(115, 22)	0
00:52:13.775	38	26.4253	(1155, 223)	(116, 22)	0
00:52:13.817	40	26.7111	(1165, 223)	(117, 22)	0
00:52:13.869	41	26.5369	(1175, 223)	(118, 22)	0
00:52:13.921	41	26.9399	(1185, 223)	(119, 22)	0
00:52:13.970	42	26.8281	(1195, 223)	(120, 22)	0
00:52:14.022	45	26.9953	(1205, 223)	(121, 22)	0
00:52:14.077	43	26.9003	(1215, 223)	(122, 22)	0
00:52:14.123	38	27.1375	(1225, 223)	(123, 22)	0
00:52:14.165	37	27.1726	(1235, 223)	(124, 22)	0
00:52:14.207	39	27.2324	(1245, 223)	(125, 22)	0
00:52:14.257	57	27.1921	(1255, 223)	(126, 22)	0
00:52:14.322	43	27.3501	(1265, 224)	(127, 22)	0
00:52:14.373	43	27.6289	(1275, 224)	(128, 22)	0
00:52:14.429	47	27.7181	(1282, 225)	(128, 23)	0
00:52:14.493	46	27.6397	(1285, 225)	(129, 23)	0
00:52:14.547	37	27.6391	(1295, 226)	(130, 23)	0
00:52:14.588	36	27.5421	(1305, 226)	(131, 23)	0
