BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.488333, -0.339726, -0.497206, 0.631584), Translationsvektor: ( 0.0768895, 0.101072, 1.625).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
00:29:59.306	25	11.8601	(318, 226)	(32, 23)	16
00:29:59.339	28	11.9228	(325, 225)	(33, 23)	16
00:29:59.375	33	12.3828	(335, 225)	(34, 23)	16
00:29:59.417	34	12.7178	(345, 225)	(35, 23)	16
00:29:59.458	28	13.1668	(357, 225)	(36, 23)	16
00:29:59.493	30	13.6381	(372, 225)	(37, 23)	16
00:29:59.529	29	13.6738	(375, 225)	(38, 23)	16
00:29:59.562	30	14.129	(385, 225)	(39, 23)	16
00:29:59.598	30	14.5041	(395, 225)	(40, 23)	16
00:29:59.633	29	14.9443	(405, 225)	(41, 23)	16
00:29:59.666	29	15.4301	(415, 225)	(42, 23)	16
00:29:59.700	30	16.0301	(425, 225)	(43, 23)	16
00:29:59.736	30	16.4653	(435, 226)	(44, 23)	16
00:29:59.771	30	16.6622	(445, 226)	(45, 23)	16
00:29:59.805	35	17.0476	(455, 226)	(46, 23)	16
00:29:59.848	33	17.5844	(465, 227)	(47, 23)	16
00:29:59.890	33	17.9222	(475, 227)	(48, 23)	16
00:29:59.930	39	18.2077	(485, 228)	(49, 23)	16
00:29:59.976	41	18.4883	(495, 228)	(50, 23)	16
00:30:00.028	34	18.9437	(505, 229)	(51, 23)	16
00:30:00.070	33	19.2711	(515, 229)	(52, 23)	16
00:30:00.104	33	19.6079	(525, 229)	(53, 23)	16
00:30:00.139	38	19.8639	(535, 229)	(54, 23)	16
00:30:00.181	40	20.1868	(545, 229)	(55, 23)	16
00:30:00.230	39	20.3847	(555, 229)	(56, 23)	16
00:30:00.279	37	20.7105	(565, 229)	(57, 23)	16
00:30:00.319	43	20.9656	(575, 229)	(58, 23)	16
00:30:00.370	44	21.0908	(585, 229)	(59, 23)	16
00:30:00.418	46	21.4701	(596, 229)	(60, 23)	16
00:30:00.474	40	21.7001	(605, 230)	(61, 23)	16
00:30:00.522	41	21.9277	(615, 230)	(62, 23)	16
00:30:00.571	40	22.1348	(626, 230)	(63, 23)	16
00:30:00.619	44	23.0028	(635, 230)	(64, 23)	16
00:30:00.669	42	22.5947	(645, 230)	(65, 23)	16
00:30:00.716	36	22.8396	(655, 230)	(66, 23)	16
00:30:00.757	41	22.931	(665, 230)	(67, 23)	16
00:30:00.807	44	23.101	(680, 230)	(68, 23)	16
00:30:00.856	42	23.1637	(685, 230)	(69, 23)	16
00:30:00.904	37	23.4253	(695, 230)	(70, 23)	16
00:30:00.945	38	23.5551	(705, 230)	(71, 23)	16
00:30:00.988	43	23.7459	(715, 230)	(72, 23)	16
00:30:01.036	45	23.8419	(725, 230)	(73, 23)	16
00:30:01.087	42	23.7727	(735, 230)	(74, 23)	16
00:30:01.134	40	24.0753	(749, 230)	(75, 23)	16
00:30:01.182	42	24.1724	(756, 230)	(76, 23)	16
00:30:01.232	46	24.2359	(766, 230)	(77, 23)	16
00:30:01.287	49	24.2751	(775, 230)	(78, 23)	16
00:30:01.343	40	24.4173	(785, 230)	(79, 23)	16
00:30:01.391	42	24.4218	(796, 229)	(80, 23)	16
00:30:01.440	47	24.5652	(805, 229)	(81, 23)	16
00:30:01.496	51	24.676	(815, 229)	(82, 23)	16
00:30:01.552	40	24.58	(825, 228)	(83, 23)	16
00:30:01.599	43	24.6416	(835, 228)	(84, 23)	16
00:30:01.649	46	24.6529	(845, 228)	(85, 23)	16
00:30:01.704	47	24.7018	(855, 228)	(86, 23)	16
00:30:01.760	48	24.7567	(865, 228)	(87, 23)	16
00:30:01.818	50	24.7348	(875, 228)	(88, 23)	16
00:30:01.878	47	24.7775	(885, 228)	(89, 23)	16
00:30:01.933	42	24.8716	(895, 228)	(90, 23)	16
00:30:01.981	42	24.8797	(905, 228)	(91, 23)	16
00:30:02.030	45	24.8443	(915, 228)	(92, 23)	16
00:30:02.079	45	24.948	(925, 228)	(93, 23)	16
00:30:02.128	44	24.9089	(935, 228)	(94, 23)	16
00:30:02.177	41	24.7881	(945, 227)	(95, 23)	16
00:30:02.225	43	24.8176	(957, 227)	(96, 23)	16
00:30:02.274	47	24.7594	(966, 227)	(97, 23)	16
00:30:02.330	48	24.763	(975, 227)	(98, 23)	16
00:30:02.387	41	24.8413	(985, 227)	(99, 23)	16
00:30:02.433	38	24.7881	(995, 227)	(100, 23)	16
00:30:02.475	42	24.8001	(1005, 227)	(101, 23)	16
00:30:02.524	48	24.76	(1015, 226)	(102, 23)	16
00:30:02.580	39	24.7784	(1025, 226)	(103, 23)	16
00:30:02.621	41	24.6914	(1035, 226)	(104, 23)	16
00:30:02.671	52	24.6308	(1045, 225)	(105, 23)	16
00:30:02.734	50	24.6692	(1055, 225)	(106, 23)	16
00:30:02.789	42	24.5508	(1065, 225)	(107, 23)	16
00:30:02.837	40	24.5145	(1071, 224)	(107, 22)	16
00:30:02.885	40	24.5336	(1075, 224)	(108, 22)	16
00:30:02.927	44	24.4797	(1085, 224)	(109, 22)	16
00:30:02.978	44	24.4864	(1095, 224)	(110, 22)	16
00:30:03.025	42	24.4661	(1105, 224)	(111, 22)	16
00:30:03.073	42	24.4213	(1115, 224)	(112, 22)	16
00:30:03.122	42	24.4077	(1125, 224)	(113, 22)	16
00:30:03.171	42	24.2204	(1135, 224)	(114, 22)	16
00:30:03.219	41	24.1966	(1146, 223)	(115, 22)	16
00:30:03.268	41	24.1609	(1155, 223)	(116, 22)	16
00:30:03.316	45	24.0772	(1165, 223)	(117, 22)	16
00:30:03.366	51	24.0807	(1175, 223)	(118, 22)	16
00:30:03.422	44	24.1354	(1185, 223)	(119, 22)	16
00:30:03.470	41	24.1022	(1195, 223)	(120, 22)	16
00:30:03.518	44	24.0037	(1205, 223)	(121, 22)	16
00:30:03.566	49	23.9428	(1215, 223)	(122, 22)	16
00:30:03.623	39	23.8481	(1225, 223)	(123, 22)	16
00:30:03.664	37	23.6621	(1235, 223)	(124, 22)	16
00:30:03.705	39	23.6167	(1245, 223)	(125, 22)	16
00:30:03.748	47	23.471	(1255, 223)	(126, 22)	16
00:30:03.806	42	23.4332	(1265, 224)	(127, 22)	16
00:30:03.852	38	23.463	(1275, 224)	(128, 22)	16
00:30:03.893	37	23.4599	(1282, 225)	(128, 23)	16
00:30:03.935	37	23.38	(1285, 225)	(129, 23)	16
00:30:03.976	42	23.4204	(1295, 226)	(130, 23)	16
00:30:04.026	41	23.3295	(1305, 226)	(131, 23)	16
00:30:04.073	42	23.3071	(1316, 228)	(132, 23)	16
00:30:04.122	37	23.1276	(1326, 228)	(133, 23)	16
00:30:04.164	44	23.0138	(1335, 228)	(134, 23)	16
00:30:04.214	41	22.916	(1345, 229)	(135, 23)	16
00:30:04.262	44	22.8732	(1355, 230)	(136, 23)	16
00:30:04.311	47	22.8599	(1366, 230)	(137, 23)	16
00:30:04.368	49	22.8227	(1375, 230)	(138, 23)	16
00:30:04.424	44	22.8628	(1386, 231)	(139, 23)	16
00:30:04.471	41	22.8036	(1395, 231)	(140, 23)	16
00:30:04.521	42	22.8742	(1405, 232)	(141, 23)	16
00:30:04.568	41	23.2844	(1415, 232)	(142, 23)	16
00:30:04.618	51	22.6261	(1425, 232)	(143, 23)	16
00:30:04.679	42	22.5489	(1435, 233)	(144, 23)	16
00:30:04.728	41	22.4658	(1445, 234)	(145, 23)	16
00:30:04.776	41	22.3511	(1455, 234)	(146, 23)	16
00:30:04.825	43	22.6846	(1465, 234)	(147, 23)	16
00:30:04.874	40	21.9686	(1478, 234)	(148, 23)	16
00:30:04.922	37	21.8476	(1485, 234)	(149, 23)	16
00:30:04.963	39	21.8557	(1488, 235)	(149, 24)	16
00:30:05.007	44	21.6907	(1495, 235)	(150, 24)	16
00:30:05.055	43	21.4791	(1506, 235)	(151, 24)	16
00:30:05.103	35	21.3058	(1516, 235)	(152, 24)	16
00:30:05.144	35	21.1559	(1526, 236)	(153, 24)	16
00:30:05.187	42	20.9535	(1535, 236)	(154, 24)	16
00:30:05.236	41	20.7081	(1546, 236)	(155, 24)	16
00:30:05.287	39	20.4967	(1556, 237)	(156, 24)	16
00:30:05.332	35	20.4627	(1565, 237)	(157, 24)	16
00:30:05.374	36	20.2564	(1575, 238)	(158, 24)	16
00:30:05.416	35	20.0302	(1585, 238)	(159, 24)	16
00:30:05.457	36	19.8641	(1595, 239)	(160, 24)	16
00:30:05.499	36	19.6695	(1605, 239)	(161, 24)	16
00:30:05.542	35	19.4133	(1615, 240)	(162, 24)	16
00:30:05.582	37	19.289	(1625, 240)	(163, 24)	16
00:30:05.624	36	19.1164	(1636, 241)	(164, 24)	16
00:30:05.666	34	18.8876	(1645, 242)	(165, 24)	16
00:30:05.709	35	18.6461	(1655, 242)	(166, 24)	16
00:30:05.749	35	18.5136	(1666, 243)	(167, 24)	16
00:30:05.791	40	18.3601	(1676, 244)	(168, 24)	16
00:30:05.841	42	18.2904	(1677, 245)	(168, 25)	16
00:30:05.890	42	18.1544	(1686, 245)	(169, 25)	16
00:30:05.938	36	18.7116	(1696, 246)	(170, 25)	16
00:30:05.979	36	17.8719	(1705, 246)	(171, 25)	16
00:30:06.024	44	17.696	(1715, 248)	(172, 25)	16
00:30:06.078	46	17.4625	(1726, 249)	(173, 25)	16
00:30:06.134	37	17.2493	(1735, 250)	(174, 25)	16
00:30:06.173	32	17.1188	(1745, 251)	(175, 25)	16
00:30:06.208	34	16.9573	(1755, 253)	(176, 25)	16
00:30:06.249	35	16.8424	(1765, 254)	(177, 25)	16
00:30:06.293	43	16.7544	(1768, 255)	(177, 26)	16
00:30:06.351	35	16.6579	(1775, 256)	(178, 26)	16
00:30:06.389	34	16.4215	(1785, 258)	(179, 26)	16
00:30:06.430	35	16.1523	(1795, 260)	(180, 26)	16
00:30:06.473	33	15.9404	(1805, 262)	(181, 26)	16
00:30:06.514	34	15.7686	(1815, 264)	(182, 26)	16
00:30:06.556	31	15.6933	(1817, 265)	(182, 27)	16
00:30:06.590	29	15.4741	(1825, 267)	(183, 27)	16
00:30:06.625	30	15.288	(1838, 271)	(184, 27)	16
00:30:06.659	37	15.0593	(1845, 273)	(185, 27)	16
00:30:06.703	42	15.0047	(1849, 275)	(185, 28)	16
00:30:06.752	38	14.7763	(1858, 278)	(186, 28)	16
00:30:06.800	30	14.5689	(1865, 280)	(187, 28)	16
00:30:06.834	29	14.4148	(1874, 285)	(187, 29)	16
00:30:06.868	30	14.341	(1875, 285)	(188, 29)	16
00:30:06.903	30	14.1348	(1885, 289)	(189, 29)	16
00:30:06.938	29	13.8797	(1895, 294)	(190, 29)	16
00:30:06.973	29	13.9064	(1895, 295)	(190, 30)	16
00:30:07.008	27	13.6978	(1905, 299)	(191, 30)	16
00:30:07.042	30	13.5628	(1912, 305)	(191, 31)	16
00:30:07.077	35	13.4207	(1915, 307)	(192, 31)	16
00:30:07.119	34	13.1945	(1925, 314)	(193, 31)	16
00:30:07.161	33	13.2359	(1926, 315)	(193, 32)	16
00:30:07.203	28	13.1259	(1935, 322)	(194, 32)	16
00:30:07.238	28	13.1176	(1937, 325)	(194, 33)	16
00:30:07.272	28	12.9963	(1945, 333)	(195, 33)	16
00:30:07.306	29	12.9366	(1947, 335)	(195, 34)	16
00:30:07.341	28	12.8919	(1955, 344)	(196, 34)	16
00:30:07.376	28	12.9041	(1955, 345)	(196, 35)	16
00:30:07.411	27	12.7778	(1963, 355)	(196, 36)	16
00:30:07.446	34	12.7625	(1965, 358)	(197, 36)	16
00:30:07.487	28	12.7944	(1968, 365)	(197, 37)	16
00:30:07.523	35	12.7083	(1973, 375)	(197, 38)	16
00:30:07.567	34	12.7335	(1975, 379)	(198, 38)	16
00:30:07.607	28	12.7714	(1976, 385)	(198, 39)	16
00:30:07.640	28	12.8778	(1980, 395)	(198, 40)	16
00:30:07.674	30	12.9572	(1982, 405)	(198, 41)	16
00:30:07.710	36	13.0581	(1984, 415)	(198, 42)	16
00:30:07.752	34	13.1156	(1985, 417)	(199, 42)	16
00:30:07.794	34	13.2812	(1985, 425)	(199, 43)	16
00:30:07.836	30	13.369	(1987, 435)	(199, 44)	16
00:30:07.870	30	13.4923	(1988, 445)	(199, 45)	16
00:30:07.904	30	13.6039	(1989, 455)	(199, 46)	16
00:30:07.939	29	13.7723	(1989, 465)	(199, 47)	16
00:30:07.974	30	13.9157	(1989, 475)	(199, 48)	16
00:30:08.010	31	14.0812	(1988, 485)	(199, 49)	16
00:30:08.050	31	14.4236	(1985, 495)	(199, 50)	16
00:30:08.085	31	14.4416	(1984, 495)	(198, 50)	16
00:30:08.120	33	14.7689	(1980, 505)	(198, 51)	16
00:30:08.163	36	15.1987	(1972, 516)	(197, 52)	16
00:30:08.204	35	15.5828	(1965, 525)	(197, 53)	16
00:30:08.246	30	15.7428	(1964, 526)	(196, 53)	16
00:30:08.280	30	16.3647	(1954, 534)	(195, 53)	16
00:30:08.314	33	16.3486	(1953, 535)	(195, 54)	16
00:30:08.350	35	16.7781	(1944, 539)	(194, 54)	16
00:30:08.391	37	17.0382	(1937, 545)	(194, 55)	16
00:30:08.433	34	17.9219	(1934, 547)	(193, 55)	16
00:30:08.474	32	17.7213	(1924, 555)	(192, 56)	16
00:30:08.508	37	18.2147	(1914, 561)	(191, 56)	16
00:30:08.553	39	18.4873	(1907, 565)	(191, 57)	16
00:30:08.600	37	18.6324	(1904, 567)	(190, 57)	16
00:30:08.641	34	19.023	(1894, 572)	(189, 57)	16
00:30:08.682	33	19.1923	(1890, 575)	(189, 58)	16
00:30:08.717	33	19.4941	(1884, 577)	(188, 58)	16
00:30:08.752	34	19.7828	(1874, 581)	(187, 58)	16
00:30:08.793	35	20.0415	(1866, 585)	(187, 59)	16
00:30:08.835	34	20.1443	(1864, 585)	(186, 59)	16
00:30:08.878	34	20.543	(1854, 590)	(185, 59)	16
00:30:08.918	36	20.8618	(1844, 594)	(184, 59)	16
00:30:08.960	35	20.8517	(1843, 595)	(184, 60)	16
00:30:09.002	40	21.059	(1834, 597)	(183, 60)	16
00:30:09.054	46	21.3652	(1823, 601)	(182, 60)	16
00:30:09.107	37	21.7516	(1810, 606)	(181, 61)	16
00:30:09.149	42	21.8951	(1804, 609)	(180, 61)	16
00:30:09.199	47	22.1243	(1794, 612)	(179, 61)	16
00:30:09.257	39	22.3178	(1787, 615)	(179, 62)	16
00:30:09.301	40	22.4775	(1784, 616)	(178, 62)	16
00:30:09.343	42	22.6281	(1774, 619)	(177, 62)	16
00:30:09.398	47	22.9745	(1764, 622)	(176, 62)	16
00:30:09.460	45	23.0944	(1758, 625)	(176, 63)	16
00:30:09.511	42	23.2295	(1754, 626)	(175, 63)	16
00:30:09.559	48	23.4719	(1744, 628)	(174, 63)	16
00:30:09.618	50	23.7412	(1734, 631)	(173, 63)	16
00:30:09.680	43	23.972	(1724, 633)	(172, 63)	16
00:30:09.726	41	24.2616	(1715, 635)	(172, 64)	16
00:30:09.775	48	24.3726	(1714, 635)	(171, 64)	16
00:30:09.834	53	24.5801	(1704, 637)	(170, 64)	16
00:30:09.893	41	24.8489	(1694, 638)	(169, 64)	16
00:30:09.941	39	25.1039	(1684, 640)	(168, 64)	16
00:30:09.983	45	25.3221	(1674, 641)	(167, 64)	16
00:30:10.032	45	25.6074	(1664, 642)	(166, 64)	16
00:30:10.083	44	25.9148	(1654, 643)	(165, 64)	16
00:30:10.129	41	26.1893	(1644, 644)	(164, 64)	16
00:30:10.178	40	26.4809	(1633, 644)	(163, 64)	16
00:30:10.227	45	26.5221	(1624, 644)	(162, 64)	16
00:30:10.275	44	26.8333	(1614, 644)	(161, 64)	16
00:30:10.323	42	27.1364	(1604, 644)	(160, 64)	16
00:30:10.372	48	27.3844	(1594, 644)	(159, 64)	16
00:30:10.429	53	27.5233	(1584, 644)	(158, 64)	16
00:30:10.492	49	27.8487	(1574, 644)	(157, 64)	16
00:30:10.546	48	28.0553	(1564, 644)	(156, 64)	16
00:30:10.602	51	28.2673	(1554, 644)	(155, 64)	16
00:30:10.658	51	28.3714	(1548, 645)	(155, 65)	16
00:30:10.713	48	28.4871	(1544, 645)	(154, 65)	16
00:30:10.768	53	28.7707	(1534, 645)	(153, 65)	16
00:30:10.825	49	28.8381	(1524, 646)	(152, 65)	16
00:30:10.880	54	29.015	(1514, 647)	(151, 65)	16
00:30:10.944	46	29.1483	(1504, 648)	(150, 65)	16
00:30:10.997	50	29.3985	(1494, 649)	(149, 65)	16
00:30:11.055	55	29.4639	(1484, 651)	(148, 65)	16
00:30:11.118	61	29.7084	(1474, 652)	(147, 65)	16
00:30:11.186	47	29.8994	(1464, 652)	(146, 65)	16
00:30:11.241	55	30.0516	(1454, 653)	(145, 65)	16
00:30:11.307	56	30.1196	(1444, 654)	(144, 65)	16
00:30:11.375	51	30.2945	(1434, 654)	(143, 65)	16
00:30:11.428	45	30.657	(1419, 654)	(142, 65)	16
00:30:11.477	50	30.6622	(1414, 654)	(141, 65)	16
00:30:11.533	49	30.7436	(1404, 654)	(140, 65)	16
00:30:11.588	47	31.071	(1394, 654)	(139, 65)	16
00:30:11.637	49	31.2044	(1384, 654)	(138, 65)	16
00:30:11.694	55	31.2364	(1374, 654)	(137, 65)	16
00:30:11.759	52	31.6148	(1356, 653)	(136, 65)	16
00:30:11.818	49	31.7074	(1354, 653)	(135, 65)	16
00:30:11.874	48	31.7173	(1344, 652)	(134, 65)	16
00:30:11.929	47	31.9837	(1334, 651)	(133, 65)	16
00:30:11.978	46	32.068	(1323, 651)	(132, 65)	16
00:30:12.026	46	32.2964	(1314, 650)	(131, 65)	16
00:30:12.075	54	32.4523	(1303, 649)	(130, 65)	16
00:30:12.140	59	32.5013	(1294, 648)	(129, 65)	16
00:30:12.210	48	32.5921	(1284, 647)	(128, 65)	16
00:30:12.262	56	32.8116	(1274, 647)	(127, 65)	16
00:30:12.327	58	32.8616	(1264, 646)	(126, 65)	16
00:30:12.397	55	32.828	(1256, 644)	(126, 64)	16
00:30:12.458	53	32.9548	(1254, 644)	(125, 64)	16
00:30:12.522	55	33.027	(1244, 643)	(124, 64)	16
00:30:12.583	52	33.1647	(1234, 643)	(123, 64)	16
00:30:12.639	53	33.2833	(1224, 641)	(122, 64)	16
00:30:12.703	59	33.224	(1214, 641)	(121, 64)	16
00:30:12.776	60	33.2881	(1204, 641)	(120, 64)	16
00:30:12.841	50	33.4021	(1194, 640)	(119, 64)	16
00:30:12.895	50	33.6213	(1184, 639)	(118, 64)	16
00:30:12.951	58	33.551	(1174, 639)	(117, 64)	16
00:30:13.016	54	33.6196	(1164, 637)	(116, 64)	16
00:30:13.076	47	33.729	(1154, 637)	(115, 64)	16
00:30:13.125	55	33.7593	(1144, 636)	(114, 64)	16
00:30:13.191	67	33.8068	(1134, 636)	(113, 64)	16
00:30:13.264	52	33.9111	(1124, 635)	(112, 64)	16
00:30:13.321	65	33.8182	(1114, 635)	(111, 64)	16
00:30:13.397	61	33.9126	(1110, 634)	(111, 63)	16
00:30:13.466	51	33.891	(1104, 634)	(110, 63)	16
00:30:13.521	51	33.9668	(1093, 633)	(109, 63)	16
00:30:13.577	57	34.0307	(1084, 632)	(108, 63)	16
00:30:13.646	55	34.04	(1074, 632)	(107, 63)	16
00:30:13.709	50	34.0787	(1064, 631)	(106, 63)	16
00:30:13.765	54	34.0523	(1051, 631)	(105, 63)	16
00:30:13.828	53	34.1588	(1032, 629)	(103, 63)	16
00:30:13.890	52	34.2504	(1024, 629)	(102, 63)	16
00:30:13.945	54	34.2407	(1014, 629)	(101, 63)	16
00:30:14.002	58	34.1985	(1004, 628)	(100, 63)	16
00:30:14.067	53	34.2458	(994, 627)	(99, 63)	16
00:30:14.126	59	34.3868	(984, 627)	(98, 63)	16
00:30:14.192	57	34.2693	(974, 627)	(97, 63)	16
00:30:14.252	53	34.399	(964, 626)	(96, 63)	16
00:30:14.315	57	34.4671	(954, 626)	(95, 63)	16
00:30:14.378	63	34.4329	(944, 626)	(94, 63)	16
00:30:14.448	63	34.5079	(934, 625)	(93, 63)	16
00:30:14.516	51	34.4833	(927, 624)	(93, 62)	16
00:30:14.571	52	34.5924	(924, 624)	(92, 62)	16
00:30:14.627	51	34.5136	(914, 623)	(91, 62)	16
00:30:14.682	55	34.525	(904, 622)	(90, 62)	16
00:30:14.746	52	34.6388	(894, 621)	(89, 62)	16
00:30:14.800	58	34.6376	(884, 620)	(88, 62)	16
00:30:14.867	62	34.5191	(873, 619)	(87, 62)	16
00:30:14.933	52	34.6049	(864, 619)	(86, 62)	16
00:30:14.988	58	34.6593	(854, 619)	(85, 62)	16
00:30:15.056	65	34.4559	(843, 618)	(84, 62)	16
00:30:15.128	53	34.5499	(834, 618)	(83, 62)	16
00:30:15.183	52	34.5556	(823, 617)	(82, 62)	16
00:30:15.247	65	34.5781	(814, 617)	(81, 62)	16
00:30:15.318	56	34.403	(804, 617)	(80, 62)	16
00:30:15.378	52	34.4843	(794, 617)	(79, 62)	16
00:30:15.433	58	34.4373	(784, 616)	(78, 62)	16
00:30:15.497	63	34.1985	(772, 616)	(77, 62)	16
00:30:15.568	49	34.1308	(764, 615)	(76, 62)	16
00:30:15.620	57	34.1424	(754, 615)	(75, 62)	16
00:30:15.685	61	33.9794	(744, 615)	(74, 62)	16
00:30:15.754	57	34.011	(734, 615)	(73, 62)	16
00:30:15.819	52	33.8825	(724, 615)	(72, 62)	16
00:30:15.878	50	33.7643	(714, 615)	(71, 62)	16
00:30:15.934	50	33.6089	(704, 615)	(70, 62)	16
00:30:15.989	49	33.4089	(694, 615)	(69, 62)	16
00:30:16.045	57	33.3721	(684, 615)	(68, 62)	16
00:30:16.108	53	33.1511	(674, 615)	(67, 62)	16
00:30:16.170	50	33.009	(664, 616)	(66, 62)	16
00:30:16.225	47	32.8361	(654, 617)	(65, 62)	16
00:30:16.274	50	32.5295	(644, 618)	(64, 62)	16
00:30:16.332	57	32.3027	(634, 618)	(63, 62)	16
00:30:16.399	50	32.1064	(624, 619)	(62, 62)	16
00:30:16.456	49	31.7759	(614, 619)	(61, 62)	16
00:30:16.511	48	31.5683	(604, 621)	(60, 62)	16
00:30:16.567	49	31.3191	(594, 621)	(59, 62)	16
00:30:16.622	48	31.1028	(584, 622)	(58, 62)	16
00:30:16.678	54	30.8244	(574, 624)	(57, 62)	16
00:30:16.742	58	30.551	(566, 625)	(57, 63)	16
00:30:16.814	47	30.5231	(564, 625)	(56, 63)	16
00:30:16.865	44	30.3194	(554, 625)	(55, 63)	16
