BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.488333, -0.339726, -0.497206, 0.631584), Translationsvektor: ( 0.0768895, 0.101072, 1.625).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
00:27:41.967	90	82.2003	(-1, -1)	(-1, -1)	16
00:27:42.069	92	82.1259	(-1, -1)	(-1, -1)	16
00:27:42.169	93	82.065	(-1, -1)	(-1, -1)	16
00:27:42.267	93	82.1073	(-1, -1)	(-1, -1)	16
00:27:42.375	91	82.067	(-1, -1)	(-1, -1)	16
00:27:42.475	89	82.1292	(-1, -1)	(-1, -1)	16
00:27:42.572	90	82.2393	(-1, -1)	(-1, -1)	16
00:27:42.669	94	82.0959	(-1, -1)	(-1, -1)	16
00:27:42.768	94	82.084	(-1, -1)	(-1, -1)	16
00:27:42.871	91	82.0705	(-1, -1)	(-1, -1)	16
00:27:42.969	94	82.1012	(-1, -1)	(-1, -1)	16
00:27:43.072	88	82.1433	(-1, -1)	(-1, -1)	16
00:27:43.170	94	82.0643	(-1, -1)	(-1, -1)	16
00:27:43.266	91	82.0788	(-1, -1)	(-1, -1)	16
00:27:43.365	95	82.0724	(-1, -1)	(-1, -1)	16
00:27:43.469	90	82.1501	(-1, -1)	(-1, -1)	16
00:27:43.588	90	82.088	(-1, -1)	(-1, -1)	16
00:27:43.685	89	82.1787	(-1, -1)	(-1, -1)	16
00:27:43.781	89	82.103	(-1, -1)	(-1, -1)	16
00:27:43.882	88	82.0576	(-1, -1)	(-1, -1)	16
00:27:43.982	95	82.0844	(-1, -1)	(-1, -1)	16
00:27:44.085	93	82.1453	(-1, -1)	(-1, -1)	16
00:27:44.185	91	82.0649	(-1, -1)	(-1, -1)	16
00:27:44.284	96	82.1353	(-1, -1)	(-1, -1)	16
00:27:44.387	104	82.0548	(-1, -1)	(-1, -1)	16
00:27:44.500	93	82.0681	(-1, -1)	(-1, -1)	16
00:27:44.602	94	82.084	(-1, -1)	(-1, -1)	16
00:27:44.711	94	82.1247	(-1, -1)	(-1, -1)	16
00:27:44.811	95	82.0819	(-1, -1)	(-1, -1)	16
00:27:44.919	94	82.0403	(-1, -1)	(-1, -1)	16
00:27:45.023	92	82.0658	(-1, -1)	(-1, -1)	16
00:27:45.123	92	82.0621	(-1, -1)	(-1, -1)	16
00:27:45.220	94	82.0652	(-1, -1)	(-1, -1)	16
00:27:45.319	94	82.0596	(-1, -1)	(-1, -1)	16
00:27:45.414	90	82.1455	(-1, -1)	(-1, -1)	16
00:27:45.513	95	82.0841	(-1, -1)	(-1, -1)	16
00:27:45.616	91	82.1653	(-1, -1)	(-1, -1)	16
00:27:45.715	94	82.0966	(-1, -1)	(-1, -1)	16
00:27:45.811	90	82.1376	(-1, -1)	(-1, -1)	16
00:27:45.912	99	82.0881	(-1, -1)	(-1, -1)	16
00:27:46.013	90	82.1452	(-1, -1)	(-1, -1)	16
00:27:46.111	93	82.1084	(-1, -1)	(-1, -1)	16
00:27:46.207	91	82.0742	(-1, -1)	(-1, -1)	16
00:27:46.306	94	82.0375	(-1, -1)	(-1, -1)	16
00:27:46.408	92	82.0733	(-1, -1)	(-1, -1)	16
00:27:46.507	95	82.1856	(-1, -1)	(-1, -1)	16
00:27:46.611	89	82.1564	(-1, -1)	(-1, -1)	16
00:27:46.710	94	82.0868	(-1, -1)	(-1, -1)	16
00:27:46.816	92	82.0747	(-1, -1)	(-1, -1)	16
00:27:46.918	98	82.057	(-1, -1)	(-1, -1)	16
00:27:47.023	93	82.0496	(-1, -1)	(-1, -1)	16
00:27:47.118	89	82.1244	(-1, -1)	(-1, -1)	16
00:27:47.217	95	82.1163	(-1, -1)	(-1, -1)	16
00:27:47.319	92	82.1004	(-1, -1)	(-1, -1)	16
00:27:47.418	95	82.1576	(-1, -1)	(-1, -1)	16
00:27:47.521	90	82.1584	(-1, -1)	(-1, -1)	16
00:27:47.620	93	82.0446	(-1, -1)	(-1, -1)	16
00:27:47.715	91	82.0769	(-1, -1)	(-1, -1)	16
00:27:47.814	92	82.1307	(-1, -1)	(-1, -1)	16
00:27:47.911	92	82.1249	(-1, -1)	(-1, -1)	16
00:27:48.009	94	82.1027	(-1, -1)	(-1, -1)	16
00:27:48.113	90	82.0588	(-1, -1)	(-1, -1)	16
00:27:48.214	93	82.0612	(-1, -1)	(-1, -1)	16
00:27:48.315	91	82.0655	(-1, -1)	(-1, -1)	16
00:27:48.415	94	82.0827	(-1, -1)	(-1, -1)	16
00:27:48.516	91	82.0667	(-1, -1)	(-1, -1)	16
00:27:48.616	93	82.0444	(-1, -1)	(-1, -1)	16
00:27:48.717	91	82.0967	(-1, -1)	(-1, -1)	16
00:27:48.818	94	82.1596	(-1, -1)	(-1, -1)	16
00:27:48.921	94	82.0679	(-1, -1)	(-1, -1)	16
00:27:49.024	95	82.1265	(-1, -1)	(-1, -1)	16
00:27:49.131	93	82.0502	(-1, -1)	(-1, -1)	16
00:27:49.232	94	82.0871	(-1, -1)	(-1, -1)	16
00:27:49.336	96	82.0646	(-1, -1)	(-1, -1)	16
00:27:49.443	94	82.0575	(-1, -1)	(-1, -1)	16
00:27:49.546	94	82.1024	(-1, -1)	(-1, -1)	16
00:27:49.650	94	82.0182	(-1, -1)	(-1, -1)	16
00:27:49.757	94	82.1416	(-1, -1)	(-1, -1)	16
00:27:49.856	90	82.2116	(-1, -1)	(-1, -1)	16
00:27:49.957	94	82.1181	(-1, -1)	(-1, -1)	16
00:27:50.058	90	82.2116	(-1, -1)	(-1, -1)	16
