BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.488333, -0.339726, -0.497206, 0.631584), Translationsvektor: ( 0.0768895, 0.101072, 1.625).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
00:28:43.476	66	57.1655	(-1, -1)	(-1, -1)	16
00:28:43.548	68	57.3071	(-1, -1)	(-1, -1)	16
00:28:43.623	70	57.523	(-1, -1)	(-1, -1)	16
00:28:43.699	70	57.7607	(-1, -1)	(-1, -1)	16
00:28:43.776	69	58.0727	(-1, -1)	(-1, -1)	16
00:28:43.850	66	58.4729	(-1, -1)	(-1, -1)	16
00:28:43.922	68	58.4092	(-1, -1)	(-1, -1)	16
00:28:43.998	66	58.6637	(-1, -1)	(-1, -1)	16
00:28:44.072	66	58.8994	(-1, -1)	(-1, -1)	16
00:28:44.146	72	59.0972	(-1, -1)	(-1, -1)	16
00:28:44.227	67	59.3074	(-1, -1)	(-1, -1)	16
00:28:44.296	66	59.5677	(-1, -1)	(-1, -1)	16
00:28:44.373	72	59.7576	(-1, -1)	(-1, -1)	16
00:28:44.449	68	59.9683	(-1, -1)	(-1, -1)	16
00:28:44.527	70	60.2018	(-1, -1)	(-1, -1)	16
00:28:44.602	68	60.4744	(-1, -1)	(-1, -1)	16
00:28:44.678	69	60.72	(-1, -1)	(-1, -1)	16
00:28:44.757	71	60.7953	(-1, -1)	(-1, -1)	16
00:28:44.834	70	61.057	(-1, -1)	(-1, -1)	16
00:28:44.907	70	61.2907	(-1, -1)	(-1, -1)	16
00:28:44.986	73	61.4748	(-1, -1)	(-1, -1)	16
00:28:45.061	70	61.6369	(-1, -1)	(-1, -1)	16
00:28:45.138	76	61.8459	(-1, -1)	(-1, -1)	16
00:28:45.223	74	62.0324	(-1, -1)	(-1, -1)	16
00:28:45.304	69	62.2756	(-1, -1)	(-1, -1)	16
00:28:45.382	76	62.4265	(-1, -1)	(-1, -1)	16
00:28:45.469	70	62.5852	(-1, -1)	(-1, -1)	16
00:28:45.547	69	62.7964	(-1, -1)	(-1, -1)	16
00:28:45.624	76	62.9606	(-1, -1)	(-1, -1)	16
00:28:45.708	71	63.1917	(-1, -1)	(-1, -1)	16
00:28:45.785	75	63.3044	(-1, -1)	(-1, -1)	16
00:28:45.873	72	63.5276	(-1, -1)	(-1, -1)	16
00:28:45.950	74	63.6984	(-1, -1)	(-1, -1)	16
00:28:46.029	74	63.8159	(-1, -1)	(-1, -1)	16
00:28:46.111	75	63.9799	(-1, -1)	(-1, -1)	16
00:28:46.196	74	64.1418	(-1, -1)	(-1, -1)	16
00:28:46.278	76	64.3628	(-1, -1)	(-1, -1)	16
00:28:46.360	81	64.451	(-1, -1)	(-1, -1)	16
00:28:46.445	76	64.6021	(-1, -1)	(-1, -1)	16
00:28:46.528	75	64.7662	(-1, -1)	(-1, -1)	16
00:28:46.610	78	64.8827	(-1, -1)	(-1, -1)	16
00:28:46.699	74	64.9976	(-1, -1)	(-1, -1)	16
00:28:46.778	72	65.1347	(-1, -1)	(-1, -1)	16
00:28:46.855	78	65.3397	(-1, -1)	(-1, -1)	16
00:28:46.939	77	65.4382	(-1, -1)	(-1, -1)	16
00:28:47.021	72	65.6074	(-1, -1)	(-1, -1)	16
00:28:47.098	80	65.6892	(-1, -1)	(-1, -1)	16
00:28:47.188	76	65.7904	(-1, -1)	(-1, -1)	16
00:28:47.275	77	65.8259	(-1, -1)	(-1, -1)	16
00:28:47.362	75	65.9668	(-1, -1)	(-1, -1)	16
00:28:47.444	75	66.1344	(-1, -1)	(-1, -1)	16
00:28:47.530	78	66.1656	(-1, -1)	(-1, -1)	16
00:28:47.612	76	66.2391	(-1, -1)	(-1, -1)	16
00:28:47.700	78	66.3487	(-1, -1)	(-1, -1)	16
00:28:47.789	76	66.4284	(-1, -1)	(-1, -1)	16
00:28:47.869	76	66.5354	(-1, -1)	(-1, -1)	16
00:28:47.953	78	66.5978	(-1, -1)	(-1, -1)	16
00:28:48.036	76	66.6724	(-1, -1)	(-1, -1)	16
00:28:48.123	79	66.7227	(-1, -1)	(-1, -1)	16
00:28:48.213	81	66.8532	(-1, -1)	(-1, -1)	16
00:28:48.303	79	66.8827	(-1, -1)	(-1, -1)	16
00:28:48.392	77	66.923	(-1, -1)	(-1, -1)	16
