BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.0635341, 0.68235, -0.135584, -0.715522), Translationsvektor: ( 0.164384, -0.174579, 1.775).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
00:15:32.053	44	36.9889	(318, 226)	(32, 23)	98
00:15:32.100	46	36.9283	(325, 225)	(33, 23)	98
00:15:32.150	49	36.9508	(335, 225)	(34, 23)	98
00:15:32.206	50	36.9514	(345, 225)	(35, 23)	98
00:15:32.262	49	36.9401	(357, 225)	(36, 23)	98
00:15:32.316	45	36.9782	(372, 225)	(37, 23)	98
00:15:32.365	48	36.9375	(375, 225)	(38, 23)	98
00:15:32.421	50	36.9259	(385, 225)	(39, 23)	98
00:15:32.477	49	36.9258	(395, 225)	(40, 23)	98
00:15:32.531	44	36.9964	(405, 225)	(41, 23)	98
00:15:32.580	46	36.8727	(415, 225)	(42, 23)	98
00:15:32.632	49	36.9015	(425, 225)	(43, 23)	98
00:15:32.686	50	36.92	(435, 226)	(44, 23)	98
00:15:32.740	44	36.9828	(445, 226)	(45, 23)	98
00:15:32.788	43	36.9874	(455, 226)	(46, 23)	98
00:15:32.838	50	36.9553	(465, 227)	(47, 23)	98
00:15:32.895	48	36.8775	(475, 227)	(48, 23)	98
00:15:32.948	44	36.9655	(485, 228)	(49, 23)	98
00:15:32.996	46	36.9178	(495, 228)	(50, 23)	98
00:15:33.047	50	36.8975	(505, 229)	(51, 23)	98
00:15:33.103	50	36.9098	(515, 229)	(52, 23)	98
00:15:33.160	43	36.9076	(525, 229)	(53, 23)	98
00:15:33.206	43	37.0231	(535, 229)	(54, 23)	98
00:15:33.259	46	36.9003	(545, 229)	(55, 23)	98
00:15:33.317	45	36.8753	(555, 229)	(56, 23)	98
00:15:33.366	44	37.1056	(565, 229)	(57, 23)	98
00:15:33.414	44	36.9092	(575, 229)	(58, 23)	98
00:15:33.464	45	36.9287	(585, 229)	(59, 23)	98
00:15:33.512	46	36.9384	(596, 229)	(60, 23)	98
00:15:33.560	44	36.9399	(605, 230)	(61, 23)	98
00:15:33.608	47	36.9084	(615, 230)	(62, 23)	98
00:15:33.666	48	36.9474	(626, 230)	(63, 23)	98
00:15:33.721	48	36.9317	(635, 230)	(64, 23)	98
00:15:33.777	45	36.9006	(645, 230)	(65, 23)	98
00:15:33.824	44	36.9581	(655, 230)	(66, 23)	98
00:15:33.874	47	36.905	(665, 230)	(67, 23)	98
00:15:33.929	48	36.8871	(680, 230)	(68, 23)	98
00:15:33.984	45	36.9575	(685, 230)	(69, 23)	98
00:15:34.032	44	37.027	(695, 230)	(70, 23)	98
00:15:34.082	45	36.9136	(705, 230)	(71, 23)	98
00:15:34.130	46	36.9624	(715, 230)	(72, 23)	98
00:15:34.181	44	36.8627	(725, 230)	(73, 23)	98
00:15:34.227	45	36.9782	(735, 230)	(74, 23)	98
00:15:34.278	49	36.8961	(749, 230)	(75, 23)	98
00:15:34.335	48	36.9145	(756, 230)	(76, 23)	98
00:15:34.389	46	36.8812	(766, 230)	(77, 23)	98
00:15:34.443	46	36.8696	(775, 230)	(78, 23)	98
00:15:34.493	49	36.8874	(785, 230)	(79, 23)	98
00:15:34.548	49	36.9117	(796, 229)	(80, 23)	98
00:15:34.604	45	36.9987	(805, 229)	(81, 23)	98
00:15:34.651	44	36.9169	(815, 229)	(82, 23)	98
00:15:34.701	45	36.8596	(825, 228)	(83, 23)	98
00:15:34.750	48	36.865	(835, 228)	(84, 23)	98
00:15:34.804	46	36.8723	(845, 228)	(85, 23)	98
00:15:34.852	44	37.0056	(855, 228)	(86, 23)	98
00:15:34.903	52	36.8887	(865, 228)	(87, 23)	98
00:15:34.966	48	36.8844	(875, 228)	(88, 23)	98
00:15:35.024	48	36.9068	(885, 228)	(89, 23)	98
00:15:35.076	46	36.9521	(895, 228)	(90, 23)	98
00:15:35.125	50	36.9689	(905, 228)	(91, 23)	98
00:15:35.181	50	36.8681	(915, 228)	(92, 23)	98
00:15:35.236	45	36.9212	(925, 228)	(93, 23)	98
00:15:35.283	44	36.9276	(935, 228)	(94, 23)	98
00:15:35.334	49	36.8939	(945, 227)	(95, 23)	98
00:15:35.390	50	36.9156	(957, 227)	(96, 23)	98
00:15:35.453	48	36.9524	(966, 227)	(97, 23)	98
00:15:35.507	45	37.0287	(975, 227)	(98, 23)	98
00:15:35.556	50	36.8987	(985, 227)	(99, 23)	98
00:15:35.613	49	36.8948	(995, 227)	(100, 23)	98
00:15:35.669	48	36.9194	(1005, 227)	(101, 23)	98
00:15:35.722	42	36.9314	(1015, 226)	(102, 23)	98
00:15:35.771	43	37.0833	(1025, 226)	(103, 23)	98
00:15:35.821	48	36.8726	(1035, 226)	(104, 23)	98
00:15:35.876	45	36.9929	(1045, 225)	(105, 23)	98
00:15:35.923	44	36.9074	(1055, 225)	(106, 23)	98
00:15:35.973	49	36.9486	(1065, 225)	(107, 23)	98
00:15:36.029	48	36.9111	(1071, 224)	(107, 22)	98
00:15:36.084	45	36.849	(1075, 224)	(108, 22)	98
00:15:36.131	44	36.9096	(1085, 224)	(109, 22)	98
00:15:36.182	47	36.951	(1095, 224)	(110, 22)	98
00:15:36.239	50	36.8785	(1105, 224)	(111, 22)	98
00:15:36.301	48	36.9647	(1115, 224)	(112, 22)	98
00:15:36.354	43	36.984	(1125, 224)	(113, 22)	98
00:15:36.404	51	36.8729	(1135, 224)	(114, 22)	98
00:15:36.462	48	36.8756	(1146, 223)	(115, 22)	98
00:15:36.515	46	36.8464	(1155, 223)	(116, 22)	98
00:15:36.571	51	36.9271	(1165, 223)	(117, 22)	98
00:15:36.627	51	36.963	(1175, 223)	(118, 22)	98
00:15:36.684	48	36.8954	(1185, 223)	(119, 22)	98
00:15:36.737	44	36.9424	(1195, 223)	(120, 22)	98
00:15:36.785	44	36.9461	(1205, 223)	(121, 22)	98
00:15:36.834	49	36.9828	(1215, 223)	(122, 22)	98
00:15:36.892	49	36.8535	(1225, 223)	(123, 22)	98
00:15:36.945	43	37.0083	(1235, 223)	(124, 22)	98
00:15:36.993	45	37.0387	(1245, 223)	(125, 22)	98
00:15:37.044	49	36.9043	(1255, 223)	(126, 22)	98
00:15:37.099	50	36.8987	(1265, 224)	(127, 22)	98
00:15:37.153	44	36.9557	(1275, 224)	(128, 22)	98
00:15:37.203	48	36.8781	(1282, 225)	(128, 23)	98
00:15:37.259	48	36.9154	(1285, 225)	(129, 23)	98
00:15:37.317	48	36.888	(1295, 226)	(130, 23)	98
00:15:37.370	44	37.0173	(1305, 226)	(131, 23)	98
00:15:37.418	49	36.9801	(1316, 228)	(132, 23)	98
00:15:37.475	50	36.9167	(1326, 228)	(133, 23)	98
00:15:37.532	49	36.8581	(1335, 228)	(134, 23)	98
00:15:37.584	44	37.0321	(1345, 229)	(135, 23)	98
00:15:37.635	48	36.9001	(1355, 230)	(136, 23)	98
00:15:37.694	50	36.863	(1366, 230)	(137, 23)	98
00:15:37.755	45	36.9683	(1375, 230)	(138, 23)	98
00:15:37.807	42	36.953	(1386, 231)	(139, 23)	98
00:15:37.855	43	36.9255	(1395, 231)	(140, 23)	98
00:15:37.907	49	36.8941	(1405, 232)	(141, 23)	98
00:15:37.961	45	36.9298	(1415, 232)	(142, 23)	98
00:15:38.009	45	36.9572	(1425, 232)	(143, 23)	98
00:15:38.060	50	36.8607	(1435, 233)	(144, 23)	98
00:15:38.115	49	36.8942	(1445, 234)	(145, 23)	98
00:15:38.171	45	36.8868	(1455, 234)	(146, 23)	98
00:15:38.224	46	36.9041	(1465, 234)	(147, 23)	98
00:15:38.275	48	36.932	(1478, 234)	(148, 23)	98
00:15:38.330	49	36.9287	(1485, 234)	(149, 23)	98
00:15:38.385	50	37.0056	(1488, 235)	(149, 24)	98
00:15:38.440	45	36.9209	(1495, 235)	(150, 24)	98
00:15:38.490	49	36.8932	(1506, 235)	(151, 24)	98
00:15:38.545	50	36.8824	(1516, 235)	(152, 24)	98
00:15:38.601	49	36.8493	(1526, 236)	(153, 24)	98
00:15:38.657	45	36.8582	(1535, 236)	(154, 24)	98
00:15:38.712	49	36.9009	(1546, 236)	(155, 24)	98
00:15:38.770	46	36.9154	(1556, 237)	(156, 24)	98
00:15:38.823	46	36.9793	(1565, 237)	(157, 24)	98
00:15:38.878	46	36.8944	(1575, 238)	(158, 24)	98
00:15:38.928	49	36.9227	(1585, 238)	(159, 24)	98
00:15:38.983	49	37.0037	(1595, 239)	(160, 24)	98
00:15:39.038	44	37.0818	(1605, 239)	(161, 24)	98
00:15:39.086	44	36.9119	(1615, 240)	(162, 24)	98
00:15:39.137	50	36.9695	(1625, 240)	(163, 24)	98
00:15:39.194	49	36.9151	(1636, 241)	(164, 24)	98
00:15:39.247	45	37.0001	(1645, 242)	(165, 24)	98
00:15:39.295	42	36.9253	(1655, 242)	(166, 24)	98
00:15:39.345	49	36.8692	(1666, 243)	(167, 24)	98
00:15:39.401	48	36.8972	(1676, 244)	(168, 24)	98
00:15:39.455	45	36.8597	(1677, 245)	(168, 25)	98
00:15:39.503	44	36.9175	(1686, 245)	(169, 25)	98
00:15:39.554	49	36.9446	(1696, 246)	(170, 25)	98
00:15:39.609	49	36.9138	(1705, 246)	(171, 25)	98
00:15:39.664	45	37.0511	(1715, 248)	(172, 25)	98
00:15:39.712	45	36.9332	(1726, 249)	(173, 25)	98
00:15:39.763	49	36.8844	(1735, 250)	(174, 25)	98
00:15:39.818	50	36.955	(1745, 251)	(175, 25)	98
00:15:39.875	47	36.9308	(1755, 253)	(176, 25)	98
00:15:39.928	45	37.039	(1765, 254)	(177, 25)	98
00:15:39.978	49	36.8816	(1768, 255)	(177, 26)	98
00:15:40.034	48	36.9233	(1775, 256)	(178, 26)	98
00:15:40.088	45	36.9533	(1785, 258)	(179, 26)	98
00:15:40.136	44	37.008	(1795, 260)	(180, 26)	98
00:15:40.187	48	36.8594	(1805, 262)	(181, 26)	98
00:15:40.242	49	36.9022	(1815, 264)	(182, 26)	98
00:15:40.297	44	36.9273	(1817, 265)	(182, 27)	98
00:15:40.345	48	36.9348	(1825, 267)	(183, 27)	98
00:15:40.402	49	36.8961	(1838, 271)	(184, 27)	98
00:15:40.458	50	36.9498	(1845, 273)	(185, 27)	98
00:15:40.513	45	36.8884	(1849, 275)	(185, 28)	98
00:15:40.561	48	36.8676	(1858, 278)	(186, 28)	98
00:15:40.617	49	36.9212	(1865, 280)	(187, 28)	98
00:15:40.673	49	36.9861	(1874, 285)	(187, 29)	98
00:15:40.728	46	36.9477	(1875, 285)	(188, 29)	98
00:15:40.783	44	37.0492	(1885, 289)	(189, 29)	98
00:15:40.834	49	36.8853	(1895, 294)	(190, 29)	98
00:15:40.888	49	36.9369	(1895, 295)	(190, 30)	98
00:15:40.943	45	36.9393	(1905, 299)	(191, 30)	98
00:15:40.991	44	37.0007	(1912, 305)	(191, 31)	98
00:15:41.041	49	36.9144	(1915, 307)	(192, 31)	98
00:15:41.095	45	36.9378	(1925, 314)	(193, 31)	98
00:15:41.144	42	37.0292	(1926, 315)	(193, 32)	98
00:15:41.192	42	36.9467	(1935, 322)	(194, 32)	98
00:15:41.241	43	36.9289	(1937, 325)	(194, 33)	98
00:15:41.290	43	36.9271	(1945, 333)	(195, 33)	98
00:15:41.339	43	36.9784	(1947, 335)	(195, 34)	98
00:15:41.387	44	36.9484	(1955, 344)	(196, 34)	98
00:15:41.437	48	36.8436	(1955, 345)	(196, 35)	98
00:15:41.493	48	36.953	(1963, 355)	(196, 36)	98
00:15:41.549	49	36.9873	(1965, 358)	(197, 36)	98
00:15:41.603	45	37.0001	(1968, 365)	(197, 37)	98
00:15:41.654	49	36.901	(1973, 375)	(197, 38)	98
00:15:41.711	48	36.9498	(1975, 379)	(198, 38)	98
00:15:41.763	47	36.8996	(1976, 385)	(198, 39)	98
00:15:41.820	49	36.9221	(1980, 395)	(198, 40)	98
00:15:41.877	49	36.9418	(1982, 405)	(198, 41)	98
00:15:41.931	50	36.853	(1984, 415)	(198, 42)	98
00:15:41.985	44	36.8973	(1985, 417)	(199, 42)	98
00:15:42.036	47	36.9034	(1985, 425)	(199, 43)	98
00:15:42.091	47	36.9471	(1987, 435)	(199, 44)	98
00:15:42.147	48	36.8913	(1988, 445)	(199, 45)	98
00:15:42.200	44	36.9296	(1989, 455)	(199, 46)	98
00:15:42.250	49	36.9957	(1989, 465)	(199, 47)	98
00:15:42.306	50	36.9153	(1989, 475)	(199, 48)	98
00:15:42.365	50	36.9277	(1988, 485)	(199, 49)	98
00:15:42.424	44	36.8705	(1985, 495)	(199, 50)	98
00:15:42.471	45	36.9394	(1984, 495)	(198, 50)	98
00:15:42.522	49	36.8873	(1980, 505)	(198, 51)	98
00:15:42.579	49	36.8704	(1972, 516)	(197, 52)	98
00:15:42.633	44	37.0975	(1965, 525)	(197, 53)	98
00:15:42.681	43	36.9676	(1964, 526)	(196, 53)	98
00:15:42.731	47	36.8976	(1954, 534)	(195, 53)	98
00:15:42.786	47	36.9064	(1953, 535)	(195, 54)	98
00:15:42.840	45	36.9695	(1944, 539)	(194, 54)	98
00:15:42.891	48	36.9016	(1937, 545)	(194, 55)	98
00:15:42.946	49	36.9535	(1934, 547)	(193, 55)	98
00:15:43.000	44	37.0902	(1924, 555)	(192, 56)	98
00:15:43.049	45	36.9508	(1914, 561)	(191, 56)	98
00:15:43.099	50	36.8941	(1907, 565)	(191, 57)	98
00:15:43.155	50	36.9127	(1904, 567)	(190, 57)	98
00:15:43.211	48	36.9693	(1894, 572)	(189, 57)	98
00:15:43.265	46	36.9462	(1890, 575)	(189, 58)	98
00:15:43.316	48	36.9182	(1884, 577)	(188, 58)	98
00:15:43.370	51	36.8767	(1874, 581)	(187, 58)	98
00:15:43.427	48	36.8969	(1866, 585)	(187, 59)	98
00:15:43.481	44	36.8927	(1864, 585)	(186, 59)	98
00:15:43.529	46	36.8984	(1854, 590)	(185, 59)	98
00:15:43.587	48	36.876	(1844, 594)	(184, 59)	98
00:15:43.644	50	36.9	(1843, 595)	(184, 60)	98
00:15:43.703	45	36.9947	(1834, 597)	(183, 60)	98
00:15:43.754	48	36.9708	(1823, 601)	(182, 60)	98
00:15:43.807	47	36.875	(1810, 606)	(181, 61)	98
00:15:43.867	47	36.8984	(1804, 609)	(180, 61)	98
00:15:43.918	44	37.0148	(1794, 612)	(179, 61)	98
00:15:43.968	49	36.8981	(1787, 615)	(179, 62)	98
00:15:44.024	50	36.825	(1784, 616)	(178, 62)	98
00:15:44.085	46	36.9465	(1774, 619)	(177, 62)	98
00:15:44.133	44	36.9213	(1764, 622)	(176, 62)	98
00:15:44.182	44	36.9204	(1758, 625)	(176, 63)	98
00:15:44.232	50	36.9074	(1754, 626)	(175, 63)	98
00:15:44.291	48	36.8867	(1744, 628)	(174, 63)	98
00:15:44.342	44	36.9579	(1734, 631)	(173, 63)	98
00:15:44.390	43	36.9634	(1724, 633)	(172, 63)	98
00:15:44.439	45	36.9324	(1715, 635)	(172, 64)	98
00:15:44.490	48	36.944	(1714, 635)	(171, 64)	98
00:15:44.545	45	37.0007	(1704, 637)	(170, 64)	98
00:15:44.593	45	36.9	(1694, 638)	(169, 64)	98
00:15:44.641	46	36.9781	(1684, 640)	(168, 64)	98
00:15:44.698	49	36.9804	(1674, 641)	(167, 64)	98
00:15:44.753	44	36.9578	(1664, 642)	(166, 64)	98
00:15:44.802	49	36.8861	(1654, 643)	(165, 64)	98
00:15:44.858	48	36.9199	(1644, 644)	(164, 64)	98
00:15:44.912	45	36.897	(1633, 644)	(163, 64)	98
00:15:44.961	44	36.9981	(1624, 644)	(162, 64)	98
00:15:45.009	42	37.0348	(1614, 644)	(161, 64)	98
00:15:45.057	43	36.9219	(1604, 644)	(160, 64)	98
00:15:45.106	42	36.9609	(1594, 644)	(159, 64)	98
00:15:45.156	43	36.9766	(1584, 644)	(158, 64)	98
00:15:45.205	48	36.9908	(1574, 644)	(157, 64)	98
00:15:45.261	51	36.8997	(1564, 644)	(156, 64)	98
00:15:45.316	47	36.9065	(1554, 644)	(155, 64)	98
00:15:45.372	44	37.0135	(1548, 645)	(155, 65)	98
00:15:45.420	45	36.9339	(1544, 645)	(154, 65)	98
00:15:45.470	48	36.8913	(1534, 645)	(153, 65)	98
00:15:45.526	47	36.8884	(1524, 646)	(152, 65)	98
00:15:45.580	44	36.9735	(1514, 647)	(151, 65)	98
00:15:45.628	44	36.928	(1504, 648)	(150, 65)	98
00:15:45.678	50	36.9	(1494, 649)	(149, 65)	98
00:15:45.734	48	36.8513	(1484, 651)	(148, 65)	98
00:15:45.788	45	36.9073	(1474, 652)	(147, 65)	98
00:15:45.836	43	36.9677	(1464, 652)	(146, 65)	98
00:15:45.885	43	36.9886	(1454, 653)	(145, 65)	98
00:15:45.934	46	36.8588	(1444, 654)	(144, 65)	98
00:15:45.983	45	36.8985	(1434, 654)	(143, 65)	98
00:15:46.032	46	36.9757	(1419, 654)	(142, 65)	98
00:15:46.082	46	36.9068	(1414, 654)	(141, 65)	98
00:15:46.137	49	36.9031	(1404, 654)	(140, 65)	98
00:15:46.195	50	36.9367	(1394, 654)	(139, 65)	98
00:15:46.247	44	36.9704	(1384, 654)	(138, 65)	98
00:15:46.296	44	36.9656	(1374, 654)	(137, 65)	98
00:15:46.346	47	36.8517	(1356, 653)	(136, 65)	98
00:15:46.400	45	36.871	(1354, 653)	(135, 65)	98
00:15:46.448	42	36.9914	(1344, 652)	(134, 65)	98
00:15:46.497	43	37.0407	(1334, 651)	(133, 65)	98
00:15:46.547	49	36.8935	(1323, 651)	(132, 65)	98
00:15:46.602	46	36.9206	(1314, 650)	(131, 65)	98
00:15:46.650	45	37.0244	(1303, 649)	(130, 65)	98
00:15:46.700	50	36.8452	(1294, 648)	(129, 65)	98
00:15:46.757	48	36.9441	(1284, 647)	(128, 65)	98
00:15:46.812	46	36.8827	(1274, 647)	(127, 65)	98
00:15:46.866	44	37.0344	(1264, 646)	(126, 65)	98
00:15:46.915	50	36.9095	(1256, 644)	(126, 64)	98
00:15:46.973	49	36.9551	(1254, 644)	(125, 64)	98
00:15:47.028	49	36.893	(1244, 643)	(124, 64)	98
00:15:47.081	46	36.8761	(1234, 643)	(123, 64)	98
00:15:47.131	50	36.8686	(1224, 641)	(122, 64)	98
00:15:47.187	48	36.8708	(1214, 641)	(121, 64)	98
00:15:47.242	46	36.8791	(1204, 641)	(120, 64)	98
00:15:47.296	44	37.0036	(1194, 640)	(119, 64)	98
00:15:47.347	49	36.9293	(1184, 639)	(118, 64)	98
00:15:47.402	48	36.8861	(1174, 639)	(117, 64)	98
00:15:47.457	45	36.9222	(1164, 637)	(116, 64)	98
00:15:47.505	49	36.8538	(1154, 637)	(115, 64)	98
00:15:47.560	48	36.9052	(1144, 636)	(114, 64)	98
00:15:47.618	50	36.9387	(1134, 636)	(113, 64)	98
00:15:47.673	44	37.0619	(1124, 635)	(112, 64)	98
00:15:47.721	46	36.8439	(1114, 635)	(111, 64)	98
00:15:47.771	46	36.9447	(1110, 634)	(111, 63)	98
00:15:47.826	50	36.8967	(1104, 634)	(110, 63)	98
00:15:47.881	45	36.984	(1093, 633)	(109, 63)	98
00:15:47.931	50	36.8929	(1084, 632)	(108, 63)	98
00:15:47.987	49	37.0081	(1074, 632)	(107, 63)	98
00:15:48.043	46	36.8667	(1064, 631)	(106, 63)	98
00:15:48.097	45	36.9074	(1051, 631)	(105, 63)	98
00:15:48.145	45	36.9827	(1032, 629)	(103, 63)	98
00:15:48.195	49	36.8945	(1024, 629)	(102, 63)	98
00:15:48.250	49	36.9	(1014, 629)	(101, 63)	98
00:15:48.304	46	37.0167	(1004, 628)	(100, 63)	98
00:15:48.354	50	36.9203	(994, 627)	(99, 63)	98
00:15:48.410	50	36.8981	(984, 627)	(98, 63)	98
00:15:48.466	49	36.836	(974, 627)	(97, 63)	98
00:15:48.520	44	36.9705	(964, 626)	(96, 63)	98
00:15:48.569	46	36.9093	(954, 626)	(95, 63)	98
00:15:48.619	48	36.9073	(944, 626)	(94, 63)	98
00:15:48.674	48	36.8736	(934, 625)	(93, 63)	98
00:15:48.729	45	36.8919	(927, 624)	(93, 62)	98
00:15:48.777	44	36.8729	(924, 624)	(92, 62)	98
00:15:48.827	50	36.8914	(914, 623)	(91, 62)	98
00:15:48.884	49	36.9311	(904, 622)	(90, 62)	98
00:15:48.938	43	36.9293	(894, 621)	(89, 62)	98
00:15:48.986	43	37.0514	(884, 620)	(88, 62)	98
00:15:49.037	48	36.9166	(873, 619)	(87, 62)	98
00:15:49.091	50	36.8896	(864, 619)	(86, 62)	98
00:15:49.146	44	36.9308	(854, 619)	(85, 62)	98
00:15:49.194	44	36.9667	(843, 618)	(84, 62)	98
00:15:49.245	49	36.8527	(834, 618)	(83, 62)	98
00:15:49.300	50	36.876	(823, 617)	(82, 62)	98
00:15:49.354	46	36.9624	(814, 617)	(81, 62)	98
00:15:49.402	45	36.9353	(804, 617)	(80, 62)	98
00:15:49.453	48	36.9228	(794, 617)	(79, 62)	98
00:15:49.509	48	36.8881	(784, 616)	(78, 62)	98
00:15:49.563	45	36.9561	(772, 616)	(77, 62)	98
00:15:49.611	44	37.0136	(764, 615)	(76, 62)	98
00:15:49.661	51	36.9256	(754, 615)	(75, 62)	98
00:15:49.716	49	36.8492	(744, 615)	(74, 62)	98
00:15:49.773	48	36.8947	(734, 615)	(73, 62)	98
00:15:49.827	45	36.924	(724, 615)	(72, 62)	98
00:15:49.877	49	36.8587	(714, 615)	(71, 62)	98
00:15:49.933	49	36.8893	(704, 615)	(70, 62)	98
00:15:49.987	45	36.9003	(694, 615)	(69, 62)	98
00:15:50.036	46	36.8868	(684, 615)	(68, 62)	98
00:15:50.094	49	36.8474	(674, 615)	(67, 62)	98
00:15:50.148	49	36.8216	(664, 616)	(66, 62)	98
00:15:50.203	45	36.8961	(654, 617)	(65, 62)	98
00:15:50.252	48	36.8341	(644, 618)	(64, 62)	98
00:15:50.309	49	36.892	(634, 618)	(63, 62)	98
00:15:50.364	47	36.936	(624, 619)	(62, 62)	98
00:15:50.418	44	36.9781	(614, 619)	(61, 62)	98
00:15:50.466	43	36.9769	(604, 621)	(60, 62)	98
00:15:50.515	47	36.9994	(594, 621)	(59, 62)	98
00:15:50.573	48	36.9227	(584, 622)	(58, 62)	98
00:15:50.626	44	37.0076	(574, 624)	(57, 62)	98
00:15:50.675	43	36.9687	(566, 625)	(57, 63)	98
00:15:50.725	47	36.9704	(564, 625)	(56, 63)	98
00:15:50.780	48	36.8628	(554, 625)	(55, 63)	98
00:15:50.834	46	37.0135	(544, 626)	(54, 63)	98
00:15:50.885	49	36.8707	(534, 628)	(53, 63)	98
00:15:50.943	49	36.8836	(524, 629)	(52, 63)	98
00:15:50.997	50	36.8641	(514, 631)	(51, 63)	98
00:15:51.051	44	36.9739	(504, 633)	(50, 63)	98
00:15:51.101	47	36.8945	(494, 634)	(49, 63)	98
00:15:51.156	48	36.8259	(493, 635)	(49, 64)	98
00:15:51.212	48	36.8557	(484, 637)	(48, 64)	98
00:15:51.266	44	36.9065	(467, 641)	(47, 64)	98
00:15:51.318	50	36.9424	(464, 642)	(46, 64)	98
00:15:51.379	50	36.9649	(458, 645)	(46, 65)	98
00:15:51.435	49	36.9104	(454, 646)	(45, 65)	98
00:15:51.488	46	36.927	(444, 650)	(44, 65)	98
00:15:51.539	49	36.9566	(434, 654)	(43, 65)	98
00:15:51.594	48	36.8693	(432, 655)	(43, 66)	98
00:15:51.648	45	36.8927	(424, 658)	(42, 66)	98
00:15:51.696	44	36.9419	(414, 662)	(41, 66)	98
00:15:51.747	50	36.8745	(409, 665)	(41, 67)	98
00:15:51.802	46	36.9633	(404, 667)	(40, 67)	98
