BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.0635341, 0.68235, -0.135584, -0.715522), Translationsvektor: ( 0.164384, -0.174579, 1.775).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
00:14:54.702	34	27.6064	(318, 226)	(32, 23)	98
00:14:54.742	36	27.5662	(325, 225)	(33, 23)	98
00:14:54.788	36	27.6498	(335, 225)	(34, 23)	98
00:14:54.831	35	27.7847	(345, 225)	(35, 23)	98
00:14:54.873	34	27.8711	(357, 225)	(36, 23)	98
00:14:54.918	40	27.908	(372, 225)	(37, 23)	98
00:14:54.965	39	27.9044	(375, 225)	(38, 23)	98
00:14:55.014	40	27.9899	(385, 225)	(39, 23)	98
00:14:55.061	36	28.0776	(395, 225)	(40, 23)	98
00:14:55.105	39	28.1274	(405, 225)	(41, 23)	98
00:14:55.153	41	28.2092	(415, 225)	(42, 23)	98
00:14:55.203	39	28.2653	(425, 225)	(43, 23)	98
00:14:55.249	34	28.3924	(435, 226)	(44, 23)	98
00:14:55.290	34	28.4492	(445, 226)	(45, 23)	98
00:14:55.334	41	28.4296	(455, 226)	(46, 23)	98
00:14:55.382	41	28.5004	(465, 227)	(47, 23)	98
00:14:55.431	40	28.5843	(475, 227)	(48, 23)	98
00:14:55.478	35	28.7636	(485, 228)	(49, 23)	98
00:14:55.519	36	28.7837	(495, 228)	(50, 23)	98
00:14:55.563	43	28.8324	(505, 229)	(51, 23)	98
00:14:55.612	41	28.8184	(515, 229)	(52, 23)	98
00:14:55.662	37	28.9049	(525, 229)	(53, 23)	98
00:14:55.707	39	29.0599	(535, 229)	(54, 23)	98
00:14:55.751	40	29.0025	(545, 229)	(55, 23)	98
00:14:55.798	39	29.0403	(555, 229)	(56, 23)	98
00:14:55.842	38	29.14	(565, 229)	(57, 23)	98
00:14:55.889	36	29.2424	(575, 229)	(58, 23)	98
00:14:55.930	36	29.3401	(585, 229)	(59, 23)	98
00:14:55.973	42	29.2879	(596, 229)	(60, 23)	98
00:14:56.022	42	29.3027	(605, 230)	(61, 23)	98
