BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.748984, 0.14431, -0.646606, -0.00927751), Translationsvektor: ( -0.0185595, -0.0459418, 1.325).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
00:50:30.287	29	12.2827	(318, 226)	(32, 23)	0
00:50:30.327	27	12.4887	(325, 225)	(33, 23)	0
00:50:30.361	29	12.7821	(335, 225)	(34, 23)	0
00:50:30.397	28	13.051	(345, 225)	(35, 23)	0
00:50:30.430	36	13.4458	(357, 225)	(36, 23)	0
00:50:30.473	37	13.8012	(372, 225)	(37, 23)	0
00:50:30.515	37	13.8778	(375, 225)	(38, 23)	0
00:50:30.558	31	14.2258	(385, 225)	(39, 23)	0
00:50:30.597	32	14.4843	(395, 225)	(40, 23)	0
00:50:30.633	39	14.6517	(405, 225)	(41, 23)	0
00:50:30.678	38	14.8714	(415, 225)	(42, 23)	0
00:50:30.725	42	15.1024	(425, 225)	(43, 23)	0
00:50:30.771	32	15.4689	(435, 226)	(44, 23)	0
00:50:30.805	34	15.7364	(445, 226)	(45, 23)	0
00:50:30.848	34	16.1062	(455, 226)	(46, 23)	0
00:50:30.889	35	16.4585	(465, 227)	(47, 23)	0
00:50:30.932	35	17.1893	(475, 227)	(48, 23)	0
00:50:30.973	33	16.7819	(485, 228)	(49, 23)	0
00:50:31.008	30	17.0187	(495, 228)	(50, 23)	0
00:50:31.042	32	17.2852	(505, 229)	(51, 23)	0
00:50:31.077	37	17.4801	(515, 229)	(52, 23)	0
00:50:31.119	36	17.9433	(525, 229)	(53, 23)	0
00:50:31.160	37	17.9665	(535, 229)	(54, 23)	0
00:50:31.202	32	18.0816	(545, 229)	(55, 23)	0
00:50:31.237	32	18.2748	(555, 229)	(56, 23)	0
00:50:31.271	32	18.5956	(565, 229)	(57, 23)	0
00:50:31.306	33	18.7479	(575, 229)	(58, 23)	0
00:50:31.342	40	19.0452	(585, 229)	(59, 23)	0
00:50:31.390	38	19.257	(596, 229)	(60, 23)	0
00:50:31.433	34	19.4821	(605, 230)	(61, 23)	0
00:50:31.473	44	19.7268	(615, 230)	(62, 23)	0
00:50:31.527	40	19.7119	(626, 230)	(63, 23)	0
00:50:31.571	35	19.8698	(635, 230)	(64, 23)	0
00:50:31.612	35	20.0477	(645, 230)	(65, 23)	0
00:50:31.654	43	20.129	(655, 230)	(66, 23)	0
00:50:31.703	41	20.2542	(665, 230)	(67, 23)	0
00:50:31.753	43	20.6277	(680, 230)	(68, 23)	0
00:50:31.803	37	20.671	(685, 230)	(69, 23)	0
00:50:31.848	38	20.8776	(695, 230)	(70, 23)	0
00:50:31.892	48	20.851	(705, 230)	(71, 23)	0
00:50:31.948	49	20.9828	(715, 230)	(72, 23)	0
00:50:32.002	37	21.0588	(725, 230)	(73, 23)	0
00:50:32.043	36	21.0052	(735, 230)	(74, 23)	0
00:50:32.085	35	21.0519	(749, 230)	(75, 23)	0
00:50:32.129	45	21.0886	(756, 230)	(76, 23)	0
00:50:32.184	42	21.1985	(766, 230)	(77, 23)	0
00:50:32.232	36	21.2431	(775, 230)	(78, 23)	0
00:50:32.274	45	21.257	(785, 230)	(79, 23)	0
00:50:32.322	43	21.2474	(796, 229)	(80, 23)	0
00:50:32.370	47	21.2428	(805, 229)	(81, 23)	0
00:50:32.427	40	21.1616	(815, 229)	(82, 23)	0
00:50:32.474	36	21.2579	(825, 228)	(83, 23)	0
00:50:32.515	43	21.3705	(835, 228)	(84, 23)	0
00:50:32.567	46	21.36	(845, 228)	(85, 23)	0
00:50:32.622	39	21.4079	(855, 228)	(86, 23)	0
00:50:32.670	36	21.3381	(865, 228)	(87, 23)	0
00:50:32.711	35	21.4664	(875, 228)	(88, 23)	0
00:50:32.753	43	21.4757	(885, 228)	(89, 23)	0
00:50:32.801	42	21.4987	(895, 228)	(90, 23)	0
00:50:32.849	40	21.6729	(905, 228)	(91, 23)	0
00:50:32.892	40	21.5991	(915, 228)	(92, 23)	0
00:50:32.944	48	21.629	(925, 228)	(93, 23)	0
00:50:32.997	45	21.7364	(935, 228)	(94, 23)	0
00:50:33.045	38	21.7684	(945, 227)	(95, 23)	0
00:50:33.085	41	22.0079	(957, 227)	(96, 23)	0
00:50:33.135	41	22.1575	(966, 227)	(97, 23)	0
