BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.748984, 0.14431, -0.646606, -0.00927751), Translationsvektor: ( -0.0185595, -0.0459418, 1.325).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
00:51:23.920	41	30.2919	(318, 226)	(32, 23)	0
00:51:23.967	43	30.4004	(325, 225)	(33, 23)	0
00:51:24.021	48	30.4856	(335, 225)	(34, 23)	0
00:51:24.078	44	30.5302	(345, 225)	(35, 23)	0
00:51:24.125	41	30.7621	(357, 225)	(36, 23)	0
00:51:24.175	50	30.6086	(372, 225)	(37, 23)	0
00:51:24.231	51	30.5578	(375, 225)	(38, 23)	0
00:51:24.287	47	30.908	(385, 225)	(39, 23)	0
00:51:24.342	43	30.8409	(395, 225)	(40, 23)	0
00:51:24.391	45	30.8699	(405, 225)	(41, 23)	0
00:51:24.441	46	31.1455	(415, 225)	(42, 23)	0
00:51:24.499	43	31.1141	(425, 225)	(43, 23)	0
00:51:24.550	40	30.9892	(435, 226)	(44, 23)	0
00:51:24.598	48	31.219	(445, 226)	(45, 23)	0
00:51:24.656	50	31.4646	(455, 226)	(46, 23)	0
00:51:24.712	47	31.8526	(465, 227)	(47, 23)	0
00:51:24.772	41	31.7496	(475, 227)	(48, 23)	0
00:51:24.821	42	32.173	(485, 228)	(49, 23)	0
00:51:24.871	50	31.7579	(495, 228)	(50, 23)	0
00:51:24.927	48	32.0367	(505, 229)	(51, 23)	0
00:51:24.981	43	32.2834	(515, 229)	(52, 23)	0
00:51:25.031	46	32.3236	(525, 229)	(53, 23)	0
00:51:25.093	52	32.4997	(535, 229)	(54, 23)	0
00:51:25.157	43	32.3676	(545, 229)	(55, 23)	0
00:51:25.203	41	32.6081	(555, 229)	(56, 23)	0
00:51:25.251	49	32.7624	(565, 229)	(57, 23)	0
00:51:25.308	50	32.6641	(575, 229)	(58, 23)	0
00:51:25.367	47	32.7261	(585, 229)	(59, 23)	0
00:51:25.419	46	33.2933	(596, 229)	(60, 23)	0
00:51:25.469	52	33.036	(605, 230)	(61, 23)	0
00:51:25.537	50	33.0047	(615, 230)	(62, 23)	0
00:51:25.603	46	33.0904	(626, 230)	(63, 23)	0
00:51:25.655	47	33.4628	(635, 230)	(64, 23)	0
00:51:25.712	48	33.4424	(645, 230)	(65, 23)	0
00:51:25.767	51	33.4156	(655, 230)	(66, 23)	0
00:51:25.822	46	33.3056	(665, 230)	(67, 23)	0
00:51:25.870	49	33.655	(680, 230)	(68, 23)	0
00:51:25.929	54	33.7138	(685, 230)	(69, 23)	0
00:51:25.991	47	33.5191	(695, 230)	(70, 23)	0
00:51:26.044	43	33.7093	(705, 230)	(71, 23)	0
00:51:26.095	48	33.6647	(715, 230)	(72, 23)	0
00:51:26.157	52	33.9079	(725, 230)	(73, 23)	0
00:51:26.221	48	33.9012	(735, 230)	(74, 23)	0
00:51:26.274	42	33.837	(749, 230)	(75, 23)	0
00:51:26.322	47	33.8887	(756, 230)	(76, 23)	0
00:51:26.380	53	34.0421	(766, 230)	(77, 23)	0
00:51:26.447	48	33.7874	(775, 230)	(78, 23)	0
00:51:26.505	52	34.208	(785, 230)	(79, 23)	0
00:51:26.571	50	33.9668	(796, 229)	(80, 23)	0
00:51:26.638	48	33.8966	(805, 229)	(81, 23)	0
00:51:26.693	56	34.0846	(815, 229)	(82, 23)	0
00:51:26.754	45	33.7763	(825, 228)	(83, 23)	0
00:51:26.802	47	33.9124	(835, 228)	(84, 23)	0
00:51:26.851	44	33.6424	(845, 228)	(85, 23)	0
00:51:26.900	46	33.872	(855, 228)	(86, 23)	0
00:51:26.956	50	33.8151	(865, 228)	(87, 23)	0
