BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.748984, 0.14431, -0.646606, -0.00927751), Translationsvektor: ( -0.0185595, -0.0459418, 1.325).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
00:45:48.198	85	77.6519	(-1, -1)	(-1, -1)	0
00:45:48.287	85	77.7207	(-1, -1)	(-1, -1)	0
00:45:48.380	87	77.6841	(-1, -1)	(-1, -1)	0
00:45:48.468	86	77.7655	(-1, -1)	(-1, -1)	0
00:45:48.561	84	77.6776	(-1, -1)	(-1, -1)	0
00:45:48.648	89	77.7698	(-1, -1)	(-1, -1)	0
00:45:48.747	90	77.5676	(-1, -1)	(-1, -1)	0
00:45:48.844	85	77.7985	(-1, -1)	(-1, -1)	0
00:45:48.935	88	77.5538	(-1, -1)	(-1, -1)	0
00:45:49.034	88	77.8064	(-1, -1)	(-1, -1)	0
00:45:49.132	85	77.7261	(-1, -1)	(-1, -1)	0
00:45:49.220	85	77.613	(-1, -1)	(-1, -1)	0
00:45:49.312	85	77.7056	(-1, -1)	(-1, -1)	0
00:45:49.400	86	77.6123	(-1, -1)	(-1, -1)	0
00:45:49.490	88	77.5298	(-1, -1)	(-1, -1)	0
00:45:49.587	86	77.7212	(-1, -1)	(-1, -1)	0
00:45:49.677	86	77.6947	(-1, -1)	(-1, -1)	0
00:45:49.771	90	77.5283	(-1, -1)	(-1, -1)	0
00:45:49.867	86	77.5646	(-1, -1)	(-1, -1)	0
00:45:49.964	90	77.7169	(-1, -1)	(-1, -1)	0
00:45:50.061	88	77.6357	(-1, -1)	(-1, -1)	0
00:45:50.159	89	77.6959	(-1, -1)	(-1, -1)	0
00:45:50.258	90	77.6338	(-1, -1)	(-1, -1)	0
00:45:50.353	89	77.6012	(-1, -1)	(-1, -1)	0
00:45:50.451	89	77.7147	(-1, -1)	(-1, -1)	0
00:45:50.546	85	77.6911	(-1, -1)	(-1, -1)	0
00:45:50.639	89	77.7702	(-1, -1)	(-1, -1)	0
00:45:50.735	85	77.6631	(-1, -1)	(-1, -1)	0
00:45:50.824	83	77.708	(-1, -1)	(-1, -1)	0
00:45:50.915	84	77.7159	(-1, -1)	(-1, -1)	0
00:45:51.007	89	77.5985	(-1, -1)	(-1, -1)	0
00:45:51.104	90	77.6956	(-1, -1)	(-1, -1)	0
00:45:51.200	90	77.7087	(-1, -1)	(-1, -1)	0
00:45:51.299	89	77.6708	(-1, -1)	(-1, -1)	0
00:45:51.395	85	77.765	(-1, -1)	(-1, -1)	0
00:45:51.488	89	77.705	(-1, -1)	(-1, -1)	0
00:45:51.583	87	77.7539	(-1, -1)	(-1, -1)	0
00:45:51.681	87	77.6357	(-1, -1)	(-1, -1)	0
00:45:51.777	87	77.7944	(-1, -1)	(-1, -1)	0
00:45:51.876	89	77.5255	(-1, -1)	(-1, -1)	0
00:45:51.973	89	77.6265	(-1, -1)	(-1, -1)	0
00:45:52.074	90	77.5302	(-1, -1)	(-1, -1)	0
00:45:52.169	88	77.6867	(-1, -1)	(-1, -1)	0
00:45:52.264	85	77.8354	(-1, -1)	(-1, -1)	0
00:45:52.356	88	77.5366	(-1, -1)	(-1, -1)	0
00:45:52.451	85	77.7061	(-1, -1)	(-1, -1)	0
00:45:52.543	90	77.5855	(-1, -1)	(-1, -1)	0
00:45:52.639	91	77.635	(-1, -1)	(-1, -1)	0
00:45:52.740	88	77.699	(-1, -1)	(-1, -1)	0
00:45:52.834	86	77.6053	(-1, -1)	(-1, -1)	0
00:45:52.927	89	77.643	(-1, -1)	(-1, -1)	0
00:45:53.022	90	77.6204	(-1, -1)	(-1, -1)	0
00:45:53.120	91	77.6809	(-1, -1)	(-1, -1)	0
00:45:53.218	91	77.667	(-1, -1)	(-1, -1)	0
00:45:53.313	96	77.6852	(-1, -1)	(-1, -1)	0
00:45:53.419	89	77.7375	(-1, -1)	(-1, -1)	0
00:45:53.515	88	77.5467	(-1, -1)	(-1, -1)	0
00:45:53.615	89	77.7547	(-1, -1)	(-1, -1)	0
00:45:53.709	84	77.6804	(-1, -1)	(-1, -1)	0
00:45:53.801	90	77.7006	(-1, -1)	(-1, -1)	0
00:45:53.898	86	77.6828	(-1, -1)	(-1, -1)	0
00:45:53.991	89	77.6087	(-1, -1)	(-1, -1)	0
00:45:54.086	87	77.6095	(-1, -1)	(-1, -1)	0
00:45:54.184	90	77.489	(-1, -1)	(-1, -1)	0
00:45:54.282	88	77.5729	(-1, -1)	(-1, -1)	0
00:45:54.377	86	77.795	(-1, -1)	(-1, -1)	0
00:45:54.469	88	77.6827	(-1, -1)	(-1, -1)	0
00:45:54.564	86	77.7542	(-1, -1)	(-1, -1)	0
00:45:54.656	90	77.7404	(-1, -1)	(-1, -1)	0
00:45:54.753	85	77.745	(-1, -1)	(-1, -1)	0
00:45:54.844	90	77.5665	(-1, -1)	(-1, -1)	0
00:45:54.945	90	77.6665	(-1, -1)	(-1, -1)	0
00:45:55.046	90	77.6073	(-1, -1)	(-1, -1)	0
00:45:55.143	91	77.6536	(-1, -1)	(-1, -1)	0
00:45:55.240	91	77.8314	(-1, -1)	(-1, -1)	0
00:45:55.340	86	77.5127	(-1, -1)	(-1, -1)	0
00:45:55.434	85	77.6446	(-1, -1)	(-1, -1)	0
00:45:55.527	88	77.5738	(-1, -1)	(-1, -1)	0
00:45:55.621	85	77.7483	(-1, -1)	(-1, -1)	0
00:45:55.713	90	77.5756	(-1, -1)	(-1, -1)	0
00:45:55.810	87	77.6508	(-1, -1)	(-1, -1)	0
00:45:55.908	90	77.785	(-1, -1)	(-1, -1)	0
00:45:56.005	86	77.649	(-1, -1)	(-1, -1)	0
00:45:56.096	89	77.5803	(-1, -1)	(-1, -1)	0
00:45:56.194	90	77.7653	(-1, -1)	(-1, -1)	0
00:45:56.290	90	77.6687	(-1, -1)	(-1, -1)	0
00:45:56.388	90	77.708	(-1, -1)	(-1, -1)	0
00:45:56.485	89	77.6796	(-1, -1)	(-1, -1)	0
00:45:56.581	86	77.696	(-1, -1)	(-1, -1)	0
00:45:56.671	89	77.7292	(-1, -1)	(-1, -1)	0
00:45:56.770	88	77.689	(-1, -1)	(-1, -1)	0
00:45:56.866	84	77.6542	(-1, -1)	(-1, -1)	0
00:45:56.957	90	77.6447	(-1, -1)	(-1, -1)	0
00:45:57.054	84	77.5705	(-1, -1)	(-1, -1)	0
00:45:57.150	88	77.5056	(-1, -1)	(-1, -1)	0
00:45:57.248	88	77.6982	(-1, -1)	(-1, -1)	0
00:45:57.340	91	77.7714	(-1, -1)	(-1, -1)	0
00:45:57.442	90	77.6049	(-1, -1)	(-1, -1)	0
00:45:57.542	90	77.6329	(-1, -1)	(-1, -1)	0
00:45:57.639	89	77.6938	(-1, -1)	(-1, -1)	0
00:45:57.735	84	77.8267	(-1, -1)	(-1, -1)	0
00:45:57.827	88	77.7944	(-1, -1)	(-1, -1)	0
00:45:57.922	85	77.6204	(-1, -1)	(-1, -1)	0
00:45:58.014	89	77.5527	(-1, -1)	(-1, -1)	0
00:45:58.110	87	77.648	(-1, -1)	(-1, -1)	0
00:45:58.202	90	77.6332	(-1, -1)	(-1, -1)	0
00:45:58.300	91	77.5649	(-1, -1)	(-1, -1)	0
00:45:58.397	90	77.6084	(-1, -1)	(-1, -1)	0
00:45:58.494	89	77.5677	(-1, -1)	(-1, -1)	0
00:45:58.589	86	77.6692	(-1, -1)	(-1, -1)	0
00:45:58.682	89	77.653	(-1, -1)	(-1, -1)	0
00:45:58.777	85	77.761	(-1, -1)	(-1, -1)	0
00:45:58.869	89	77.6161	(-1, -1)	(-1, -1)	0
00:45:58.965	88	77.5366	(-1, -1)	(-1, -1)	0
00:45:59.057	90	77.6126	(-1, -1)	(-1, -1)	0
00:45:59.153	87	77.777	(-1, -1)	(-1, -1)	0
00:45:59.244	91	77.6099	(-1, -1)	(-1, -1)	0
00:45:59.342	88	77.6621	(-1, -1)	(-1, -1)	0
00:45:59.439	91	77.6265	(-1, -1)	(-1, -1)	0
00:45:59.542	88	77.6664	(-1, -1)	(-1, -1)	0
00:45:59.635	89	77.6314	(-1, -1)	(-1, -1)	0
00:45:59.731	89	77.849	(-1, -1)	(-1, -1)	0
00:45:59.827	84	77.6286	(-1, -1)	(-1, -1)	0
00:45:59.919	89	77.6156	(-1, -1)	(-1, -1)	0
00:46:00.015	85	77.5526	(-1, -1)	(-1, -1)	0
00:46:00.104	85	77.7917	(-1, -1)	(-1, -1)	0
00:46:00.200	87	77.8307	(-1, -1)	(-1, -1)	0
00:46:00.293	86	77.5907	(-1, -1)	(-1, -1)	0
00:46:00.385	89	77.705	(-1, -1)	(-1, -1)	0
00:46:00.480	86	77.6899	(-1, -1)	(-1, -1)	0
00:46:00.571	85	77.7345	(-1, -1)	(-1, -1)	0
00:46:00.660	86	77.7381	(-1, -1)	(-1, -1)	0
00:46:00.753	89	77.7099	(-1, -1)	(-1, -1)	0
00:46:00.850	85	77.683	(-1, -1)	(-1, -1)	0
00:46:00.943	90	77.6273	(-1, -1)	(-1, -1)	0
00:46:01.045	86	77.6599	(-1, -1)	(-1, -1)	0
00:46:01.142	90	77.6881	(-1, -1)	(-1, -1)	0
00:46:01.243	89	77.7511	(-1, -1)	(-1, -1)	0
00:46:01.337	91	77.7424	(-1, -1)	(-1, -1)	0
00:46:01.435	89	77.7036	(-1, -1)	(-1, -1)	0
00:46:01.530	88	77.6561	(-1, -1)	(-1, -1)	0
00:46:01.628	89	77.6087	(-1, -1)	(-1, -1)	0
00:46:01.725	86	77.6858	(-1, -1)	(-1, -1)	0
00:46:01.822	88	77.6213	(-1, -1)	(-1, -1)	0
00:46:01.912	85	77.7461	(-1, -1)	(-1, -1)	0
00:46:02.004	90	77.6416	(-1, -1)	(-1, -1)	0
00:46:02.106	89	77.8144	(-1, -1)	(-1, -1)	0
00:46:02.199	90	77.588	(-1, -1)	(-1, -1)	0
00:46:02.297	88	77.6963	(-1, -1)	(-1, -1)	0
00:46:02.396	89	77.6311	(-1, -1)	(-1, -1)	0
00:46:02.491	88	77.7077	(-1, -1)	(-1, -1)	0
00:46:02.586	86	77.8144	(-1, -1)	(-1, -1)	0
00:46:02.678	90	77.6212	(-1, -1)	(-1, -1)	0
00:46:02.775	87	77.6818	(-1, -1)	(-1, -1)	0
00:46:02.867	90	77.7759	(-1, -1)	(-1, -1)	0
00:46:02.963	85	77.6942	(-1, -1)	(-1, -1)	0
00:46:03.056	89	77.6686	(-1, -1)	(-1, -1)	0
00:46:03.152	90	77.7033	(-1, -1)	(-1, -1)	0
00:46:03.249	90	77.6641	(-1, -1)	(-1, -1)	0
00:46:03.347	88	77.6221	(-1, -1)	(-1, -1)	0
00:46:03.442	84	77.6693	(-1, -1)	(-1, -1)	0
