BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.748984, 0.14431, -0.646606, -0.00927751), Translationsvektor: ( -0.0185595, -0.0459418, 1.325).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
00:13:43.516	58	52.2905	(318, 226)	(32, 23)	98
00:13:43.577	58	52.4847	(325, 225)	(33, 23)	98
00:13:43.641	64	52.5212	(335, 225)	(34, 23)	98
00:13:43.710	64	52.8077	(345, 225)	(35, 23)	98
00:13:43.778	61	53.0834	(357, 225)	(36, 23)	98
00:13:43.847	62	53.301	(372, 225)	(37, 23)	98
00:13:43.919	65	53.3594	(375, 225)	(38, 23)	98
00:13:43.988	60	53.5053	(385, 225)	(39, 23)	98
00:13:44.056	61	53.7501	(395, 225)	(40, 23)	98
00:13:44.128	65	53.9025	(405, 225)	(41, 23)	98
00:13:44.195	63	54.0982	(415, 225)	(42, 23)	98
00:13:44.266	67	54.2973	(425, 225)	(43, 23)	98
00:13:44.343	66	54.5019	(435, 226)	(44, 23)	98
00:13:44.418	63	54.6686	(445, 226)	(45, 23)	98
00:13:44.488	64	54.7776	(455, 226)	(46, 23)	98
00:13:44.558	68	55.0793	(465, 227)	(47, 23)	98
00:13:44.634	63	55.2201	(475, 227)	(48, 23)	98
00:13:44.711	67	55.4188	(485, 228)	(49, 23)	98
00:13:44.795	63	55.593	(495, 228)	(50, 23)	98
00:13:44.862	62	55.8139	(505, 229)	(51, 23)	98
00:13:44.946	65	55.9607	(515, 229)	(52, 23)	98
00:13:45.021	63	56.1514	(525, 229)	(53, 23)	98
00:13:45.093	63	56.2788	(535, 229)	(54, 23)	98
00:13:45.178	71	56.4121	(545, 229)	(55, 23)	98
00:13:45.252	63	56.6529	(555, 229)	(56, 23)	98
00:13:45.323	69	56.7769	(565, 229)	(57, 23)	98
00:13:45.399	68	56.9541	(575, 229)	(58, 23)	98
00:13:45.474	66	57.1859	(585, 229)	(59, 23)	98
00:13:45.545	70	57.297	(596, 229)	(60, 23)	98
00:13:45.622	68	57.4769	(605, 230)	(61, 23)	98
00:13:45.697	67	57.5751	(615, 230)	(62, 23)	98
00:13:45.775	71	57.8627	(626, 230)	(63, 23)	98
00:13:45.852	70	57.8782	(635, 230)	(64, 23)	98
00:13:45.926	66	58.0561	(645, 230)	(65, 23)	98
00:13:45.997	70	58.1661	(655, 230)	(66, 23)	98
00:13:46.074	68	58.3375	(665, 230)	(67, 23)	98
00:13:46.150	72	58.6007	(680, 230)	(68, 23)	98
00:13:46.226	71	58.5483	(685, 230)	(69, 23)	98
00:13:46.302	67	58.8169	(695, 230)	(70, 23)	98
00:13:46.382	70	58.8273	(705, 230)	(71, 23)	98
00:13:46.463	70	59.0839	(715, 230)	(72, 23)	98
00:13:46.537	66	59.304	(725, 230)	(73, 23)	98
00:13:46.609	72	59.3406	(735, 230)	(74, 23)	98
00:13:46.686	69	59.5375	(749, 230)	(75, 23)	98
00:13:46.760	67	59.6401	(756, 230)	(76, 23)	98
00:13:46.831	72	59.6532	(766, 230)	(77, 23)	98
00:13:46.907	67	59.8541	(775, 230)	(78, 23)	98
00:13:46.983	70	59.992	(785, 230)	(79, 23)	98
00:13:47.060	72	60.0121	(796, 229)	(80, 23)	98
00:13:47.136	70	60.2163	(805, 229)	(81, 23)	98
00:13:47.214	72	60.2748	(815, 229)	(82, 23)	98
00:13:47.290	73	60.3479	(825, 228)	(83, 23)	98
00:13:47.365	68	60.5007	(835, 228)	(84, 23)	98
00:13:47.446	72	60.5424	(845, 228)	(85, 23)	98
00:13:47.528	71	60.6723	(855, 228)	(86, 23)	98
00:13:47.601	67	60.8172	(865, 228)	(87, 23)	98
00:13:47.679	74	60.8458	(875, 228)	(88, 23)	98
00:13:47.764	73	61.0345	(885, 228)	(89, 23)	98
00:13:47.848	74	61.0658	(895, 228)	(90, 23)	98
00:13:47.930	73	61.1761	(905, 228)	(91, 23)	98
00:13:48.011	68	61.3422	(915, 228)	(92, 23)	98
00:13:48.088	70	61.456	(925, 228)	(93, 23)	98
00:13:48.166	73	61.4781	(935, 228)	(94, 23)	98
00:13:48.240	69	61.5471	(945, 227)	(95, 23)	98
00:13:48.319	74	61.6284	(957, 227)	(96, 23)	98
00:13:48.402	69	61.7259	(966, 227)	(97, 23)	98
00:13:48.479	74	61.7265	(975, 227)	(98, 23)	98
00:13:48.563	74	61.9139	(985, 227)	(99, 23)	98
00:13:48.644	69	61.9184	(995, 227)	(100, 23)	98
00:13:48.722	74	61.9859	(1005, 227)	(101, 23)	98
00:13:48.805	71	61.9864	(1015, 226)	(102, 23)	98
00:13:48.882	75	62.0828	(1025, 226)	(103, 23)	98
00:13:48.965	76	62.2092	(1035, 226)	(104, 23)	98
00:13:49.048	71	62.259	(1045, 225)	(105, 23)	98
00:13:49.126	75	62.2539	(1055, 225)	(106, 23)	98
00:13:49.209	74	62.3314	(1065, 225)	(107, 23)	98
00:13:49.291	70	62.4357	(1071, 224)	(107, 22)	98
00:13:49.369	75	62.4193	(1075, 224)	(108, 22)	98
00:13:49.451	71	62.4548	(1085, 224)	(109, 22)	98
00:13:49.528	76	62.5151	(1095, 224)	(110, 22)	98
00:13:49.611	74	62.4622	(1105, 224)	(111, 22)	98
00:13:49.693	70	62.644	(1115, 224)	(112, 22)	98
00:13:49.772	74	62.6121	(1125, 224)	(113, 22)	98
00:13:49.855	74	62.6409	(1135, 224)	(114, 22)	98
00:13:49.937	70	62.7527	(1146, 223)	(115, 22)	98
00:13:50.015	70	62.6763	(1155, 223)	(116, 22)	98
00:13:50.091	70	62.7619	(1165, 223)	(117, 22)	98
00:13:50.166	71	62.839	(1175, 223)	(118, 22)	98
00:13:50.244	75	62.845	(1185, 223)	(119, 22)	98
00:13:50.326	71	62.8908	(1195, 223)	(120, 22)	98
00:13:50.405	74	62.7646	(1205, 223)	(121, 22)	98
00:13:50.489	75	62.897	(1215, 223)	(122, 22)	98
00:13:50.570	73	62.9489	(1225, 223)	(123, 22)	98
00:13:50.647	75	62.9154	(1235, 223)	(124, 22)	98
00:13:50.730	71	63.0428	(1245, 223)	(125, 22)	98
00:13:50.808	76	62.9806	(1255, 223)	(126, 22)	98
00:13:50.891	75	62.9664	(1265, 224)	(127, 22)	98
00:13:50.974	70	62.9773	(1275, 224)	(128, 22)	98
00:13:51.054	76	62.9228	(1282, 225)	(128, 23)	98
00:13:51.135	74	63.0102	(1285, 225)	(129, 23)	98
00:13:51.216	69	63.0092	(1295, 226)	(130, 23)	98
00:13:51.294	74	63.0797	(1305, 226)	(131, 23)	98
00:13:51.376	70	63.1736	(1316, 228)	(132, 23)	98
00:13:51.453	72	63.0255	(1326, 228)	(133, 23)	98
00:13:51.531	75	63.0533	(1335, 228)	(134, 23)	98
00:13:51.613	72	62.961	(1345, 229)	(135, 23)	98
00:13:51.692	75	63.0659	(1355, 230)	(136, 23)	98
00:13:51.773	72	63.0807	(1366, 230)	(137, 23)	98
00:13:51.848	72	63.0105	(1375, 230)	(138, 23)	98
00:13:51.927	74	62.9513	(1386, 231)	(139, 23)	98
00:13:52.010	71	62.9271	(1395, 231)	(140, 23)	98
00:13:52.087	75	62.9277	(1405, 232)	(141, 23)	98
00:13:52.170	75	62.9784	(1415, 232)	(142, 23)	98
00:13:52.251	72	62.9799	(1425, 232)	(143, 23)	98
00:13:52.331	75	62.7884	(1435, 233)	(144, 23)	98
00:13:52.414	73	62.8367	(1445, 234)	(145, 23)	98
00:13:52.497	76	62.6996	(1455, 234)	(146, 23)	98
00:13:52.581	73	62.7228	(1465, 234)	(147, 23)	98
00:13:52.662	70	62.7876	(1478, 234)	(148, 23)	98
00:13:52.740	75	62.6126	(1485, 234)	(149, 23)	98
00:13:52.824	72	62.5824	(1488, 235)	(149, 24)	98
00:13:52.899	69	62.611	(1495, 235)	(150, 24)	98
00:13:52.975	69	62.5612	(1506, 235)	(151, 24)	98
00:13:53.053	74	62.4348	(1516, 235)	(152, 24)	98
00:13:53.134	73	62.5036	(1526, 236)	(153, 24)	98
00:13:53.214	75	62.3101	(1535, 236)	(154, 24)	98
00:13:53.295	69	62.4258	(1546, 236)	(155, 24)	98
00:13:53.373	74	62.1919	(1556, 237)	(156, 24)	98
00:13:53.456	76	62.1779	(1565, 237)	(157, 24)	98
00:13:53.539	72	62.0277	(1575, 238)	(158, 24)	98
00:13:53.616	75	62.0354	(1585, 238)	(159, 24)	98
00:13:53.701	75	61.9683	(1595, 239)	(160, 24)	98
00:13:53.782	70	61.8323	(1605, 239)	(161, 24)	98
00:13:53.860	72	61.695	(1615, 240)	(162, 24)	98
00:13:53.935	69	61.8265	(1625, 240)	(163, 24)	98
00:13:54.013	73	61.5351	(1636, 241)	(164, 24)	98
00:13:54.098	73	61.5479	(1645, 242)	(165, 24)	98
00:13:54.178	69	61.469	(1655, 242)	(166, 24)	98
00:13:54.255	74	61.2874	(1666, 243)	(167, 24)	98
00:13:54.339	69	61.2116	(1676, 244)	(168, 24)	98
00:13:54.413	69	61.3199	(1677, 245)	(168, 25)	98
00:13:54.492	73	61.1089	(1686, 245)	(169, 25)	98
00:13:54.568	70	61.0087	(1696, 246)	(170, 25)	98
00:13:54.645	74	60.9416	(1705, 246)	(171, 25)	98
00:13:54.733	72	60.8481	(1715, 248)	(172, 25)	98
00:13:54.811	69	60.7773	(1726, 249)	(173, 25)	98
00:13:54.888	73	60.5407	(1735, 250)	(174, 25)	98
00:13:54.964	70	60.5356	(1745, 251)	(175, 25)	98
00:13:55.042	73	60.4107	(1755, 253)	(176, 25)	98
00:13:55.125	72	60.245	(1765, 254)	(177, 25)	98
00:13:55.200	69	60.2871	(1768, 255)	(177, 26)	98
00:13:55.278	71	60.1871	(1775, 256)	(178, 26)	98
00:13:55.354	71	60.1637	(1785, 258)	(179, 26)	98
00:13:55.430	70	59.9359	(1795, 260)	(180, 26)	98
00:13:55.507	73	59.8999	(1805, 262)	(181, 26)	98
00:13:55.591	72	59.7163	(1815, 264)	(182, 26)	98
00:13:55.666	74	59.7344	(1817, 265)	(182, 27)	98
