BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.488333, -0.339726, -0.497206, 0.631584), Translationsvektor: ( 0.0768895, 0.101072, 1.625).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
00:33:15.076	29	18.1647	(318, 226)	(32, 23)	16
00:33:15.110	29	18.2997	(325, 225)	(33, 23)	16
00:33:15.144	30	18.4283	(335, 225)	(34, 23)	16
00:33:15.180	31	18.9007	(345, 225)	(35, 23)	16
00:33:15.220	30	19.035	(357, 225)	(36, 23)	16
00:33:15.257	31	19.0561	(372, 225)	(37, 23)	16
00:33:15.297	31	19.1578	(375, 225)	(38, 23)	16
00:33:15.335	30	19.2564	(385, 225)	(39, 23)	16
00:33:15.373	30	19.4813	(395, 225)	(40, 23)	16
00:33:15.407	29	19.5123	(405, 225)	(41, 23)	16
00:33:15.443	31	19.6061	(415, 225)	(42, 23)	16
00:33:15.482	30	19.7556	(425, 225)	(43, 23)	16
00:33:15.523	31	19.7942	(435, 226)	(44, 23)	16
00:33:15.562	31	19.9813	(445, 226)	(45, 23)	16
00:33:15.601	31	20.1553	(455, 226)	(46, 23)	16
00:33:15.636	31	20.4028	(465, 227)	(47, 23)	16
00:33:15.671	30	20.5388	(475, 227)	(48, 23)	16
00:33:15.706	32	20.6569	(485, 228)	(49, 23)	16
00:33:15.748	37	20.92	(495, 228)	(50, 23)	16
00:33:15.792	34	20.9447	(505, 229)	(51, 23)	16
00:33:15.831	31	21.2181	(515, 229)	(52, 23)	16
00:33:15.865	31	21.4667	(525, 229)	(53, 23)	16
00:33:15.900	32	21.66	(535, 229)	(54, 23)	16
00:33:15.935	36	21.9018	(545, 229)	(55, 23)	16
00:33:15.977	34	22.1022	(555, 229)	(56, 23)	16
00:33:16.018	34	22.2754	(565, 229)	(57, 23)	16
00:33:16.060	31	22.6387	(575, 229)	(58, 23)	16
00:33:16.094	35	22.9304	(585, 229)	(59, 23)	16
00:33:16.138	35	23.0689	(596, 229)	(60, 23)	16
00:33:16.179	37	23.2914	(605, 230)	(61, 23)	16
00:33:16.220	34	23.3649	(615, 230)	(62, 23)	16
00:33:16.262	38	23.6721	(626, 230)	(63, 23)	16
00:33:16.304	40	23.8587	(635, 230)	(64, 23)	16
00:33:16.353	39	24.1674	(645, 230)	(65, 23)	16
00:33:16.402	38	24.4674	(655, 230)	(66, 23)	16
00:33:16.449	34	24.5714	(665, 230)	(67, 23)	16
00:33:16.491	37	24.9184	(680, 230)	(68, 23)	16
00:33:16.533	36	25.0647	(685, 230)	(69, 23)	16
00:33:16.575	36	25.2236	(695, 230)	(70, 23)	16
00:33:16.616	37	25.3735	(705, 230)	(71, 23)	16
00:33:16.659	38	25.479	(715, 230)	(72, 23)	16
00:33:16.699	43	25.871	(725, 230)	(73, 23)	16
00:33:16.750	46	25.9551	(735, 230)	(74, 23)	16
00:33:16.805	47	26.2893	(749, 230)	(75, 23)	16
00:33:16.860	38	26.3316	(756, 230)	(76, 23)	16
00:33:16.901	39	26.5007	(766, 230)	(77, 23)	16
00:33:16.943	38	26.8353	(775, 230)	(78, 23)	16
00:33:16.984	40	26.8176	(785, 230)	(79, 23)	16
00:33:17.033	39	26.9753	(796, 229)	(80, 23)	16
00:33:17.075	45	27.1191	(805, 229)	(81, 23)	16
00:33:17.124	42	27.017	(815, 229)	(82, 23)	16
00:33:17.173	41	27.4665	(825, 228)	(83, 23)	16
00:33:17.224	42	27.4847	(835, 228)	(84, 23)	16
00:33:17.271	37	27.6641	(845, 228)	(85, 23)	16
00:33:17.311	39	27.5841	(855, 228)	(86, 23)	16
00:33:17.353	37	27.7843	(865, 228)	(87, 23)	16
00:33:17.396	45	27.8384	(875, 228)	(88, 23)	16
00:33:17.444	42	27.8993	(885, 228)	(89, 23)	16
00:33:17.492	37	27.9883	(895, 228)	(90, 23)	16
00:33:17.533	37	28.0219	(905, 228)	(91, 23)	16
00:33:17.576	45	28.0367	(915, 228)	(92, 23)	16
00:33:17.625	45	28.289	(925, 228)	(93, 23)	16
00:33:17.674	42	28.3153	(935, 228)	(94, 23)	16
00:33:17.721	40	28.4412	(945, 227)	(95, 23)	16
00:33:17.771	39	28.4273	(957, 227)	(96, 23)	16
00:33:17.819	44	28.4187	(966, 227)	(97, 23)	16
00:33:17.875	40	28.2641	(975, 227)	(98, 23)	16
00:33:17.923	41	28.2938	(985, 227)	(99, 23)	16
00:33:17.974	40	28.4077	(995, 227)	(100, 23)	16
00:33:18.021	40	28.3172	(1005, 227)	(101, 23)	16
00:33:18.070	40	28.2376	(1015, 226)	(102, 23)	16
00:33:18.118	46	28.2539	(1025, 226)	(103, 23)	16
00:33:18.175	48	28.1487	(1035, 226)	(104, 23)	16
00:33:18.231	47	28.2859	(1045, 225)	(105, 23)	16
00:33:18.290	41	28.1197	(1055, 225)	(106, 23)	16
00:33:18.334	40	28.3427	(1065, 225)	(107, 23)	16
00:33:18.383	41	28.2261	(1071, 224)	(107, 22)	16
00:33:18.431	40	28.1064	(1075, 224)	(108, 22)	16
00:33:18.483	44	27.8136	(1085, 224)	(109, 22)	16
00:33:18.535	37	27.8261	(1095, 224)	(110, 22)	16
00:33:18.576	40	27.6601	(1105, 224)	(111, 22)	16
00:33:18.619	41	27.5896	(1115, 224)	(112, 22)	16
00:33:18.668	40	27.5724	(1125, 224)	(113, 22)	16
00:33:18.716	39	27.5041	(1135, 224)	(114, 22)	16
00:33:18.757	37	27.4316	(1146, 223)	(115, 22)	16
00:33:18.798	41	27.3502	(1155, 223)	(116, 22)	16
00:33:18.850	42	27.4009	(1165, 223)	(117, 22)	16
00:33:18.897	39	27.3021	(1175, 223)	(118, 22)	16
00:33:18.938	38	27.2514	(1185, 223)	(119, 22)	16
00:33:18.980	38	27.2735	(1195, 223)	(120, 22)	16
00:33:19.021	43	27.0942	(1205, 223)	(121, 22)	16
00:33:19.071	44	27.0535	(1215, 223)	(122, 22)	16
00:33:19.121	40	27.0641	(1225, 223)	(123, 22)	16
00:33:19.168	38	26.9553	(1235, 223)	(124, 22)	16
00:33:19.210	38	26.8258	(1245, 223)	(125, 22)	16
00:33:19.251	39	26.784	(1255, 223)	(126, 22)	16
00:33:19.293	44	26.6603	(1265, 224)	(127, 22)	16
00:33:19.341	38	26.617	(1275, 224)	(128, 22)	16
00:33:19.383	35	26.421	(1282, 225)	(128, 23)	16
00:33:19.424	38	26.3996	(1285, 225)	(129, 23)	16
00:33:19.467	41	26.4542	(1295, 226)	(130, 23)	16
00:33:19.516	41	26.2828	(1305, 226)	(131, 23)	16
00:33:19.564	36	26.3187	(1316, 228)	(132, 23)	16
00:33:19.605	38	26.2527	(1326, 228)	(133, 23)	16
00:33:19.648	45	26.115	(1335, 228)	(134, 23)	16
00:33:19.704	43	25.9914	(1345, 229)	(135, 23)	16
00:33:19.752	37	25.9711	(1355, 230)	(136, 23)	16
00:33:19.793	38	25.7261	(1366, 230)	(137, 23)	16
00:33:19.835	37	25.6517	(1375, 230)	(138, 23)	16
