BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.488333, -0.339726, -0.497206, 0.631584), Translationsvektor: ( 0.0768895, 0.101072, 1.625).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
00:16:33.448	91	82.1631	(318, 226)	(32, 23)	98
00:16:33.548	95	82.1095	(325, 225)	(33, 23)	98
00:16:33.651	93	82.1173	(335, 225)	(34, 23)	98
00:16:33.750	95	82.067	(345, 225)	(35, 23)	98
00:16:33.853	92	82.1717	(357, 225)	(36, 23)	98
00:16:33.951	95	82.1013	(372, 225)	(37, 23)	98
00:16:34.057	94	82.0978	(375, 225)	(38, 23)	98
00:16:34.160	95	82.1104	(385, 225)	(39, 23)	98
00:16:34.266	91	82.1391	(395, 225)	(40, 23)	98
00:16:34.363	95	82.1061	(405, 225)	(41, 23)	98
00:16:34.467	94	82.0705	(415, 225)	(42, 23)	98
00:16:34.568	90	82.2044	(425, 225)	(43, 23)	98
00:16:34.667	95	82.1653	(435, 226)	(44, 23)	98
00:16:34.770	91	82.1476	(445, 226)	(45, 23)	98
00:16:34.872	94	82.0536	(455, 226)	(46, 23)	98
00:16:34.977	94	82.1	(465, 227)	(47, 23)	98
00:16:35.077	96	82.1446	(475, 227)	(48, 23)	98
00:16:35.181	90	82.2388	(485, 228)	(49, 23)	98
00:16:35.279	95	82.228	(495, 228)	(50, 23)	98
00:16:35.382	92	82.2219	(505, 229)	(51, 23)	98
00:16:35.481	94	82.0816	(515, 229)	(52, 23)	98
00:16:35.585	94	82.0806	(525, 229)	(53, 23)	98
00:16:35.689	95	82.103	(535, 229)	(54, 23)	98
00:16:35.792	91	82.0498	(545, 229)	(55, 23)	98
00:16:35.891	94	82.0996	(555, 229)	(56, 23)	98
00:16:35.994	93	82.1124	(565, 229)	(57, 23)	98
00:16:36.093	93	82.1606	(575, 229)	(58, 23)	98
00:16:36.195	90	82.2083	(585, 229)	(59, 23)	98
00:16:36.294	94	82.1016	(596, 229)	(60, 23)	98
00:16:36.397	90	82.0593	(605, 230)	(61, 23)	98
00:16:36.495	95	82.063	(615, 230)	(62, 23)	98
00:16:36.601	95	82.1394	(626, 230)	(63, 23)	98
00:16:36.703	95	82.1704	(635, 230)	(64, 23)	98
00:16:36.807	93	82.1676	(645, 230)	(65, 23)	98
00:16:36.905	96	82.1719	(655, 230)	(66, 23)	98
00:16:37.011	94	82.0779	(665, 230)	(67, 23)	98
00:16:37.114	95	82.0961	(680, 230)	(68, 23)	98
00:16:37.218	92	82.1154	(685, 230)	(69, 23)	98
00:16:37.320	94	82.0988	(695, 230)	(70, 23)	98
00:16:37.421	95	82.1876	(705, 230)	(71, 23)	98
00:16:37.525	94	82.0776	(715, 230)	(72, 23)	98
00:16:37.629	97	82.091	(725, 230)	(73, 23)	98
00:16:37.733	96	82.1087	(735, 230)	(74, 23)	98
00:16:37.838	91	82.1436	(749, 230)	(75, 23)	98
00:16:37.934	95	82.111	(756, 230)	(76, 23)	98
00:16:38.038	91	82.1364	(766, 230)	(77, 23)	98
00:16:38.137	95	82.0893	(775, 230)	(78, 23)	98
00:16:38.241	94	82.1121	(785, 230)	(79, 23)	98
00:16:38.343	92	82.1567	(796, 229)	(80, 23)	98
00:16:38.445	95	82.1151	(805, 229)	(81, 23)	98
00:16:38.546	94	82.1421	(815, 229)	(82, 23)	98
00:16:38.650	97	82.1298	(825, 228)	(83, 23)	98
00:16:38.758	94	82.1133	(835, 228)	(84, 23)	98
00:16:38.860	95	82.1239	(845, 228)	(85, 23)	98
00:16:38.963	95	82.0926	(855, 228)	(86, 23)	98
00:16:39.068	93	82.0656	(865, 228)	(87, 23)	98
00:16:39.163	88	82.1228	(875, 228)	(88, 23)	98
00:16:39.253	89	82.1305	(885, 228)	(89, 23)	98
00:16:39.344	89	82.1692	(895, 228)	(90, 23)	98
00:16:39.446	93	82.1607	(905, 228)	(91, 23)	98
00:16:39.546	90	82.1905	(915, 228)	(92, 23)	98
00:16:39.647	93	82.0594	(925, 228)	(93, 23)	98
00:16:39.748	92	82.1341	(935, 228)	(94, 23)	98
00:16:39.846	96	82.1436	(945, 227)	(95, 23)	98
00:16:39.950	91	82.1089	(957, 227)	(96, 23)	98
00:16:40.048	94	82.1397	(966, 227)	(97, 23)	98
00:16:40.152	92	82.1566	(975, 227)	(98, 23)	98
00:16:40.251	94	82.0984	(985, 227)	(99, 23)	98
00:16:40.354	94	82.1132	(995, 227)	(100, 23)	98
00:16:40.460	94	82.1776	(1005, 227)	(101, 23)	98
00:16:40.563	95	82.0907	(1015, 226)	(102, 23)	98
00:16:40.667	95	82.0517	(1025, 226)	(103, 23)	98
00:16:40.771	94	82.1053	(1035, 226)	(104, 23)	98
00:16:40.875	96	82.1684	(1045, 225)	(105, 23)	98
00:16:40.983	93	82.1286	(1055, 225)	(106, 23)	98
00:16:41.090	93	82.1056	(1065, 225)	(107, 23)	98
00:16:41.198	91	82.2138	(1071, 224)	(107, 22)	98
00:16:41.291	90	82.2781	(1075, 224)	(108, 22)	98
00:16:41.395	94	82.2428	(1085, 224)	(109, 22)	98
00:16:41.492	91	82.1699	(1095, 224)	(110, 22)	98
00:16:41.591	96	82.0833	(1105, 224)	(111, 22)	98
