BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.488333, -0.339726, -0.497206, 0.631584), Translationsvektor: ( 0.0768895, 0.101072, 1.625).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
00:18:03.413	65	57.2081	(318, 226)	(32, 23)	98
00:18:03.483	72	57.2956	(325, 225)	(33, 23)	98
00:18:03.562	69	57.559	(335, 225)	(34, 23)	98
00:18:03.634	67	57.7587	(345, 225)	(35, 23)	98
00:18:03.712	70	58.023	(357, 225)	(36, 23)	98
00:18:03.791	67	58.3876	(372, 225)	(37, 23)	98
00:18:03.866	70	58.4369	(375, 225)	(38, 23)	98
00:18:03.945	70	58.6348	(385, 225)	(39, 23)	98
00:18:04.023	70	58.8892	(395, 225)	(40, 23)	98
00:18:04.102	71	59.0819	(405, 225)	(41, 23)	98
00:18:04.177	71	59.295	(415, 225)	(42, 23)	98
00:18:04.254	69	59.5498	(425, 225)	(43, 23)	98
00:18:04.331	71	59.7655	(435, 226)	(44, 23)	98
00:18:04.408	71	59.9643	(445, 226)	(45, 23)	98
00:18:04.481	68	60.2422	(455, 226)	(46, 23)	98
00:18:04.560	75	60.4212	(465, 227)	(47, 23)	98
00:18:04.647	71	60.6185	(475, 227)	(48, 23)	98
00:18:04.725	68	60.9086	(485, 228)	(49, 23)	98
00:18:04.796	69	60.9796	(495, 228)	(50, 23)	98
00:18:04.871	71	61.2329	(505, 229)	(51, 23)	98
00:18:04.949	74	61.4326	(515, 229)	(52, 23)	98
00:18:05.035	73	61.647	(525, 229)	(53, 23)	98
00:18:05.116	83	61.825	(535, 229)	(54, 23)	98
00:18:05.209	74	62.0033	(545, 229)	(55, 23)	98
00:18:05.289	72	62.1738	(555, 229)	(56, 23)	98
00:18:05.367	75	62.3978	(565, 229)	(57, 23)	98
00:18:05.451	74	62.5904	(575, 229)	(58, 23)	98
00:18:05.532	73	62.76	(585, 229)	(59, 23)	98
00:18:05.610	75	62.9061	(596, 229)	(60, 23)	98
00:18:05.692	73	63.1523	(605, 230)	(61, 23)	98
00:18:05.771	74	63.3296	(615, 230)	(62, 23)	98
00:18:05.854	75	63.5353	(626, 230)	(63, 23)	98
00:18:05.935	73	63.6787	(635, 230)	(64, 23)	98
00:18:06.014	77	63.8409	(645, 230)	(65, 23)	98
00:18:06.102	74	64.0052	(655, 230)	(66, 23)	98
00:18:06.179	72	64.1964	(665, 230)	(67, 23)	98
00:18:06.257	76	64.3601	(680, 230)	(68, 23)	98
00:18:06.338	71	64.5353	(685, 230)	(69, 23)	98
00:18:06.415	70	64.6588	(695, 230)	(70, 23)	98
00:18:06.492	76	64.7599	(705, 230)	(71, 23)	98
00:18:06.574	72	64.9341	(715, 230)	(72, 23)	98
00:18:06.652	75	65.0142	(725, 230)	(73, 23)	98
00:18:06.738	74	65.2533	(735, 230)	(74, 23)	98
00:18:06.817	73	65.389	(749, 230)	(75, 23)	98
00:18:06.896	77	65.4588	(756, 230)	(76, 23)	98
00:18:06.977	73	65.5649	(766, 230)	(77, 23)	98
00:18:07.056	79	65.6618	(775, 230)	(78, 23)	98
00:18:07.147	77	65.7895	(785, 230)	(79, 23)	98
00:18:07.230	79	65.8597	(796, 229)	(80, 23)	98
00:18:07.313	78	65.96	(805, 229)	(81, 23)	98
00:18:07.396	75	66.0732	(815, 229)	(82, 23)	98
00:18:07.480	79	66.1738	(825, 228)	(83, 23)	98
00:18:07.570	74	66.2932	(835, 228)	(84, 23)	98
00:18:07.651	74	66.3945	(845, 228)	(85, 23)	98
00:18:07.730	78	66.4119	(855, 228)	(86, 23)	98
00:18:07.812	72	66.5687	(865, 228)	(87, 23)	98
00:18:07.889	76	66.6187	(875, 228)	(88, 23)	98
00:18:07.974	79	66.6751	(885, 228)	(89, 23)	98
00:18:08.063	76	66.7671	(895, 228)	(90, 23)	98
00:18:08.147	80	66.8298	(905, 228)	(91, 23)	98
00:18:08.230	76	66.8382	(915, 228)	(92, 23)	98
00:18:08.314	79	66.948	(925, 228)	(93, 23)	98
00:18:08.400	78	67.0258	(935, 228)	(94, 23)	98
00:18:08.489	80	67.025	(945, 227)	(95, 23)	98
00:18:08.579	79	67.0489	(957, 227)	(96, 23)	98
00:18:08.660	75	67.1841	(966, 227)	(97, 23)	98
00:18:08.745	80	67.0985	(975, 227)	(98, 23)	98
00:18:08.836	76	67.196	(985, 227)	(99, 23)	98
00:18:08.920	79	67.1609	(995, 227)	(100, 23)	98
00:18:09.010	76	67.216	(1005, 227)	(101, 23)	98
00:18:09.091	75	67.335	(1015, 226)	(102, 23)	98
00:18:09.176	78	67.2557	(1025, 226)	(103, 23)	98
00:18:09.258	75	67.2345	(1035, 226)	(104, 23)	98
00:18:09.343	78	67.2313	(1045, 225)	(105, 23)	98
00:18:09.426	75	67.2453	(1055, 225)	(106, 23)	98
00:18:09.509	76	67.2179	(1065, 225)	(107, 23)	98
00:18:09.593	80	67.1831	(1071, 224)	(107, 22)	98
00:18:09.683	76	67.2361	(1075, 224)	(108, 22)	98
00:18:09.769	78	67.1933	(1085, 224)	(109, 22)	98
00:18:09.859	79	67.1997	(1095, 224)	(110, 22)	98
00:18:09.948	79	67.1901	(1105, 224)	(111, 22)	98
00:18:10.031	78	67.1516	(1115, 224)	(112, 22)	98
00:18:10.114	74	67.2289	(1125, 224)	(113, 22)	98
00:18:10.198	79	67.0779	(1135, 224)	(114, 22)	98
00:18:10.289	80	67.0332	(1146, 223)	(115, 22)	98
00:18:10.380	78	66.9852	(1155, 223)	(116, 22)	98
00:18:10.469	78	66.899	(1165, 223)	(117, 22)	98
00:18:10.551	76	67.024	(1175, 223)	(118, 22)	98
00:18:10.636	80	66.8279	(1185, 223)	(119, 22)	98
00:18:10.725	76	66.8239	(1195, 223)	(120, 22)	98
00:18:10.808	76	66.8141	(1205, 223)	(121, 22)	98
00:18:10.894	77	66.6907	(1215, 223)	(122, 22)	98
00:18:10.975	73	66.7203	(1225, 223)	(123, 22)	98
00:18:11.055	79	66.5581	(1235, 223)	(124, 22)	98
00:18:11.146	77	66.4236	(1245, 223)	(125, 22)	98
00:18:11.225	76	66.4124	(1255, 223)	(126, 22)	98
00:18:11.310	79	66.2818	(1265, 224)	(127, 22)	98
00:18:11.393	74	66.3228	(1275, 224)	(128, 22)	98
00:18:11.478	79	66.2096	(1282, 225)	(128, 23)	98
00:18:11.569	78	66.2107	(1285, 225)	(129, 23)	98
00:18:11.650	77	66.0735	(1295, 226)	(130, 23)	98
00:18:11.734	77	66.0441	(1305, 226)	(131, 23)	98
00:18:11.816	74	65.9818	(1316, 228)	(132, 23)	98
00:18:11.895	79	65.8139	(1326, 228)	(133, 23)	98
00:18:11.982	77	65.7415	(1335, 228)	(134, 23)	98
00:18:12.067	77	65.5924	(1345, 229)	(135, 23)	98
00:18:12.151	79	65.5113	(1355, 230)	(136, 23)	98
00:18:12.234	75	65.4313	(1366, 230)	(137, 23)	98
00:18:12.320	78	65.3403	(1375, 230)	(138, 23)	98
00:18:12.402	77	65.2785	(1386, 231)	(139, 23)	98
00:18:12.483	73	65.2173	(1395, 231)	(140, 23)	98
00:18:12.562	78	64.9375	(1405, 232)	(141, 23)	98
00:18:12.645	73	64.7212	(1415, 232)	(142, 23)	98
00:18:12.720	72	64.6064	(1425, 232)	(143, 23)	98
00:18:12.798	75	64.5138	(1435, 233)	(144, 23)	98
00:18:12.881	72	64.3484	(1445, 234)	(145, 23)	98
00:18:12.957	75	64.2142	(1455, 234)	(146, 23)	98
00:18:13.042	76	64.1388	(1465, 234)	(147, 23)	98
00:18:13.123	71	64.0433	(1478, 234)	(148, 23)	98
00:18:13.201	77	63.8784	(1485, 234)	(149, 23)	98
00:18:13.288	78	63.913	(1488, 235)	(149, 24)	98
00:18:13.376	76	63.7607	(1495, 235)	(150, 24)	98
00:18:13.458	77	63.5916	(1506, 235)	(151, 24)	98
00:18:13.540	73	63.3415	(1516, 235)	(152, 24)	98
00:18:13.618	76	63.1569	(1526, 236)	(153, 24)	98
00:18:13.706	75	62.9836	(1535, 236)	(154, 24)	98
00:18:13.784	72	62.8193	(1546, 236)	(155, 24)	98
00:18:13.864	74	62.7191	(1556, 237)	(156, 24)	98
00:18:13.943	69	62.5868	(1565, 237)	(157, 24)	98
00:18:14.021	75	62.3587	(1575, 238)	(158, 24)	98
00:18:14.105	75	62.2252	(1585, 238)	(159, 24)	98
00:18:14.187	70	62.1043	(1595, 239)	(160, 24)	98
00:18:14.265	75	61.8401	(1605, 239)	(161, 24)	98
00:18:14.350	72	61.6584	(1615, 240)	(162, 24)	98
00:18:14.432	74	61.4376	(1625, 240)	(163, 24)	98
00:18:14.515	72	61.2547	(1636, 241)	(164, 24)	98
00:18:14.590	72	61.0969	(1645, 242)	(165, 24)	98
00:18:14.668	74	60.9305	(1655, 242)	(166, 24)	98
00:18:14.757	72	60.7573	(1666, 243)	(167, 24)	98
00:18:14.835	72	60.5071	(1676, 244)	(168, 24)	98
00:18:14.913	72	60.5144	(1677, 245)	(168, 25)	98
00:18:14.994	68	60.409	(1686, 245)	(169, 25)	98
00:18:15.071	73	60.1256	(1696, 246)	(170, 25)	98
00:18:15.148	72	59.9567	(1705, 246)	(171, 25)	98
00:18:15.223	69	59.7449	(1715, 248)	(172, 25)	98
00:18:15.300	73	59.5692	(1726, 249)	(173, 25)	98
00:18:15.381	71	59.3812	(1735, 250)	(174, 25)	98
00:18:15.459	72	59.1919	(1745, 251)	(175, 25)	98
00:18:15.538	71	58.9695	(1755, 253)	(176, 25)	98
00:18:15.613	67	58.8172	(1765, 254)	(177, 25)	98
00:18:15.681	66	58.7569	(1768, 255)	(177, 26)	98
00:18:15.757	69	58.5999	(1775, 256)	(178, 26)	98
00:18:15.835	68	58.4123	(1785, 258)	(179, 26)	98
00:18:15.911	69	58.1844	(1795, 260)	(180, 26)	98
00:18:15.989	70	57.979	(1805, 262)	(181, 26)	98
00:18:16.064	66	57.812	(1815, 264)	(182, 26)	98
00:18:16.143	69	57.7887	(1817, 265)	(182, 27)	98
00:18:16.218	70	57.6298	(1825, 267)	(183, 27)	98
00:18:16.294	66	57.3262	(1838, 271)	(184, 27)	98
00:18:16.365	70	57.2119	(1845, 273)	(185, 27)	98
00:18:16.446	68	57.1369	(1849, 275)	(185, 28)	98
00:18:16.523	67	56.9659	(1858, 278)	(186, 28)	98
00:18:16.601	69	56.8539	(1865, 280)	(187, 28)	98
00:18:16.677	68	56.6699	(1874, 285)	(187, 29)	98
00:18:16.757	69	56.6633	(1875, 285)	(188, 29)	98
00:18:16.830	70	56.4468	(1885, 289)	(189, 29)	98
00:18:16.905	65	56.3861	(1895, 294)	(190, 29)	98
00:18:16.976	70	56.2843	(1895, 295)	(190, 30)	98
00:18:17.052	68	56.1216	(1905, 299)	(191, 30)	98
00:18:17.127	65	55.9994	(1912, 305)	(191, 31)	98
00:18:17.199	68	55.941	(1915, 307)	(192, 31)	98
00:18:17.275	67	55.7893	(1925, 314)	(193, 31)	98
00:18:17.349	64	55.8556	(1926, 315)	(193, 32)	98
00:18:17.420	68	55.6164	(1935, 322)	(194, 32)	98
00:18:17.496	63	55.5916	(1937, 325)	(194, 33)	98
00:18:17.568	69	55.4529	(1945, 333)	(195, 33)	98
00:18:17.644	68	55.4347	(1947, 335)	(195, 34)	98
00:18:17.721	67	55.3316	(1955, 344)	(196, 34)	98
00:18:17.795	65	55.3686	(1955, 345)	(196, 35)	98
00:18:17.867	66	55.2314	(1963, 355)	(196, 36)	98
00:18:17.941	64	55.1947	(1965, 358)	(197, 36)	98
00:18:18.011	69	55.1727	(1968, 365)	(197, 37)	98
00:18:18.088	68	55.143	(1973, 375)	(197, 38)	98
00:18:18.163	63	55.1961	(1975, 379)	(198, 38)	98
00:18:18.235	66	55.1317	(1976, 385)	(198, 39)	98
00:18:18.310	67	55.1231	(1980, 395)	(198, 40)	98
00:18:18.385	64	55.1822	(1982, 405)	(198, 41)	98
00:18:18.457	67	55.1406	(1984, 415)	(198, 42)	98
00:18:18.533	67	55.1301	(1985, 417)	(199, 42)	98
00:18:18.607	65	55.2453	(1985, 425)	(199, 43)	98
