Frame extends: 2263, 1306
_ms_area: 10
mouse movement measurements taken: 584
mouse_pos_x	mouse_pos_y	grid_location_x	grid_location_y
Begin
318 226 32 23
325 225 33 23
335 225 34 23
345 225 35 23
357 225 36 23
372 225 37 23
375 225 38 23
385 225 39 23
395 225 40 23
405 225 41 23
415 225 42 23
425 225 43 23
435 226 44 23
445 226 45 23
455 226 46 23
465 227 47 23
475 227 48 23
485 228 49 23
495 228 50 23
505 229 51 23
515 229 52 23
525 229 53 23
535 229 54 23
545 229 55 23
555 229 56 23
565 229 57 23
575 229 58 23
585 229 59 23
596 229 60 23
605 230 61 23
615 230 62 23
626 230 63 23
635 230 64 23
645 230 65 23
655 230 66 23
665 230 67 23
680 230 68 23
685 230 69 23
695 230 70 23
705 230 71 23
715 230 72 23
725 230 73 23
735 230 74 23
749 230 75 23
756 230 76 23
766 230 77 23
775 230 78 23
785 230 79 23
796 229 80 23
805 229 81 23
815 229 82 23
825 228 83 23
835 228 84 23
845 228 85 23
855 228 86 23
865 228 87 23
875 228 88 23
885 228 89 23
895 228 90 23
905 228 91 23
915 228 92 23
925 228 93 23
935 228 94 23
945 227 95 23
957 227 96 23
966 227 97 23
975 227 98 23
985 227 99 23
995 227 100 23
1005 227 101 23
1015 226 102 23
1025 226 103 23
1035 226 104 23
1045 225 105 23
1055 225 106 23
1065 225 107 23
1071 224 107 22
1075 224 108 22
1085 224 109 22
1095 224 110 22
1105 224 111 22
1115 224 112 22
1125 224 113 22
1135 224 114 22
1146 223 115 22
1155 223 116 22
1165 223 117 22
1175 223 118 22
1185 223 119 22
1195 223 120 22
1205 223 121 22
1215 223 122 22
1225 223 123 22
1235 223 124 22
1245 223 125 22
1255 223 126 22
1265 224 127 22
1275 224 128 22
1282 225 128 23
1285 225 129 23
1295 226 130 23
1305 226 131 23
1316 228 132 23
1326 228 133 23
1335 228 134 23
1345 229 135 23
1355 230 136 23
1366 230 137 23
1375 230 138 23
1386 231 139 23
1395 231 140 23
1405 232 141 23
1415 232 142 23
1425 232 143 23
1435 233 144 23
1445 234 145 23
1455 234 146 23
1465 234 147 23
1478 234 148 23
1485 234 149 23
1488 235 149 24
1495 235 150 24
1506 235 151 24
1516 235 152 24
1526 236 153 24
1535 236 154 24
1546 236 155 24
1556 237 156 24
1565 237 157 24
1575 238 158 24
1585 238 159 24
1595 239 160 24
1605 239 161 24
1615 240 162 24
1625 240 163 24
1636 241 164 24
1645 242 165 24
1655 242 166 24
1666 243 167 24
1676 244 168 24
1677 245 168 25
1686 245 169 25
1696 246 170 25
1705 246 171 25
1715 248 172 25
1726 249 173 25
1735 250 174 25
1745 251 175 25
1755 253 176 25
1765 254 177 25
1768 255 177 26
1775 256 178 26
1785 258 179 26
1795 260 180 26
1805 262 181 26
1815 264 182 26
1817 265 182 27
1825 267 183 27
1838 271 184 27
1845 273 185 27
1849 275 185 28
1858 278 186 28
1865 280 187 28
1874 285 187 29
1875 285 188 29
1885 289 189 29
1895 294 190 29
1895 295 190 30
1905 299 191 30
1912 305 191 31
1915 307 192 31
1925 314 193 31
1926 315 193 32
1935 322 194 32
1937 325 194 33
1945 333 195 33
1947 335 195 34
1955 344 196 34
1955 345 196 35
1963 355 196 36
1965 358 197 36
1968 365 197 37
1973 375 197 38
1975 379 198 38
1976 385 198 39
1980 395 198 40
1982 405 198 41
1984 415 198 42
1985 417 199 42
1985 425 199 43
1987 435 199 44
1988 445 199 45
1989 455 199 46
1989 465 199 47
1989 475 199 48
1988 485 199 49
1985 495 199 50
1984 495 198 50
1980 505 198 51
1972 516 197 52
1965 525 197 53
1964 526 196 53
1954 534 195 53
1953 535 195 54
1944 539 194 54
1937 545 194 55
1934 547 193 55
1924 555 192 56
1914 561 191 56
1907 565 191 57
1904 567 190 57
1894 572 189 57
1890 575 189 58
1884 577 188 58
1874 581 187 58
1866 585 187 59
1864 585 186 59
1854 590 185 59
1844 594 184 59
1843 595 184 60
1834 597 183 60
1823 601 182 60
1810 606 181 61
1804 609 180 61
1794 612 179 61
1787 615 179 62
1784 616 178 62
1774 619 177 62
1764 622 176 62
1758 625 176 63
1754 626 175 63
1744 628 174 63
1734 631 173 63
1724 633 172 63
1715 635 172 64
1714 635 171 64
1704 637 170 64
1694 638 169 64
1684 640 168 64
1674 641 167 64
1664 642 166 64
1654 643 165 64
1644 644 164 64
1633 644 163 64
1624 644 162 64
1614 644 161 64
1604 644 160 64
1594 644 159 64
1584 644 158 64
1574 644 157 64
1564 644 156 64
1554 644 155 64
1548 645 155 65
1544 645 154 65
1534 645 153 65
1524 646 152 65
1514 647 151 65
1504 648 150 65
1494 649 149 65
1484 651 148 65
1474 652 147 65
1464 652 146 65
1454 653 145 65
1444 654 144 65
1434 654 143 65
1419 654 142 65
1414 654 141 65
1404 654 140 65
1394 654 139 65
1384 654 138 65
1374 654 137 65
1356 653 136 65
1354 653 135 65
1344 652 134 65
1334 651 133 65
1323 651 132 65
1314 650 131 65
1303 649 130 65
1294 648 129 65
1284 647 128 65
1274 647 127 65
1264 646 126 65
1256 644 126 64
1254 644 125 64
1244 643 124 64
1234 643 123 64
1224 641 122 64
1214 641 121 64
1204 641 120 64
1194 640 119 64
1184 639 118 64
