BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0, 0, 0, 1), Translationsvektor: ( 0, 0, 2).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
15:33:08.948	42	25.675	(-1, -1)	(-1, -1)	112
15:33:08.995	32	25.6467	(-1, -1)	(-1, -1)	112
15:33:09.036	33	25.7216	(-1, -1)	(-1, -1)	112
15:33:09.071	33	25.7256	(-1, -1)	(-1, -1)	112
15:33:09.106	33	25.7609	(-1, -1)	(-1, -1)	112
15:33:09.148	36	25.6367	(-1, -1)	(-1, -1)	112
15:33:09.189	33	25.6298	(-1, -1)	(-1, -1)	112
15:33:09.230	32	25.7013	(-1, -1)	(-1, -1)	112
15:33:09.265	33	25.6844	(-1, -1)	(-1, -1)	112
15:33:09.301	37	25.6582	(-1, -1)	(-1, -1)	112
15:33:09.344	35	25.6572	(-1, -1)	(-1, -1)	112
15:33:09.385	36	25.6399	(-1, -1)	(-1, -1)	112
15:33:09.426	31	25.7043	(-1, -1)	(-1, -1)	112
15:33:09.460	33	25.7437	(-1, -1)	(-1, -1)	112
15:33:09.496	34	25.5979	(-1, -1)	(-1, -1)	112
15:33:09.537	35	25.611	(-1, -1)	(-1, -1)	112
15:33:09.579	35	25.6187	(-1, -1)	(-1, -1)	112
15:33:09.621	35	25.6585	(-1, -1)	(-1, -1)	112
15:33:09.662	33	25.7218	(-1, -1)	(-1, -1)	112
15:33:09.706	36	25.6135	(-1, -1)	(-1, -1)	112
15:33:09.746	32	25.6967	(-1, -1)	(-1, -1)	112
15:33:09.789	37	25.6099	(-1, -1)	(-1, -1)	112
15:33:09.831	34	25.6221	(-1, -1)	(-1, -1)	112
15:33:09.871	32	25.7243	(-1, -1)	(-1, -1)	112
15:33:09.913	39	25.5994	(-1, -1)	(-1, -1)	112
15:33:09.956	35	25.6662	(-1, -1)	(-1, -1)	112
15:33:09.997	37	25.6244	(-1, -1)	(-1, -1)	112
15:33:10.046	36	25.6895	(-1, -1)	(-1, -1)	112
15:33:10.086	34	25.7836	(-1, -1)	(-1, -1)	112
15:33:10.128	37	25.6335	(-1, -1)	(-1, -1)	112
15:33:10.171	35	25.6003	(-1, -1)	(-1, -1)	112
15:33:10.212	36	25.6673	(-1, -1)	(-1, -1)	112
15:33:10.256	33	25.5987	(-1, -1)	(-1, -1)	112
15:33:10.295	34	25.6895	(-1, -1)	(-1, -1)	112
15:33:10.337	37	25.6164	(-1, -1)	(-1, -1)	112
15:33:10.381	35	25.6391	(-1, -1)	(-1, -1)	112
15:33:10.421	36	25.6216	(-1, -1)	(-1, -1)	112
15:33:10.462	36	25.7354	(-1, -1)	(-1, -1)	112
15:33:10.504	33	25.6449	(-1, -1)	(-1, -1)	112
15:33:10.545	33	25.7444	(-1, -1)	(-1, -1)	112
15:33:10.579	32	25.6993	(-1, -1)	(-1, -1)	112
15:33:10.615	32	25.8056	(-1, -1)	(-1, -1)	112
15:33:10.650	32	25.8159	(-1, -1)	(-1, -1)	112
15:33:10.684	33	25.7547	(-1, -1)	(-1, -1)	112
15:33:10.719	32	25.737	(-1, -1)	(-1, -1)	112
15:33:10.754	33	25.604	(-1, -1)	(-1, -1)	112
15:33:10.796	33	25.7289	(-1, -1)	(-1, -1)	112
15:33:10.838	37	25.6702	(-1, -1)	(-1, -1)	112
15:33:10.879	33	25.6298	(-1, -1)	(-1, -1)	112
15:33:10.920	32	25.7043	(-1, -1)	(-1, -1)	112
15:33:10.955	31	25.6714	(-1, -1)	(-1, -1)	112
15:33:10.989	32	25.6763	(-1, -1)	(-1, -1)	112
15:33:11.025	34	25.66	(-1, -1)	(-1, -1)	112
15:33:11.068	33	25.6396	(-1, -1)	(-1, -1)	112
15:33:11.107	32	25.7102	(-1, -1)	(-1, -1)	112
15:33:11.142	32	25.679	(-1, -1)	(-1, -1)	112
15:33:11.177	34	25.6126	(-1, -1)	(-1, -1)	112
15:33:11.220	37	25.6486	(-1, -1)	(-1, -1)	112
15:33:11.263	36	25.6339	(-1, -1)	(-1, -1)	112
15:33:11.305	33	25.6145	(-1, -1)	(-1, -1)	112
15:33:11.345	33	25.7455	(-1, -1)	(-1, -1)	112
15:33:11.387	38	25.6191	(-1, -1)	(-1, -1)	112
15:33:11.436	38	25.6065	(-1, -1)	(-1, -1)	112
15:33:11.485	37	25.6055	(-1, -1)	(-1, -1)	112
15:33:11.525	33	25.7742	(-1, -1)	(-1, -1)	112
15:33:11.560	33	25.6911	(-1, -1)	(-1, -1)	112
15:33:11.602	33	25.6058	(-1, -1)	(-1, -1)	112
15:33:11.643	34	25.7175	(-1, -1)	(-1, -1)	112
15:33:11.686	35	25.6119	(-1, -1)	(-1, -1)	112
15:33:11.728	32	25.6156	(-1, -1)	(-1, -1)	112
15:33:11.769	34	25.6821	(-1, -1)	(-1, -1)	112
15:33:11.812	36	25.6206	(-1, -1)	(-1, -1)	112
15:33:11.854	36	25.647	(-1, -1)	(-1, -1)	112
15:33:11.894	32	25.7393	(-1, -1)	(-1, -1)	112
15:33:11.928	32	25.7431	(-1, -1)	(-1, -1)	112
15:33:11.963	32	25.6837	(-1, -1)	(-1, -1)	112
15:33:11.998	35	25.608	(-1, -1)	(-1, -1)	112
15:33:12.040	35	25.6295	(-1, -1)	(-1, -1)	112
15:33:12.087	35	25.6612	(-1, -1)	(-1, -1)	112
15:33:12.134	35	25.6649	(-1, -1)	(-1, -1)	112
15:33:12.172	33	25.7181	(-1, -1)	(-1, -1)	112
15:33:12.207	35	25.6316	(-1, -1)	(-1, -1)	112
15:33:12.249	37	25.6687	(-1, -1)	(-1, -1)	112
15:33:12.297	34	25.6104	(-1, -1)	(-1, -1)	112
15:33:12.338	31	25.7316	(-1, -1)	(-1, -1)	112
15:33:12.372	33	25.6886	(-1, -1)	(-1, -1)	112
15:33:12.416	38	25.6582	(-1, -1)	(-1, -1)	112
15:33:12.461	37	25.6317	(-1, -1)	(-1, -1)	112
15:33:12.506	38	25.6593	(-1, -1)	(-1, -1)	112
15:33:12.547	33	25.7867	(-1, -1)	(-1, -1)	112
15:33:12.588	32	25.7579	(-1, -1)	(-1, -1)	112
15:33:12.623	31	25.6981	(-1, -1)	(-1, -1)	112
15:33:12.657	32	25.6739	(-1, -1)	(-1, -1)	112
15:33:12.692	33	25.6821	(-1, -1)	(-1, -1)	112
15:33:12.728	35	25.6121	(-1, -1)	(-1, -1)	112
15:33:12.772	34	25.6462	(-1, -1)	(-1, -1)	112
15:33:12.811	33	25.7052	(-1, -1)	(-1, -1)	112
