BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.836834, 0.289158, -0.274501, 0.375161), Translationsvektor: ( 0, 0, 1.775).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
17:49:36.153	28	10.6308	(318, 226)	(32, 23)	62
17:49:36.186	25	10.8373	(325, 225)	(33, 23)	62
17:49:36.213	26	11.0884	(335, 225)	(34, 23)	62
17:49:36.241	26	11.3836	(345, 225)	(35, 23)	62
17:49:36.269	26	11.7108	(357, 225)	(36, 23)	62
17:49:36.297	26	12.2036	(372, 225)	(37, 23)	62
17:49:36.324	27	12.2941	(375, 225)	(38, 23)	62
17:49:36.360	29	12.5379	(385, 225)	(39, 23)	62
17:49:36.395	26	12.9827	(395, 225)	(40, 23)	62
17:49:36.429	27	13.5354	(405, 225)	(41, 23)	62
17:49:36.463	28	13.9474	(415, 225)	(42, 23)	62
17:49:36.498	28	14.5345	(425, 225)	(43, 23)	62
17:49:36.536	29	15.0213	(435, 226)	(44, 23)	62
17:49:36.569	30	15.6655	(445, 226)	(45, 23)	62
17:49:36.603	29	15.949	(455, 226)	(46, 23)	62
17:49:36.638	30	16.5041	(465, 227)	(47, 23)	62
17:49:36.672	31	16.9422	(475, 227)	(48, 23)	62
17:49:36.707	31	17.4033	(485, 228)	(49, 23)	62
17:49:36.741	32	17.9077	(495, 228)	(50, 23)	62
17:49:36.776	32	18.436	(505, 229)	(51, 23)	62
17:49:36.811	33	18.7487	(515, 229)	(52, 23)	62
17:49:36.846	33	19.1788	(525, 229)	(53, 23)	62
17:49:36.881	33	19.752	(535, 229)	(54, 23)	62
17:49:36.916	34	20.2858	(545, 229)	(55, 23)	62
17:49:36.959	35	20.8556	(555, 229)	(56, 23)	62
17:49:36.999	35	21.3581	(565, 229)	(57, 23)	62
17:49:37.041	36	21.9732	(575, 229)	(58, 23)	62
17:49:37.087	39	22.5567	(585, 229)	(59, 23)	62
17:49:37.132	41	23.4905	(596, 229)	(60, 23)	62
17:49:37.180	42	23.9271	(605, 230)	(61, 23)	62
17:49:37.229	48	25.4564	(615, 230)	(62, 23)	62
17:49:37.286	55	25.3213	(626, 230)	(63, 23)	62
17:49:37.361	42	26.3259	(635, 230)	(64, 23)	62
17:49:37.409	47	27.1062	(645, 230)	(65, 23)	62
17:49:37.459	51	27.6424	(655, 230)	(66, 23)	62
17:49:37.514	52	28.5751	(665, 230)	(67, 23)	62
17:49:37.570	50	29.5102	(680, 230)	(68, 23)	62
17:49:37.625	44	30.0914	(685, 230)	(69, 23)	62
17:49:37.673	49	31.1255	(695, 230)	(70, 23)	62
17:49:37.730	56	31.5919	(705, 230)	(71, 23)	62
17:49:37.794	51	32.3516	(715, 230)	(72, 23)	62
17:49:37.848	48	33.14	(725, 230)	(73, 23)	62
17:49:37.904	54	33.7544	(735, 230)	(74, 23)	62
