BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.0635341, 0.68235, -0.135584, -0.715522), Translationsvektor: ( 0.164384, -0.174579, 1.775).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
00:13:15.006	29	8.36489	(318, 226)	(32, 23)	172
00:13:15.050	27	8.51081	(325, 225)	(33, 23)	172
00:13:15.089	30	8.65304	(335, 225)	(34, 23)	172
00:13:15.127	29	8.87985	(345, 225)	(35, 23)	172
00:13:15.162	28	9.14637	(357, 225)	(36, 23)	172
00:13:15.196	24	9.43748	(372, 225)	(37, 23)	172
00:13:15.223	23	9.49052	(375, 225)	(38, 23)	172
00:13:15.251	27	9.64785	(385, 225)	(39, 23)	172
00:13:15.288	29	9.81778	(395, 225)	(40, 23)	172
00:13:15.322	29	10.0096	(405, 225)	(41, 23)	172
00:13:15.356	30	10.2153	(415, 225)	(42, 23)	172
00:13:15.391	27	10.4524	(425, 225)	(43, 23)	172
00:13:15.425	26	10.7699	(435, 226)	(44, 23)	172
00:13:15.453	30	11.0341	(445, 226)	(45, 23)	172
00:13:15.489	30	11.272	(455, 226)	(46, 23)	172
00:13:15.524	31	11.4924	(465, 227)	(47, 23)	172
00:13:15.559	31	11.761	(475, 227)	(48, 23)	172
00:13:15.593	31	12.0089	(485, 228)	(49, 23)	172
00:13:15.627	28	12.2876	(495, 228)	(50, 23)	172
00:13:15.662	31	12.4705	(505, 229)	(51, 23)	172
00:13:15.697	29	12.6557	(515, 229)	(52, 23)	172
00:13:15.731	28	12.9456	(525, 229)	(53, 23)	172
00:13:15.766	29	13.1721	(535, 229)	(54, 23)	172
00:13:15.802	27	13.3884	(545, 229)	(55, 23)	172
00:13:15.836	28	13.6286	(555, 229)	(56, 23)	172
00:13:15.870	27	13.9159	(565, 229)	(57, 23)	172
00:13:15.904	36	14.051	(575, 229)	(58, 23)	172
00:13:15.948	36	14.1689	(585, 229)	(59, 23)	172
00:13:15.992	32	14.4	(596, 229)	(60, 23)	172
00:13:16.031	31	14.6102	(605, 230)	(61, 23)	172
00:13:16.073	35	14.7607	(615, 230)	(62, 23)	172
00:13:16.114	37	14.9037	(626, 230)	(63, 23)	172
00:13:16.156	36	15.0213	(635, 230)	(64, 23)	172
00:13:16.199	32	15.1554	(645, 230)	(65, 23)	172
00:13:16.239	29	15.4153	(655, 230)	(66, 23)	172
00:13:16.273	32	15.4578	(665, 230)	(67, 23)	172
00:13:16.309	35	15.6083	(680, 230)	(68, 23)	172
00:13:16.351	34	16.0536	(685, 230)	(69, 23)	172
00:13:16.393	35	15.8141	(695, 230)	(70, 23)	172
00:13:16.433	30	15.9849	(705, 230)	(71, 23)	172
00:13:16.467	34	16.0757	(715, 230)	(72, 23)	172
00:13:16.510	38	16.1286	(725, 230)	(73, 23)	172
00:13:16.560	38	16.2036	(735, 230)	(74, 23)	172
00:13:16.609	34	16.4348	(749, 230)	(75, 23)	172
00:13:16.649	30	16.4604	(756, 230)	(76, 23)	172
