BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.0635341, 0.68235, -0.135584, -0.715522), Translationsvektor: ( 0.164384, -0.174579, 1.775).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
00:13:44.846	29	7.05393	(318, 226)	(32, 23)	172
00:13:44.881	21	7.2317	(325, 225)	(33, 23)	172
00:13:44.908	21	7.42208	(335, 225)	(34, 23)	172
00:13:44.936	21	7.64341	(345, 225)	(35, 23)	172
00:13:44.963	21	7.87052	(357, 225)	(36, 23)	172
00:13:44.991	22	8.13126	(372, 225)	(37, 23)	172
00:13:45.019	22	8.25837	(375, 225)	(38, 23)	172
00:13:45.046	23	8.3603	(385, 225)	(39, 23)	172
00:13:45.075	22	8.5563	(395, 225)	(40, 23)	172
00:13:45.103	22	8.73259	(405, 225)	(41, 23)	172
00:13:45.129	24	8.95319	(415, 225)	(42, 23)	172
00:13:45.158	25	9.19511	(425, 225)	(43, 23)	172
00:13:45.186	29	9.44267	(435, 226)	(44, 23)	172
00:13:45.223	27	9.62637	(445, 226)	(45, 23)	172
00:13:45.256	25	9.928	(455, 226)	(46, 23)	172
00:13:45.290	26	10.2252	(465, 227)	(47, 23)	172
00:13:45.318	26	10.4539	(475, 227)	(48, 23)	172
00:13:45.347	26	10.6027	(485, 228)	(49, 23)	172
00:13:45.380	26	10.8913	(495, 228)	(50, 23)	172
00:13:45.408	27	11.0695	(505, 229)	(51, 23)	172
00:13:45.443	27	11.2501	(515, 229)	(52, 23)	172
00:13:45.477	27	11.6196	(525, 229)	(53, 23)	172
00:13:45.512	31	11.7406	(535, 229)	(54, 23)	172
00:13:45.548	33	11.8979	(545, 229)	(55, 23)	172
00:13:45.590	34	12.1502	(555, 229)	(56, 23)	172
00:13:45.632	30	12.3957	(565, 229)	(57, 23)	172
00:13:45.665	28	12.6699	(575, 229)	(58, 23)	172
00:13:45.700	27	12.8298	(585, 229)	(59, 23)	172
00:13:45.734	29	13.0356	(596, 229)	(60, 23)	172
00:13:45.770	29	13.183	(605, 230)	(61, 23)	172
00:13:45.804	30	13.3439	(615, 230)	(62, 23)	172
00:13:45.840	29	13.5441	(626, 230)	(63, 23)	172
00:13:45.874	29	13.6524	(635, 230)	(64, 23)	172
00:13:45.909	29	13.7607	(645, 230)	(65, 23)	172
00:13:45.944	28	13.8591	(655, 230)	(66, 23)	172
00:13:45.978	29	14.032	(665, 230)	(67, 23)	172
00:13:46.014	35	14.1439	(680, 230)	(68, 23)	172
00:13:46.056	31	14.1921	(685, 230)	(69, 23)	172
00:13:46.090	30	14.4138	(695, 230)	(70, 23)	172
00:13:46.124	32	14.5979	(705, 230)	(71, 23)	172
00:13:46.160	33	14.599	(715, 230)	(72, 23)	172
00:13:46.201	37	14.7698	(725, 230)	(73, 23)	172
00:13:46.246	33	14.8047	(735, 230)	(74, 23)	172
00:13:46.284	30	15.071	(749, 230)	(75, 23)	172
00:13:46.319	31	15.1404	(756, 230)	(76, 23)	172
00:13:46.354	35	15.288	(766, 230)	(77, 23)	172
00:13:46.398	35	15.3486	(775, 230)	(78, 23)	172
00:13:46.438	34	15.3844	(785, 230)	(79, 23)	172
00:13:46.479	32	15.3644	(796, 229)	(80, 23)	172
00:13:46.513	30	15.4747	(805, 229)	(81, 23)	172
00:13:46.548	31	15.5015	(815, 229)	(82, 23)	172
00:13:46.583	34	15.4621	(825, 228)	(83, 23)	172
00:13:46.625	35	15.7733	(835, 228)	(84, 23)	172
00:13:46.667	32	15.5216	(845, 228)	(85, 23)	172
00:13:46.702	31	15.5993	(855, 228)	(86, 23)	172
00:13:46.736	34	15.4961	(865, 228)	(87, 23)	172
00:13:46.778	36	15.5465	(875, 228)	(88, 23)	172
00:13:46.820	33	15.6376	(885, 228)	(89, 23)	172
00:13:46.863	30	15.8379	(895, 228)	(90, 23)	172
00:13:46.896	32	15.6779	(905, 228)	(91, 23)	172
00:13:46.931	34	15.9065	(915, 228)	(92, 23)	172
00:13:46.973	34	15.6468	(925, 228)	(93, 23)	172
00:13:47.014	35	15.6976	(935, 228)	(94, 23)	172
00:13:47.056	36	15.5782	(945, 227)	(95, 23)	172
00:13:47.099	33	15.6484	(957, 227)	(96, 23)	172
00:13:47.139	35	15.8735	(966, 227)	(97, 23)	172
00:13:47.181	35	15.7027	(975, 227)	(98, 23)	172
00:13:47.223	34	15.6788	(985, 227)	(99, 23)	172
00:13:47.265	33	15.7585	(995, 227)	(100, 23)	172
00:13:47.306	38	15.7782	(1005, 227)	(101, 23)	172
00:13:47.348	29	15.7012	(1015, 226)	(102, 23)	172
