BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 0
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.0635341, 0.68235, -0.135584, -0.715522), Translationsvektor: ( 0.164384, -0.174579, 1.775).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
00:11:50.258	43	27.5554	(-1, -1)	(-1, -1)	172
00:11:50.309	35	27.6295	(-1, -1)	(-1, -1)	172
00:11:50.351	37	27.688	(-1, -1)	(-1, -1)	172
00:11:50.396	40	27.6975	(-1, -1)	(-1, -1)	172
00:11:50.445	39	27.8166	(-1, -1)	(-1, -1)	172
00:11:50.490	36	27.9104	(-1, -1)	(-1, -1)	172
00:11:50.531	35	28.0327	(-1, -1)	(-1, -1)	172
00:11:50.574	40	27.9759	(-1, -1)	(-1, -1)	172
00:11:50.623	40	28.0896	(-1, -1)	(-1, -1)	172
00:11:50.672	40	28.1317	(-1, -1)	(-1, -1)	172
00:11:50.720	35	28.208	(-1, -1)	(-1, -1)	172
00:11:50.760	36	28.3031	(-1, -1)	(-1, -1)	172
00:11:50.803	37	28.3313	(-1, -1)	(-1, -1)	172
00:11:50.844	38	28.351	(-1, -1)	(-1, -1)	172
00:11:50.886	38	28.4197	(-1, -1)	(-1, -1)	172
00:11:50.927	35	28.5609	(-1, -1)	(-1, -1)	172
00:11:50.968	36	28.6264	(-1, -1)	(-1, -1)	172
00:11:51.011	41	28.6727	(-1, -1)	(-1, -1)	172
00:11:51.061	42	28.7056	(-1, -1)	(-1, -1)	172
00:11:51.109	37	28.7556	(-1, -1)	(-1, -1)	172
00:11:51.149	38	28.8188	(-1, -1)	(-1, -1)	172
00:11:51.191	36	28.9624	(-1, -1)	(-1, -1)	172
00:11:51.232	37	28.9665	(-1, -1)	(-1, -1)	172
00:11:51.276	42	29.0336	(-1, -1)	(-1, -1)	172
00:11:51.323	37	29.0905	(-1, -1)	(-1, -1)	172
00:11:51.365	36	29.1702	(-1, -1)	(-1, -1)	172
